,BM_랜덤,BM_골든_크로스,CB_AI_매집,CB_AI_매석,CB_AI_매석_알파
월5% 이상 확율[%],47.56,48.521,28.221,39.924,52.542
월5% 이상 최대 예상 수익율 평균,9.434,10.213,12.819,13.481,18.094
월5% 이상 최대 예상 수익율 표준 편차,17.828,20.387,23.762,20.751,23.883
월5% 미만 확율[%],52.44,51.479,71.779,60.076,47.458
월5% 미만 최대 예상 손실율 평균,-7.524,-7.862,-12.013,-13.342,-13.747
월5% 미만 최대 예상 손실율 표준 편차,8.823,8.506,10.223,11.337,14.431
월 예상 수익율 총계[%],0.541,0.908,-5.005,-2.633,2.983
