Date,Open,High,Low,Close,Volume,Change
2017-09-11,49700,50180,49500,49800,207495,0.014669926650366705
2017-09-12,50200,50220,49140,49600,240595,-0.004016064257028162
2017-09-13,49820,50400,49440,49620,187140,0.00040322580645169026
2017-09-14,50060,50320,49760,50300,284095,0.01370415155179372
2017-09-15,50300,50560,49860,50400,215146,0.001988071570576455
2017-09-18,50540,52480,50520,52480,230499,0.041269841269841345
2017-09-19,52500,52640,51780,52120,197008,-0.006859756097560954
2017-09-20,52120,52500,51840,52220,185855,0.0019186492709133418
2017-09-21,52219,52960,52219,52800,176796,0.011106855610877098
2017-09-22,52960,53600,52459,53000,278448,0.0037878787878788955
2017-09-25,52999,53679,52999,53620,186062,0.0116981132075471
2017-09-26,53020,53120,51560,51660,341144,-0.036553524804177506
2017-09-27,52000,52200,51500,51680,215940,0.00038714672861006605
2017-09-28,52260,52460,51260,51260,240509,-0.008126934984520107
2017-09-29,51180,51620,50840,51280,258188,0.0003901677721420693
2017-10-10,53360,53640,52799,52800,410396,0.029641185647425905
2017-10-11,53600,54760,53340,54640,273043,0.034848484848484906
2017-10-12,54840,55160,54099,54800,277814,0.002928257686676483
2017-10-13,54540,54840,53780,54000,252033,-0.014598540145985384
2017-10-16,53980,54860,53760,53920,195399,-0.001481481481481528
2017-10-17,54019,55380,54000,54800,212156,0.016320474777448135
2017-10-18,54820,55240,54039,54760,202215,-0.0007299270072992359
2017-10-19,54699,54699,52980,52980,242174,-0.032505478451424374
2017-10-20,52800,54100,52800,53840,160541,0.016232540581351484
2017-10-23,54600,54640,54000,54300,166221,0.008543833580980653
2017-10-24,54699,54780,54040,54040,116121,-0.0047882136279926435
2017-10-25,54040,54420,53699,53900,117657,-0.002590673575129543
2017-10-26,53720,53900,52400,52400,195531,-0.0278293135435993
2017-10-27,52400,53320,52140,53080,147850,0.012977099236641143
2017-10-30,53780,54320,53699,54040,163923,0.018085908063300682
2017-10-31,54060,55440,53500,55080,267631,0.01924500370096216
2017-11-01,57500,57500,56179,57220,290205,0.038852578068264254
2017-11-02,57500,57519,56760,57060,214421,-0.0027962250961202084
2017-11-03,57059,57140,55860,56380,198716,-0.01191728005608128
2017-11-06,56380,56500,55340,56380,180019,0.0
2017-11-07,56380,56920,55860,56100,149291,-0.00496630010642074
2017-11-08,56100,57060,55860,56760,170404,0.0117647058823529
2017-11-09,56920,56920,55899,56340,239881,-0.007399577167019
2017-11-10,55800,56540,55780,56400,134976,0.0010649627263046302
2017-11-13,56400,56799,56100,56380,176133,-0.00035460992907798694
2017-11-14,56380,56740,55920,55920,134500,-0.008158921603405478
2017-11-15,55920,56319,55320,55340,176339,-0.0103719599427754
2017-11-16,55440,56000,55400,55780,152814,0.007950849295265572
2017-11-17,56399,56880,55820,55820,214663,0.0007171029042667421
2017-11-20,55900,55980,55200,55200,189455,-0.01110713006091002
2017-11-21,55400,55839,55280,55280,206494,0.0014492753623187582
2017-11-22,55980,56200,55620,55960,159059,0.012301013024601959
2017-11-23,55960,55979,55020,55300,125458,-0.01179413867047896
2017-11-24,55300,55500,55180,55460,90724,0.002893309222423257
2017-11-27,55360,55360,52640,52640,362578,-0.05084745762711862
2017-11-28,52699,53280,51720,53280,269988,0.012158054711246091
2017-11-29,53200,53240,52500,52600,191805,-0.01276276276276278
2017-11-30,50800,51860,50200,50800,592683,-0.034220532319391594
2017-12-01,50800,51780,50800,50840,257372,0.0007874015748030594
2017-12-04,50840,51340,50020,51340,297301,0.009834775767112447
2017-12-05,50600,51300,50280,51260,186531,-0.001558239189715649
2017-12-06,51260,51560,50020,50020,217784,-0.0241904018728053
2017-12-07,50040,50980,50020,50740,221312,0.01439424230307873
2017-12-08,51360,52000,51040,52000,225809,0.024832479306267308
