,com_code,com_name,dump_date,High
26,037950,엘컴텍,2024-03-07,1513
10,093240,형지엘리트,2024-01-02,1520
18,006340,대원전선,2024-03-14,1522
17,290660,네오펙트,2024-02-21,1524
7,276730,제주맥주,2024-03-19,1535
17,065650,메디프론,2024-02-15,1547
11,032980,바이온,2024-01-05,1580
17,331520,밸로프,2023-07-14,1580
17,045510,정원엔시스,2023-11-20,1595
22,293580,나우IB,2023-09-06,1595
20,032820,우리기술,2024-03-14,1597
24,027740,마니커,2023-05-22,1598
10,090150,아이윈,2024-01-08,1599
18,052900,KX하이텍,2024-02-27,1611
16,052420,오성첨단소재,2024-01-22,1614
18,065500,오리엔트정공,2023-05-15,1623
19,023440,제이스코홀딩스,2024-03-06,1624
11,065770,CS,2024-01-25,1626
6,049120,파인디앤씨,2023-08-29,1627
2,204610,티쓰리,2023-10-12,1629
6,020760,일진디스플,2023-05-31,1634
24,050110,캠시스,2024-01-26,1635
10,005110,한창,2024-03-19,1638
16,068330,일신바이오,2024-01-04,1650
18,187790,나노,2023-11-21,1651
17,333050,모코엠시스,2024-01-23,1665
8,196450,코아시아씨엠,2024-01-12,1670
26,013000,세우글로벌,2024-03-11,1679
4,079190,케스피온,2023-05-04,1681
8,035890,서희건설,2023-05-19,1685
14,038060,루멘스,2023-11-09,1689
5,078590,휴림에이텍,2024-02-21,1695
13,900340,윙입푸드,2023-08-28,1697
19,016920,카스,2023-10-06,1698
9,143540,영우디에스피,2023-03-31,1700
15,225590,패션플랫폼,2023-06-09,1702
15,328380,솔트웨어,2024-03-19,1713
22,043910,자연과환경,2023-07-17,1719
15,006050,국영지앤엠,2023-06-20,1721
19,043260,성호전자,2024-02-27,1730
3,452260,한화갤러리아,2024-02-20,1734
30,027710,팜스토리,2024-01-17,1742
20,009620,삼보산업,2023-11-07,1745
12,014910,성문전자,2024-01-08,1746
17,297570,알로이스,2023-11-29,1747
8,079650,서산,2024-03-15,1748
17,074430,아미노로직스,2023-11-08,1749
3,226360,KH 건설,2022-06-08,1760
7,065690,파커스,2023-11-28,1765
18,258790,소프트캠프,2024-01-19,1787
24,021050,서원,2024-02-15,1790
13,037760,쎄니트,2023-06-16,1809
13,104040,대성파인텍,2023-04-13,1835
34,012800,대창,2024-02-15,1838
16,040610,SG&G,2023-11-29,1858
13,009320,대우부품,2023-04-26,1865
4,204840,지엘팜텍,2021-04-12,1885
16,013700,까뮤이앤씨,2023-05-22,1889
5,017250,인터엠,2021-06-14,1895
8,006380,카프로,2023-08-09,1896
14,016880,웅진,2023-02-09,1898
14,010420,한솔PNS,2022-09-02,1935
2,263920,휴엠앤씨,2023-04-28,1941
20,012030,DB,2023-12-22,1942
17,092220,KEC,2024-01-09,1943
10,054090,삼진엘앤디,2024-01-09,1949
14,119650,KC코트렐,2024-01-10,1960
10,012170,아센디오,2024-02-23,1960
13,307280,원바이오젠,2024-01-04,1966
20,003310,대주산업,2024-01-18,1968
21,204630,스튜디오산타클로스,2022-04-04,1974
21,277410,인산가,2024-02-27,1975
3,019590,엠벤처투자,2021-12-13,1975
19,043220,티에스넥스젠,2022-01-21,1985
10,002700,신일전자,2023-11-08,1990
12,013360,일성건설,2023-10-20,1998
13,097800,윈팩,2023-02-15,1999
17,090080,평화산업,2023-05-12,2000
23,002070,비비안,2023-07-04,2020
20,273060,와이즈버즈,2023-12-26,2030
3,043590,웰킵스하이텍,2023-03-29,2030
2,380540,옵티코어,2024-01-15,2045
7,010580,에스엠벡셀,2023-12-19,2065
10,104480,티케이케미칼,2024-01-12,2070
16,048550,SM C&C,2024-01-29,2075
26,001000,신라섬유,2023-10-19,2075
9,002450,삼익악기,2021-06-01,2075
3,076610,해성옵틱스,2020-02-17,2095
13,054180,메디콕스,2023-05-18,2100
17,085810,알티캐스트,2023-06-01,2100
14,123010,아이윈플러스,2024-01-08,2105
10,044780,에이치케이,2023-08-21,2105
16,336060,웨이버스,2023-07-06,2110
17,032280,삼일,2024-01-15,2115
22,073560,우리손에프앤지,2023-06-15,2115
20,177350,베셀,2023-12-20,2120
2,424760,벨로크,2024-01-24,2135
19,032580,피델릭스,2023-12-11,2135
15,031510,오스템,2023-01-26,2140
12,000040,KR모터스,2024-02-22,2147
2,900100,애머릿지,2024-01-10,2150
13,060900,DGP,2024-02-27,2150
1,082660,코스나인,2020-09-29,2150
10,205500,액션스퀘어,2023-11-30,2150
9,019490,하이트론,2023-11-07,2165
0,424140,케이비제21호스팩,2023-06-07,2170
19,063440,SM Life Design,2024-01-10,2175
21,126640,화신정공,2023-06-07,2185
20,023460,CNH,2023-11-01,2185
6,083660,CSA 코스믹,2023-05-26,2190
0,445360,비엔케이제1호스팩,2023-04-14,2195
13,017550,수산중공업,2024-03-05,2205
0,454640,하나29호스팩,2024-02-21,2205
22,024890,대원화성,2024-03-12,2210
16,086960,MDS테크,2024-02-23,2215
1,058220,아리온,2019-09-20,2217
1,446750,하나26호스팩,2024-02-20,2220
19,048830,엔피케이,2023-06-20,2220
19,018470,조일알미늄,2024-02-20,2220
0,458610,한국제12호스팩,2024-01-31,2220
18,109960,에이프로젠 H&G,2023-08-10,2225
5,033790,스카이문스테크놀로지,2023-04-06,2230
10,014790,HL D&I,2024-02-01,2230
21,332290,누보,2024-01-18,2245
4,406760,하나금융21호스팩,2024-02-07,2245
19,033170,시그네틱스,2024-02-22,2245
16,246690,TS인베스트먼트,2023-02-08,2250
21,019010,베뉴지,2024-03-15,2255
15,226440,한송네오텍,2021-12-28,2265
14,097780,에코볼트,2023-04-10,2270
18,034940,조아제약,2023-09-26,2270
13,005390,신성통상,2023-08-25,2295
11,095910,에스에너지,2023-12-08,2300
6,436610,한국제11호스팩,2024-01-30,2300
20,032080,아즈텍WB,2023-09-22,2300
9,009460,한창제지,2022-02-11,2305
2,442310,대신밸런스제14호스팩,2024-01-18,2305
14,046390,삼화네트웍스,2024-01-25,2310
16,000180,성창기업지주,2024-02-21,2320
0,438220,대신밸런스제13호스팩,2023-11-14,2320
4,386580,한화플러스제2호스팩,2023-06-07,2335
8,215790,이노인스트루먼트,2023-06-20,2340
0,413600,키움제6호스팩,2022-09-23,2345
18,033130,디지틀조선,2023-11-22,2350
22,061250,화일약품,2023-09-06,2350
21,189980,흥국에프엔비,2024-01-05,2350
19,234100,폴라리스세원,2024-03-04,2350
13,019685,대교우B,2023-12-04,2350
0,456440,DB금융스팩11호,2024-01-23,2360
8,018000,유니슨,2023-06-08,2364
15,024840,KBI메탈,2023-04-20,2365
16,196700,웹스,2023-11-22,2380
14,065530,와이어블,2024-01-15,2390
22,012860,모베이스전자,2024-02-05,2390
8,066360,체리부로,2021-06-04,2392
10,019660,글로본,2023-09-04,2395
9,036000,예림당,2022-11-21,2400
4,430230,하나금융24호스팩,2024-01-15,2400
