날짜,공시_제목,공시자
2024-05-09,결산실적공시예고(안내공시)              ,콜마홀딩스
2024-05-03,주식등의대량보유상황보고서(일반),윤상현
2024-05-02,대표이사(대표집행임원)변경(안내공시)              ,콜마홀딩스
2024-04-18,주식등의대량보유상황보고서(일반),윤상현
2024-04-01,주식등의대량보유상황보고서(일반),윤상현
2024-03-29,사외이사의선임ㆍ해임또는중도퇴임에관한신고,콜마홀딩스
2024-03-29,지주회사의자회사탈퇴(자회사의 주요경영사항)              ,콜마홀딩스
2024-03-29,정기주주총회결과              ,콜마홀딩스
2024-03-26,[첨부정정]사업보고서 (2023.12),콜마홀딩스
2024-03-21,감사보고서제출              ,콜마홀딩스
2024-03-20,감사보고서제출(자회사의 주요경영사항)              ,콜마홀딩스
2024-03-14,주주총회소집결의              ,콜마홀딩스
2024-03-14,투자판단관련주요경영사항(자회사의 주요경영사항)              (특허권 취득),콜마홀딩스
2024-03-14,현금ㆍ현물배당결정              ,콜마홀딩스
2024-03-14,주주총회소집공고,콜마홀딩스
2024-03-14,주주총회집중일개최사유신고              ,콜마홀딩스
2024-03-14,의결권대리행사권유참고서류,콜마홀딩스
2024-03-12,주요사항보고서(자기주식처분결정)(자회사의 주요경영사항)              ,콜마홀딩스
2024-03-12,현금ㆍ현물배당결정(자회사의 주요경영사항)              ,콜마홀딩스
2024-03-11,신탁계약에의한취득상황보고서,콜마홀딩스
2024-03-07,투자판단관련주요경영사항(자회사의 주요경영사항)              (특허권 취득),콜마홀딩스
2024-02-29,투자판단관련주요경영사항(자회사의 주요경영사항)              (특허권 취득),콜마홀딩스
2024-02-29,주식등의대량보유상황보고서(일반),윤상현
2024-02-29,투자판단관련주요경영사항(자회사의 주요경영사항)              (특허권 취득),콜마홀딩스
2024-02-28,매출액또는손익구조30%(대규모법인은15%)이상변경              ,콜마홀딩스
2024-02-22,투자판단관련주요경영사항(자회사의 주요경영사항)              (특허권 취득),콜마홀딩스
2024-02-22,매출액또는손익구조30%(대규모법인은15%)이상변경(자회사의 주요경영사항)              ,콜마홀딩스
2024-02-07,[기재정정]타법인주식및출자증권취득결정(자회사의 주요경영사항)              ,콜마홀딩스
2023-12-28,주식등의대량보유상황보고서(일반),윤상현
2023-12-20,최대주주등소유주식변동신고서,콜마홀딩스
2023-12-14,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정(자회사의 주요경영사항),콜마홀딩스
2023-12-07,주식등의대량보유상황보고서(일반),윤상현
2023-11-30,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정(자회사의 주요경영사항),콜마홀딩스
2023-11-30,투자판단관련주요경영사항(자회사의 주요경영사항)(특허권 취득),콜마홀딩스
2023-11-30,투자판단관련주요경영사항(자회사의 주요경영사항)(특허권 취득),콜마홀딩스
2023-11-29,최대주주등소유주식변동신고서,콜마홀딩스
2023-11-29,주식등의대량보유상황보고서(일반),윤상현
2023-11-22,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정,콜마홀딩스
2023-11-22,주요사항보고서(자기주식취득신탁계약체결결정),콜마홀딩스
2023-11-20,주식등의대량보유상황보고서(일반),윤상현
2023-11-14,분기보고서 (2023.09),콜마홀딩스
2023-11-10,영업(잠정)실적(공정공시),콜마홀딩스
2023-11-10,연결재무제표기준영업(잠정)실적(공정공시),콜마홀딩스
2023-11-06,결산실적공시예고(안내공시),콜마홀딩스
2023-11-02,[기재정정]주요사항보고서(무상증자결정),콜마홀딩스
2023-10-27,임원ㆍ주요주주특정증권등소유상황보고서,윤상현
2023-10-27,최대주주등소유주식변동신고서,콜마홀딩스
2023-10-27,임원ㆍ주요주주특정증권등소유상황보고서,윤동한
2023-10-27,주식등의대량보유상황보고서(일반),윤상현
2023-10-27,임원ㆍ주요주주특정증권등소유상황보고서,원재성
2023-10-27,임원ㆍ주요주주특정증권등소유상황보고서,유동호
2023-10-27,임원ㆍ주요주주특정증권등소유상황보고서,원승찬
