날짜,시가,고가,저가,종가,거래량,등락률,BPS,PER,PBR,EPS,DIV,DPS,기관합계_거래량_순매수,기타법인_거래량_순매수,개인_거래량_순매수,외국인합계_거래량_순매수,전체_거래량_순매수,기관합계_거래량_매수,기타법인_거래량_매수,개인_거래량_매수,외국인합계_거래량_매수,전체_거래량_매수,기관합계_거래량_매도,기타법인_거래량_매도,개인_거래량_매도,외국인합계_거래량_매도,전체_거래량_매도,기관합계_거래대금_순매수,기타법인_거래대금_순매수,개인_거래대금_순매수,외국인합계_거래대금_순매수,전체_거래대금_순매수,기관합계_거래대금_매수,기타법인_거래대금_매수,개인_거래대금_매수,외국인합계_거래대금_매수,전체_거래대금_매수,기관합계_거래대금_매도,기타법인_거래대금_매도,개인_거래대금_매도,외국인합계_거래대금_매도,전체_거래대금_매도
2019-01-02,1385,1385,1345,1360,24579,0.36900369003690037,1754,11.33,0.78,120,1.1,15,0,0,1026,-1026,0,0,0,23872,707,24579,0,0,22846,1733,24579,0,0,1434395,-1434395,0,0,0,32505945,964985,33470930,0,0,31071550,2399380,33470930
2019-01-03,1360,1430,1345,1415,76127,4.044117647058823,1754,11.79,0.81,120,1.06,15,2950,0,197,-3147,0,2950,0,72876,301,76127,0,0,72679,3448,76127,4118480,0,241685,-4360165,0,4118480,0,100868315,411610,105398405,0,0,100626630,4771775,105398405
2019-01-04,1420,1425,1380,1420,17575,0.35335689045936397,1754,11.83,0.81,120,1.06,15,711,0,-661,-50,0,714,0,16861,0,17575,3,0,17522,50,17575,999820,0,-928975,-70845,0,1004020,0,23621740,0,24625760,4200,0,24550715,70845,24625760
2019-01-07,1405,1470,1405,1420,28179,0.0,1754,11.83,0.81,120,1.06,15,-5,0,-316,321,0,0,0,27322,857,28179,5,0,27638,536,28179,-7075,0,-438590,445665,0,0,0,38744330,1212145,39956475,7075,0,39182920,766480,39956475
2019-01-08,1440,1440,1400,1435,62046,1.056338028169014,1754,11.96,0.82,120,1.05,15,-4,0,1480,-1476,0,0,0,62046,0,62046,4,0,60566,1476,62046,-5640,0,2102395,-2096755,0,0,0,88026890,0,88026890,5640,0,85924495,2096755,88026890
2019-01-09,1435,1445,1405,1415,86978,-1.3937282229965158,1754,11.79,0.81,120,1.06,15,-4,0,-1080,1084,0,0,0,84192,2786,86978,4,0,85272,1702,86978,-5680,0,-1496170,1501850,0,0,0,119749635,3929260,123678895,5680,0,121245805,2427410,123678895
2019-01-10,1415,1450,1400,1415,32253,0.0,1754,11.79,0.81,120,1.06,15,-5,0,-1000,1005,0,0,0,29868,2385,32253,5,0,30868,1380,32253,-7100,0,-1407035,1414135,0,0,0,42233935,3368775,45602710,7100,0,43640970,1954640,45602710
2019-01-11,1415,1430,1400,1400,46010,-1.0600706713780919,1754,11.67,0.8,120,1.07,15,-1464,-2753,10310,-6093,0,0,0,46010,0,46010,1464,2753,35700,6093,46010,-2062255,-3867880,14500545,-8570410,0,0,0,64708325,0,64708325,2062255,3867880,50207780,8570410,64708325
2019-01-14,1400,1400,1380,1380,77211,-1.4285714285714286,1754,11.5,0.79,120,1.09,15,-1,0,1814,-1813,0,0,0,77211,0,77211,1,0,75397,1813,77211,-1395,0,2519900,-2518505,0,0,0,107151220,0,107151220,1395,0,104631320,2518505,107151220
2019-01-15,1375,1405,1375,1405,55607,1.8115942028985508,1754,11.71,0.8,120,1.07,15,1,0,-1394,1393,0,1,0,54033,1573,55607,0,0,55427,180,55607,1395,0,-1922055,1920660,0,1395,0,74965445,2170740,77137580,0,0,76887500,250080,77137580
2019-01-16,1405,1455,1375,1420,159769,1.0676156583629894,1754,11.83,0.81,120,1.06,15,0,0,12117,-12117,0,0,0,157048,2721,159769,0,0,144931,14838,159769,0,0,17737065,-17737065,0,0,0,223152705,3768585,226921290,0,0,205415640,21505650,226921290
