날짜,시가,고가,저가,종가,거래량,등락률,BPS,PER,PBR,EPS,DIV,DPS,기관합계_거래량_순매수,기타법인_거래량_순매수,개인_거래량_순매수,외국인합계_거래량_순매수,전체_거래량_순매수,기관합계_거래량_매수,기타법인_거래량_매수,개인_거래량_매수,외국인합계_거래량_매수,전체_거래량_매수,기관합계_거래량_매도,기타법인_거래량_매도,개인_거래량_매도,외국인합계_거래량_매도,전체_거래량_매도,기관합계_거래대금_순매수,기타법인_거래대금_순매수,개인_거래대금_순매수,외국인합계_거래대금_순매수,전체_거래대금_순매수,기관합계_거래대금_매수,기타법인_거래대금_매수,개인_거래대금_매수,외국인합계_거래대금_매수,전체_거래대금_매수,기관합계_거래대금_매도,기타법인_거래대금_매도,개인_거래대금_매도,외국인합계_거래대금_매도,전체_거래대금_매도
2019-07-24,8710,11300,8050,11300,21797462,,5129,23.79,2.2,475,2.26,255,-1108379,-57704,1496649,-330566,0,218895,87622,21404266,86679,21797462,1327274,145326,19907617,417245,21797462,-9899759790,-591737640,13468364440,-2976867010,0,2413901990,849955400,218575380140,891438250,222730675780,12313661780,1441693040,205107015700,3868305260,222730675780
2019-07-25,11100,14350,10600,13000,15752882,15.04424778761062,5129,27.37,2.53,475,1.96,255,-29188,754,15294,13140,0,1914,9788,15598542,142638,15752882,31102,9034,15583248,129498,15752882,-345429500,6849050,174625650,163954800,0,25428450,124647100,202987081050,1851714200,204988870800,370857950,117798050,202812455400,1687759400,204988870800
2019-07-26,13000,13450,9980,10550,4206990,-18.846153846153847,5129,22.21,2.06,475,2.42,255,-1075,-101,18240,-17064,0,0,1280,4118397,87313,4206990,1075,1381,4100157,104377,4206990,-12413850,165000,229353670,-217104820,0,0,15031000,47728248180,1006013530,48749292710,12413850,14866000,47498894510,1223118350,48749292710
2019-07-29,10400,10700,8640,8770,2458263,-16.872037914691944,5129,18.46,1.71,475,2.91,255,-20,-49,-6527,6596,0,0,50,2418168,40045,2458263,20,99,2424695,33449,2458263,-178990,-413050,-77796760,78388800,0,0,522500,23058225950,390706880,23449455330,178990,935550,23136022710,312318080,23449455330
2019-07-30,8540,8700,7590,8000,1769929,-8.779931584948688,5129,16.84,1.56,475,3.19,255,-9997,-351,19287,-8939,0,3,524,1762829,6573,1769929,10000,875,1743542,15512,1769929,-84297440,-2752670,162231840,-75181730,0,23530,4305010,14321087240,55641790,14381057570,84320970,7057680,14158855400,130823520,14381057570
2019-07-31,7930,10400,7780,10400,10223624,30.0,5129,21.89,2.03,475,2.45,255,-140001,94,118288,21619,0,72752,763,10035497,114612,10223624,212753,669,9917209,92993,10223624,-1419150310,796600,1196280520,222073190,0,756620800,7233800,96982466480,1141389240,98887710320,2175771110,6437200,95786185960,919316050,98887710320
2019-08-01,10100,10250,8280,8390,2515002,-19.326923076923077,5129,17.66,1.64,475,3.04,255,0,908,7926,-8834,0,0,1295,2490077,23630,2515002,0,387,2482151,32464,2515002,0,8366700,79661800,-88028500,0,0,11804460,22588163930,206887210,22806855600,0,3437760,22508502130,294915710,22806855600
2019-08-02,8180,10250,7850,8800,7570329,4.886769964243146,5129,18.53,1.72,475,2.9,255,-5263,6000,7274,-8011,0,0,6889,7512028,51412,7570329,5263,889,7504754,59423,7570329,-50261580,52416350,46843870,-48998640,0,0,60864530,70834172810,492054660,71387092000,50261580,8448180,70787328940,541053300,71387092000
2019-08-05,8680,9140,8000,8080,1013817,-8.181818181818182,5129,17.01,1.58,475,3.16,255,0,-6001,4016,1985,0,0,0,993862,19955,1013817,0,6001,989846,17970,1013817,0,-53454210,36018780,17435430,0,0,0,8503385160,169934700,8673319860,0,53454210,8467366380,152499270,8673319860
2019-08-06,7960,9360,7530,8000,3302003,-0.9900990099009901,5129,16.84,1.56,475,3.19,255,-19345,100,23294,-4049,0,1075,571,3292344,8013,3302003,20420,471,3269050,12062,3302003,-169182160,1020030,202832790,-34670660,0,9024600,5093820,28641598360,65561770,28721278550,178206760,4073790,28438765570,100232430,28721278550
2019-08-07,8450,8840,8110,8360,1088431,4.5,5129,17.6,1.63,475,3.05,255,-754,-100,551,303,0,0,0,1077916,10515,1088431,754,100,1077365,10212,1088431,-6393920,-831000,4851830,2373090,0,0,0,9118322690,87970240,9206292930,6393920,831000,9113470860,85597150,9206292930
2019-08-08,8270,9120,8270,8570,1545080,2.511961722488038,5129,18.04,1.67,475,2.98,255,-30763,100,33240,-2577,0,0,100,1539339,5641,1545080,30763,0,1506099,8218,1545080,-258213590,855000,279545320,-22186730,0,0,855000,13344240020,48339750,13393434770,258213590,0,13064694700,70526480,13393434770
2019-08-09,8560,9120,8510,8720,1083620,1.7502917152858808,5129,18.36,1.7,475,2.92,255,0,-100,-10900,11000,0,1079,0,1057867,24674,1083620,1079,100,1068767,13674,1083620,7830,-900000,-93906120,94798290,0,9367980,0,9282728010,215338820,9507434810,9360150,900000,9376634130,120540530,9507434810
2019-08-12,8810,8930,8560,8580,572350,-1.6055045871559634,5129,18.06,1.67,475,2.97,255,-9931,-1000,19247,-8316,0,0,50,562455,9845,572350,9931,1050,543208,18161,572350,-86284150,-8643870,167861570,-72933550,0,0,437400,4900885670,85565920,4986888990,86284150,9081270,4733024100,158499470,4986888990
2019-08-13,8500,8580,8040,8080,632177,-5.827505827505827,5129,17.01,1.58,475,3.16,255,-491,1172,-3376,2695,0,0,1172,624601,6404,632177,491,0,627977,3709,632177,-4094940,9932650,-27655360,21817650,0,0,9932650,5155331770,52578590,5217843010,4094940,0,5182987130,30760940,5217843010
2019-08-14,8770,9060,8020,8100,1611428,0.24752475247524752,5129,17.05,1.58,475,3.15,255,-20062,-1172,3645,17589,0,0,116,1573208,38104,1611428,20062,1288,1569563,20515,1611428,-166253260,-10286400,30504760,146034900,0,0,962960,13256069190,317474060,13574506210,166253260,11249360,13225564430,171439160,13574506210
2019-08-16,8000,8080,7600,7680,422338,-5.185185185185185,5129,16.17,1.5,475,3.32,255,0,1499,13608,-15107,0,0,1500,416554,4284,422338,0,1,402946,19391,422338,0,11782320,106596440,-118378760,0,0,11790000,3248452640,33116570,3293359210,0,7680,3141856200,151495330,3293359210
2019-08-19,7700,7950,7130,7200,439225,-6.25,5129,15.16,1.4,475,3.54,255,-500,0,1086,-586,0,0,0,429882,9343,439225,500,0,428796,9929,439225,-3833720,0,10520140,-6686420,0,0,0,3263092970,70056690,3333149660,3833720,0,3252572830,76743110,3333149660
2019-08-20,7290,7620,7240,7300,406292,1.3888888888888888,5129,15.37,1.42,475,3.49,255,-220,-500,5241,-4521,0,0,0,401956,4336,406292,220,500,396715,8857,406292,-1606000,-3710000,38835130,-33519130,0,0,0,2978294670,32027190,3010321860,1606000,3710000,2939459540,65546320,3010321860
2019-08-21,7210,7420,7210,7280,211886,-0.273972602739726,5129,15.33,1.42,475,3.5,255,0,0,-428,428,0,0,0,209308,2578,211886,0,0,209736,2150,211886,0,0,-3209250,3209250,0,0,0,1527600290,18914500,1546514790,0,0,1530809540,15705250,1546514790
2019-08-22,7360,7460,6810,6900,258958,-5.21978021978022,5129,14.53,1.35,475,3.7,255,-9901,0,8004,1897,0,0,0,252383,6575,258958,9901,0,244379,4678,258958,-71847590,0,58500600,13346990,0,0,0,1820882150,47273570,1868155720,71847590,0,1762381550,33926580,1868155720
2019-08-23,6850,8000,6650,7090,1878212,2.753623188405797,5129,14.93,1.38,475,3.6,255,-16328,0,14856,1472,0,0,261,1859847,18104,1878212,16328,261,1844991,16632,1878212,-118613530,7800,105989650,12616080,0,0,1943160,13833498460,129704450,13965146070,118613530,1935360,13727508810,117088370,13965146070
2019-08-26,6810,6850,6330,6370,508661,-10.155148095909732,5129,13.41,1.24,475,4.0,255,-62745,-4480,68706,-1481,0,0,507,498796,9358,508661,62745,4987,430090,10839,508661,-418619630,-30271800,458639500,-9748070,0,0,3397380,3309405820,62853670,3375656870,418619630,33669180,2850766320,72601740,3375656870
2019-08-27,6500,6690,6130,6350,359510,-0.3139717425431711,5129,13.37,1.24,475,4.02,255,-15000,27757,-12317,-440,0,0,27757,327620,4133,359510,15000,0,339937,4573,359510,-95869390,175079600,-76536640,-2673570,0,0,175079600,2105753730,26763860,2307597190,95869390,0,2182290370,29437430,2307597190
2019-08-28,6500,6790,6350,6410,715748,0.9448818897637795,5129,13.49,1.25,475,3.98,255,-54401,-27757,83308,-1150,0,0,10134,692989,12625,715748,54401,37891,609681,13775,715748,-351131830,-183783440,543146540,-8231270,0,0,65606340,4550904030,82380290,4698890660,351131830,249389780,4007757490,90611560,4698890660
2019-08-29,6480,7120,6440,6740,2209140,5.14820592823713,5129,14.19,1.31,475,3.78,255,-100000,5932,88326,5742,0,0,6140,2182876,20124,2209140,100000,208,2094550,14382,2209140,-679244920,40333990,600654990,38255940,0,0,41763930,14955450740,136895610,15134110280,679244920,1429940,14354795750,98639670,15134110280
