날짜,시가,고가,저가,종가,거래량,등락률,BPS,PER,PBR,EPS,DIV,DPS,기관합계_거래량_순매수,기타법인_거래량_순매수,개인_거래량_순매수,외국인합계_거래량_순매수,전체_거래량_순매수,기관합계_거래량_매수,기타법인_거래량_매수,개인_거래량_매수,외국인합계_거래량_매수,전체_거래량_매수,기관합계_거래량_매도,기타법인_거래량_매도,개인_거래량_매도,외국인합계_거래량_매도,전체_거래량_매도,기관합계_거래대금_순매수,기타법인_거래대금_순매수,개인_거래대금_순매수,외국인합계_거래대금_순매수,전체_거래대금_순매수,기관합계_거래대금_매수,기타법인_거래대금_매수,개인_거래대금_매수,외국인합계_거래대금_매수,전체_거래대금_매수,기관합계_거래대금_매도,기타법인_거래대금_매도,개인_거래대금_매도,외국인합계_거래대금_매도,전체_거래대금_매도
2019-01-02,60539,60539,56034,56410,1175854,-5.651541253407817,10910,34.28,5.51,1753,0.58,350,-456464,10056,460006,-13598,0,48639,12215,956625,158375,1175854,505103,2159,496619,171973,1175854,-27869800800,613214800,28046575800,-789989800,0,2959824100,744336300,58546114700,9647960500,71898235600,30829624900,131121500,30499538900,10437950300,71898235600
2019-01-03,56879,57536,53594,53970,1070099,-4.32547420670094,10910,32.8,5.27,1753,0.61,350,-265919,2542,316014,-52637,0,29751,13575,820748,206025,1070099,295670,11033,504734,258662,1070099,-15488600100,149647900,18483614900,-3144662700,0,1744403500,799944100,48144139400,12003714200,62692201200,17233003600,650296200,29660524500,15148376900,62692201200
2019-01-04,53500,54908,52093,54815,886871,1.5656846396146007,10910,33.31,5.35,1753,0.6,350,-155171,6740,66365,82066,0,73772,9212,588826,215061,886871,228943,2472,522461,132995,886871,-8838269700,378027000,3768678400,4691564300,0,4208757500,519547900,33551436500,12266754000,50546495900,13047027200,141520900,29782758100,7575189700,50546495900
2019-01-07,56316,58006,55847,57349,753617,4.622822220195202,10910,34.85,5.6,1753,0.57,350,44191,1118,-17067,-28242,0,129118,7693,477133,139673,753617,84927,6575,494200,167915,753617,2672338900,67198200,-1066057200,-1673479900,0,7842617900,466176100,28980694800,8499193500,45788682300,5170279000,398977900,30046752000,10172673400,45788682300
2019-01-08,57160,57160,54814,54908,603462,-4.256395054839666,10910,33.37,5.36,1753,0.6,350,-93774,-1174,189704,-94756,0,23951,3395,496716,79400,603462,117725,4569,307012,174156,603462,-5512760500,-69141300,11182835900,-5600934100,0,1410630300,200270500,29310393800,4680855800,35602150400,6923390800,269411800,18127557900,10281789900,35602150400
2019-01-09,55659,56504,54908,55847,464057,1.7101333139068988,10910,33.94,5.45,1753,0.59,350,-9013,8035,-29315,30293,0,33991,11762,291600,126704,464057,43004,3727,320915,96411,464057,-534535000,483210800,-1774158300,1825482500,0,2022883800,705162400,17319069600,7539467700,27586583500,2557418800,221951600,19093227900,5713985200,27586583500
2019-01-10,56128,58005,55377,57630,609028,3.1926513510125885,10910,35.03,5.63,1753,0.57,350,36478,-2938,-136152,102612,0,86288,9959,340775,172006,609028,49810,12897,476927,69394,609028,2262223000,-185668000,-8329945500,6253390500,0,5289066300,604044300,20750867000,10477140800,37121118400,3026843300,789712300,29080812500,4223750300,37121118400
2019-01-11,57630,58287,56504,56880,412912,-1.3014055179593962,10910,34.57,5.55,1753,0.58,350,-54311,-3957,134015,-75747,0,26580,5143,330057,51132,412912,80891,9100,196042,126879,412912,-3297073400,-240478700,8152436100,-4614884000,0,1614819400,312437300,20088142300,3105175600,25120574600,4911892800,552916000,11935706200,7720059600,25120574600
2019-01-14,56973,57160,55752,56316,282391,-0.9915611814345991,10910,34.23,5.5,1753,0.58,350,-30630,3167,9692,17771,0,21187,3858,187783,69563,282391,51817,691,178091,51792,282391,-1835401700,189812500,581141300,1064447900,0,1269881100,231179800,11256196100,4169522600,16926779600,3105282800,41367300,10675054800,3105074700,16926779600
2019-01-15,56597,57724,55565,57724,382585,2.5001775694296473,10910,35.08,5.64,1753,0.57,350,44770,2174,-56528,9584,0,64669,3063,210305,104548,382585,19899,889,266833,94964,382585,2728231800,131488400,-3474700000,614979800,0,3937405500,185277100,12770872200,6367161800,23260716600,1209173700,53788700,16245572200,5752182000,23260716600
2019-01-16,58099,58850,57348,58006,315649,0.4885316332894464,10910,35.25,5.66,1753,0.57,350,-34411,-5602,34497,5516,0,15691,341,252534,47083,315649,50102,5943,218037,41567,315649,-2125544400,-347071800,2132159600,340456600,0,967357100,20957400,15600967500,2904793700,19494075700,3092901500,368029200,13468807900,2564337100,19494075700
