날짜,공시_제목,공시자
2024-08-14,반기보고서 (2024.06),오리엔트정공
2024-05-16,분기보고서 (2024.03),오리엔트정공
2024-04-12,[기재정정]사업보고서 (2023.12),오리엔트정공
2024-03-29,정기주주총회결과              ,오리엔트정공
2024-03-21,감사보고서제출              ,오리엔트정공
2024-03-21,[기재정정]주주총회소집공고,오리엔트정공
2024-03-14,주주총회집중일개최사유신고              ,오리엔트정공
2024-03-14,주주총회소집결의              ,오리엔트정공
2024-03-14,매출액또는손익구조30%(대규모법인은15%)이상변동              ,오리엔트정공
2023-12-15,주주명부폐쇄기간또는기준일설정,오리엔트정공
2023-11-14,분기보고서 (2023.09),오리엔트정공
2023-08-14,반기보고서 (2023.06),오리엔트정공
2023-05-15,분기보고서 (2023.03),오리엔트정공
2023-03-30,사외이사의선임ㆍ해임또는중도퇴임에관한신고,오리엔트정공
2023-03-30,정기주주총회결과,오리엔트정공
2023-03-22,사업보고서 (2022.12),오리엔트정공
2023-03-21,감사보고서제출,오리엔트정공
2023-03-15,주주총회집중일개최사유신고,오리엔트정공
2023-03-15,주주총회소집결의,오리엔트정공
2023-03-15,매출액또는손익구조30%(대규모법인은15%)이상변동,오리엔트정공
2023-03-15,주주총회소집공고,오리엔트정공
2022-12-15,주주명부폐쇄기간또는기준일설정,오리엔트정공
2022-11-14,분기보고서 (2022.09),오리엔트정공
2022-08-16,[기재정정]반기보고서 (2022.06),오리엔트정공
2022-05-16,분기보고서 (2022.03),오리엔트정공
2022-04-19,[첨부추가]타법인주식및출자증권취득결정,오리엔트정공
2022-04-07,주식등의대량보유상황보고서(일반),오리엔트
2022-03-29,정기주주총회결과,오리엔트정공
2022-03-21,사업보고서 (2021.12),오리엔트정공
2022-03-21,감사보고서제출,오리엔트정공
2022-03-21,소속부변경,코스닥시장본부
2022-03-18,주식등의대량보유상황보고서(일반),오리엔트
2022-03-14,주주총회소집결의,오리엔트정공
2022-03-14,주주총회소집공고,오리엔트정공
2022-02-24,매출액또는손익구조30%(대규모법인은15%)이상변동,오리엔트정공
2022-02-08,주식등의대량보유상황보고서(일반),오리엔트
2022-01-14,증권발행실적보고서,오리엔트정공
2022-01-14,증권발행결과(자율공시)(주주배정 유상증자),오리엔트정공
2022-01-13,[기재정정]유상증자또는주식관련사채등의청약결과(자율공시)(주주배정 유상증자),오리엔트정공
2022-01-13,[기재정정]유상증자또는주식관련사채등의청약결과(자율공시)(주주배정 유상증자),오리엔트정공
2022-01-12,임원ㆍ주요주주특정증권등소유상황보고서,오리엔트
2022-01-12,임원ㆍ주요주주특정증권등소유상황보고서,장재진
2022-01-12,임원ㆍ주요주주특정증권등소유상황보고서,오리엔트
2022-01-12,임원ㆍ주요주주특정증권등소유상황보고서,장재진
2022-01-12,[기재정정]주식등의대량보유상황보고서(일반),오리엔트
2022-01-12,[기재정정]주식등의대량보유상황보고서(일반),오리엔트
2022-01-12,주식등의대량보유상황보고서(일반),오리엔트
