item,전체,조건1(t3) 수,조건1(t3) 비율(%),조건2(t6) 수,조건2(t6) 비율(%),조건3(t9) 수,조건3(t9) 비율(%)
condition_number == 11,3,1,33.33,0,0.0,0,0.0
condition_number == 10,12,12,100.0,6,50.0,5,41.67
condition_number == 9,9,9,100.0,8,88.89,5,55.56
condition_number == 8,5,5,100.0,2,40.0,2,40.0
condition_number == 7,7,5,71.43,2,28.57,1,14.29
condition_number == 6,7,2,28.57,0,0.0,0,0.0
condition_number == 5,2,1,50.0,0,0.0,0,0.0
condition_number == 4,4,0,0.0,0,0.0,0,0.0
condition_number == 3,2,1,50.0,1,50.0,0,0.0
condition_number == 2,5,0,0.0,0,0.0,0,0.0
condition_number == 1,1,0,0.0,0,0.0,0,0.0
