item,전체,조건1(t3) 수,조건1(t3) 비율(%),조건2(t6) 수,조건2(t6) 비율(%),조건3(t9) 수,조건3(t9) 비율(%)
condition_number == 12,6,6,100.0,3,50.0,3,50.0
condition_number == 11,2,2,100.0,2,100.0,2,100.0
condition_number == 10,9,9,100.0,5,55.56,2,22.22
condition_number == 9,11,11,100.0,7,63.64,6,54.55
condition_number == 8,14,10,71.43,5,35.71,4,28.57
condition_number == 7,9,9,100.0,6,66.67,5,55.56
condition_number == 6,4,3,75.0,2,50.0,1,25.0
condition_number == 5,1,1,100.0,1,100.0,1,100.0
condition_number == 4,1,1,100.0,1,100.0,0,0.0
