날짜,공시_제목,공시자
2024-11-14,분기보고서 (2024.09),대동기어
2024-08-14,반기보고서 (2024.06),대동기어
2024-05-16,분기보고서 (2024.03),대동기어
2024-03-21,정기주주총회결과              ,대동기어
2024-03-21,사외이사의선임ㆍ해임또는중도퇴임에관한신고,대동기어
2024-03-12,사업보고서 (2023.12),대동기어
2024-03-11,감사보고서제출              ,대동기어
2024-03-05,주주총회소집공고,대동기어
2024-03-05,현금ㆍ현물배당결정              ,대동기어
2024-03-05,주주총회소집결의              ,대동기어
2024-03-05,매출액또는손익구조30%(대규모법인은15%)이상변동              ,대동기어
2023-11-14,[기재정정]반기보고서 (2023.06),대동기어
2023-11-14,분기보고서 (2023.09),대동기어
2023-09-13,임원ㆍ주요주주특정증권등소유상황보고서,득인기공
2023-05-15,분기보고서 (2023.03),대동기어
2023-04-28,소속부변경,코스닥시장본부
2023-03-22,[기재정정]정기주주총회결과,대동기어
2023-03-22,대표이사변경,대동기어
2023-03-14,사업보고서 (2022.12),대동기어
2023-03-13,감사보고서제출,대동기어
2023-03-07,주주총회소집공고,대동기어
2023-03-07,주주총회소집결의,대동기어
2023-03-07,현금ㆍ현물배당결정,대동기어
2022-11-14,분기보고서 (2022.09),대동기어
2022-08-16,반기보고서 (2022.06),대동기어
2022-05-16,분기보고서 (2022.03),대동기어
2022-05-09,임원ㆍ주요주주특정증권등소유상황보고서,강경규
2022-03-24,정기주주총회결과,대동기어
2022-03-24,사외이사의선임ㆍ해임또는중도퇴임에관한신고,대동기어
2022-03-15,사업보고서 (2021.12),대동기어
2022-03-14,감사보고서제출,대동기어
2022-03-07,주주총회소집공고,대동기어
2022-03-07,주주총회소집결의,대동기어
2022-03-07,현금ㆍ현물배당결정,대동기어
2022-03-07,매출액또는손익구조30%(대규모법인은15%)이상변동,대동기어
2021-11-15,분기보고서 (2021.09),대동기어
2021-08-17,반기보고서 (2021.06),대동기어
2021-06-08,임원ㆍ주요주주특정증권등소유상황보고서,강경규
2021-05-24,조회공시요구(현저한시황변동)에대한답변(중요정보없음),대동기어
2021-05-21,조회공시요구(현저한시황변동),코스닥시장본부
2021-05-17,분기보고서 (2021.03),대동기어
2021-05-07,임원ㆍ주요주주특정증권등소유상황보고서,강경규
2021-04-22,조회공시요구(현저한시황변동)에대한답변(중요정보없음),대동기어
2021-04-21,조회공시요구(현저한시황변동),코스닥시장본부
2021-03-19,정기주주총회결과,대동기어
2021-03-09,사업보고서 (2020.12),대동기어
2021-03-05,감사보고서제출,대동기어
2021-03-02,주주총회소집공고,대동기어
2021-02-26,현금ㆍ현물배당결정,대동기어
2021-02-26,매출액또는손익구조30%(대규모법인은15%)이상변동,대동기어
2021-02-26,주주총회소집결의,대동기어
2020-11-16,분기보고서 (2020.09),대동기어
2020-11-06,임원ㆍ주요주주특정증권등소유상황보고서,강경규
2020-08-14,반기보고서 (2020.06),대동기어
2020-06-23,유동성공급계약의체결,대동기어
2020-05-15,분기보고서 (2020.03),대동기어
2020-05-07,임원ㆍ주요주주특정증권등소유상황보고서,강경규
2020-03-30,사업보고서 (2019.12),대동기어
2020-03-20,대표이사변경,대동기어
2020-03-20,정기주주총회결과,대동기어
2020-03-20,사외이사의선임ㆍ해임또는중도퇴임에관한신고,대동기어
2020-03-20,사외이사의선임ㆍ해임또는중도퇴임에관한신고,대동기어
2020-03-20,사외이사의선임ㆍ해임또는중도퇴임에관한신고,대동기어
2020-03-09,감사보고서제출,대동기어
2020-03-04,주주총회소집공고,대동기어
2020-03-04,주주총회집중일개최사유신고,대동기어
2020-03-04,주주총회소집결의,대동기어
2020-03-04,현금ㆍ현물배당결정,대동기어
2020-03-04,매출액또는손익구조30%(대규모법인은15%)이상변동,대동기어
2019-12-27,주식등의대량보유상황보고서(일반),대동
2019-11-14,분기보고서 (2019.09),대동기어
2019-08-14,반기보고서 (2019.06),대동기어
2019-06-20,유동성공급계약의체결,대동기어
2019-05-24,소속부변경,코스닥시장본부
2019-05-15,분기보고서 (2019.03),대동기어
2019-05-08,임원ㆍ주요주주특정증권등소유상황보고서,득인기공
2019-05-07,임원ㆍ주요주주특정증권등소유상황보고서,대동
2019-05-03,임원ㆍ주요주주특정증권등소유상황보고서,김준식
2019-04-29,주권매매거래정지해제(액면분할 주권 변경상장),코스닥시장본부
2019-04-22,주식등의대량보유상황보고서(일반),대동
2019-04-22,임원ㆍ주요주주특정증권등소유상황보고서,김준식
2019-04-19,주권매매거래정지(구주권 제출),코스닥시장본부
2019-04-01,기타시장안내(관리종목 지정 우려(주식분산기준 미달)),코스닥시장본부
2019-04-01,사업보고서 (2018.12),대동기어
2019-03-22,정기주주총회결과,대동기어
2019-03-07,감사보고서제출,대동기어
2019-03-04,주주총회소집공고,대동기어
2019-02-28,주식분할결정,대동기어
2019-02-28,주주총회소집결의,대동기어
2019-02-28,주주총회집중일개최사유신고,대동기어
2019-02-28,현금ㆍ현물배당결정,대동기어
2019-02-28,매출액또는손익구조30%(대규모법인은15%)이상변동,대동기어
