날짜,시가,고가,저가,종가,거래량,등락률,BPS,PER,PBR,EPS,DIV,DPS,기관합계_거래량_순매수,기타법인_거래량_순매수,개인_거래량_순매수,외국인합계_거래량_순매수,전체_거래량_순매수,기관합계_거래량_매수,기타법인_거래량_매수,개인_거래량_매수,외국인합계_거래량_매수,전체_거래량_매수,기관합계_거래량_매도,기타법인_거래량_매도,개인_거래량_매도,외국인합계_거래량_매도,전체_거래량_매도,기관합계_거래대금_순매수,기타법인_거래대금_순매수,개인_거래대금_순매수,외국인합계_거래대금_순매수,전체_거래대금_순매수,기관합계_거래대금_매수,기타법인_거래대금_매수,개인_거래대금_매수,외국인합계_거래대금_매수,전체_거래대금_매수,기관합계_거래대금_매도,기타법인_거래대금_매도,개인_거래대금_매도,외국인합계_거래대금_매도,전체_거래대금_매도
2023-10-04,18685,21011,10555,10756,20260608,,3458,34.29,6.22,627,0.0,0,-528841,-24709,642164,-88614,0,2879,16264,10096192,20670,10136005,531720,40973,9454028,109284,10136005,-19903270550,-939524800,24059478650,-3216683300,0,98953050,518977050,319310306050,657625300,320585861450,20002223600,1458501850,295250827400,3874308600,320585861450
2023-10-05,10030,13857,9269,13232,19814431,23.019709929341765,3458,42.19,7.65,627,0.0,0,-5436,2802,2284,350,0,457,17634,9832138,62562,9912791,5893,14832,9829854,62212,9912791,-117892450,71235350,70383990,-23726890,0,10311050,432730800,238874956650,1439328400,240757326900,128203500,361495450,238804572660,1463055290,240757326900
2023-10-06,12781,15708,12706,13307,13107519,0.566807738814994,3458,42.42,7.69,627,0.0,0,-2708,-2152,4557,303,0,1472,9055,6514242,32679,6557448,4180,11207,6509685,32376,6557448,-79591100,-55133850,129388250,5336700,0,44890800,255219150,191058256500,949984400,192308350850,124481900,310353000,190928868250,944647700,192308350850
2023-10-10,14357,16033,13231,13607,9544364,2.2544525437739535,3458,43.38,7.87,627,0.0,0,-244,-1210,-27872,29326,0,1888,9424,4489341,274215,4774868,2132,10634,4517213,244889,4774868,-7568100,-36096100,-915633800,959298000,0,56027800,284785850,134004600150,8255193500,142600607300,63595900,320881950,134920233950,7295895500,142600607300
2023-10-11,15108,15458,13682,14333,4409286,5.335489086499596,3458,45.69,8.29,627,0.0,0,-633,1972,27809,-29148,0,0,7745,2128617,69522,2205884,633,5773,2100808,98670,2205884,-18735600,55157700,832293550,-868715650,0,0,224310750,62086764900,2022555250,64333630900,18735600,169153050,61254471350,2891270900,64333630900
2023-10-12,14132,14482,12931,13107,1786294,-8.553687295053374,3458,41.79,7.58,627,0.0,0,0,-2223,-6167,8390,0,2000,362,847799,43489,893650,2000,2585,853966,35099,893650,3250000,-58975500,-175658850,231384350,0,56850000,9677800,22868164800,1188509000,24123201600,53600000,68653300,23043823650,957124650,24123201600
2023-10-13,12881,12906,11305,11606,1592467,-11.451895933470665,3458,37.0,6.71,627,0.0,0,115,1610,-6307,4582,0,263,4206,745375,46838,796682,148,2596,751682,42256,796682,2832800,40550850,-154581900,111198250,0,6415550,102546100,17737989750,1109913300,18956864700,3582750,61995250,17892571650,998715050,18956864700
2023-10-16,11056,13632,10655,12457,7877724,7.33241426848182,3458,39.71,7.2,627,0.0,0,-129,-1865,-5911,7905,0,46,2097,3831284,107652,3941079,175,3962,3837195,99747,3941079,-2990250,-43883450,-94979200,141852900,0,1124900,50806150,96359390000,2607405650,99018726700,4115150,94689600,96454369200,2465552750,99018726700
2023-10-17,12155,13206,11580,12156,3667698,-2.4163121136710286,3458,38.76,7.03,627,0.0,0,250,2,17905,-18157,0,924,1183,1781269,51505,1834881,674,1181,1763364,69662,1834881,5565700,-264200,462631600,-467933100,0,23227700,29446350,44612245200,1271896850,45936816100,17662000,29710550,44149613600,1739829950,45936816100
2023-10-18,11756,12757,10655,10756,2392325,-11.516946363935505,3458,34.29,6.22,627,0.0,0,-183,1587,-5937,4533,0,1001,2207,1140845,52783,1196836,1184,620,1146782,48250,1196836,-5304850,36737000,-123988600,92556450,0,23866900,49830350,27150783000,1254281750,28478762000,29171750,13093350,27274771600,1161725300,28478762000
