날짜,공시_제목,공시자
2024-11-07,주식등의대량보유상황보고서(일반),김영달
2024-10-10,주식등의대량보유상황보고서(약식),피델리티매니지먼트앤리서치컴퍼니엘엘씨
2024-10-04,자기주식취득결과보고서,아이디스홀딩스
2024-10-02,임원ㆍ주요주주특정증권등소유상황보고서,김기수
2024-09-06,주식등의대량보유상황보고서(약식),피델리티매니지먼트앤리서치컴퍼니엘엘씨
2024-08-14,반기보고서 (2024.06),아이디스홀딩스
2024-07-24,주요사항보고서(자기주식취득결정),아이디스홀딩스
2024-07-18,주식등의대량보유상황보고서(일반),김영달
2024-07-18,임원ㆍ주요주주특정증권등소유상황보고서,김기수
2024-07-10,임원ㆍ주요주주특정증권등소유상황보고서,김기수
2024-06-10,임원ㆍ주요주주특정증권등소유상황보고서,김기수
2024-05-27,임원ㆍ주요주주특정증권등소유상황보고서,김기수
2024-05-16,분기보고서 (2024.03),아이디스홀딩스
2024-05-10,주식등의대량보유상황보고서(약식),피델리티매니지먼트앤리서치컴퍼니엘엘씨
2024-04-30,소속부변경              ,코스닥시장본부
2024-04-30,주식등의대량보유상황보고서(일반),김영달
2024-04-11,주식등의대량보유상황보고서(약식),박영옥
2024-03-28,정기주주총회결과              ,아이디스홀딩스
2024-03-22,주식등의대량보유상황보고서(일반),김영달
2024-03-20,사업보고서 (2023.12),아이디스홀딩스
2024-03-15,감사보고서제출              ,아이디스홀딩스
2024-03-07,주식등의대량보유상황보고서(약식),피델리티매니지먼트앤리서치컴퍼니엘엘씨
2024-02-29,주주총회소집공고,아이디스홀딩스
2024-02-29,주주총회소집결의              ,아이디스홀딩스
2024-02-22,주식등의대량보유상황보고서(일반),김영달
2024-02-22,임원ㆍ주요주주특정증권등소유상황보고서,김기수
2024-02-16,현금ㆍ현물배당결정              ,아이디스홀딩스
2024-02-16,매출액또는손익구조30%(대규모법인은15%)이상변동              ,아이디스홀딩스
2024-02-08,주식등의대량보유상황보고서(약식),박영옥
2024-01-12,주식등의대량보유상황보고서(약식),박영옥
2023-12-28,유동성공급계약의체결,아이디스홀딩스
2023-12-14,주주명부폐쇄기간또는기준일설정,아이디스홀딩스
2023-11-14,분기보고서 (2023.09),아이디스홀딩스
2023-08-11,반기보고서 (2023.06),아이디스홀딩스
2023-05-15,분기보고서 (2023.03),아이디스홀딩스
2023-03-29,사외이사의선임ㆍ해임또는중도퇴임에관한신고,아이디스홀딩스
2023-03-29,정기주주총회결과,아이디스홀딩스
2023-03-21,사업보고서 (2022.12),아이디스홀딩스
2023-03-14,감사보고서제출,아이디스홀딩스
2023-02-24,주주총회소집공고,아이디스홀딩스
2023-02-15,[기재정정]매출액또는손익구조30%(대규모법인은15%)이상변동,아이디스홀딩스
2023-02-15,주주총회소집결의,아이디스홀딩스
2023-02-07,현금ㆍ현물배당결정,아이디스홀딩스
2022-12-13,주주명부폐쇄기간또는기준일설정,아이디스홀딩스
2022-11-14,분기보고서 (2022.09),아이디스홀딩스
2022-10-26,기업설명회(IR)개최,아이디스홀딩스
2022-09-27,주식등의대량보유상황보고서(일반),김영달
2022-09-07,주식등의대량보유상황보고서(일반),김영달
2022-09-07,임원ㆍ주요주주특정증권등소유상황보고서,김영달
2022-08-30,주식등의대량보유상황보고서(일반),김영달
2022-08-30,임원ㆍ주요주주특정증권등소유상황보고서,김영달
2022-08-16,반기보고서 (2022.06),아이디스홀딩스
2022-08-16,자기주식취득결과보고서,아이디스홀딩스
2022-05-16,분기보고서 (2022.03),아이디스홀딩스
2022-05-11,주요사항보고서(자기주식취득결정),아이디스홀딩스
2022-05-10,주식등의대량보유상황보고서(약식),피델리티매니지먼트앤리서치컴퍼니엘엘씨
2022-03-29,정기주주총회결과,아이디스홀딩스
2022-03-21,사업보고서 (2021.12),아이디스홀딩스
2022-03-14,감사보고서제출,아이디스홀딩스
2022-03-10,주식등의대량보유상황보고서(약식),박영옥
2022-03-02,[첨부정정]의결권대리행사권유참고서류,아이디스홀딩스
2022-02-25,주주총회소집공고,아이디스홀딩스
2022-02-18,주주총회소집결의,아이디스홀딩스
2022-02-11,현금ㆍ현물배당결정,아이디스홀딩스
2021-12-09,주주명부폐쇄기간또는기준일설정,아이디스홀딩스
2021-11-15,분기보고서 (2021.09),아이디스홀딩스
2021-08-25,주식등의대량보유상황보고서(약식),피델리티매니지먼트앤리서치컴퍼니엘엘씨
2021-08-17,반기보고서 (2021.06),아이디스홀딩스
2021-05-31,[기재정정]타법인주식및출자증권취득결정(종속회사의주요경영사항),아이디스홀딩스
2021-05-17,분기보고서 (2021.03),아이디스홀딩스
2021-03-30,정기주주총회결과,아이디스홀딩스
2021-03-22,사업보고서 (2020.12),아이디스홀딩스
2021-03-17,감사보고서제출,아이디스홀딩스
2021-03-05,주주총회소집공고,아이디스홀딩스
2021-02-26,주주총회집중일개최사유신고,아이디스홀딩스
2021-02-26,주주총회소집결의,아이디스홀딩스
2021-02-15,현금ㆍ현물배당결정,아이디스홀딩스
2021-02-15,매출액또는손익구조30%(대규모법인은15%)이상변동,아이디스홀딩스
2021-02-02,주식등의대량보유상황보고서(약식),한국투자밸류자산운용
2021-01-11,타법인주식및출자증권취득결정(종속회사의주요경영사항),아이디스홀딩스
2021-01-11,타법인주식및출자증권취득결정(종속회사의주요경영사항),아이디스홀딩스
2021-01-07,임원ㆍ주요주주특정증권등소유상황보고서,한국투자밸류자산운용
2021-01-05,주식등의대량보유상황보고서(약식),한국투자밸류자산운용
2021-01-05,주식등의대량보유상황보고서(약식),박영옥
2020-12-23,주식등의대량보유상황보고서(약식),박영옥
2020-12-14,주주명부폐쇄기간또는기준일설정,아이디스홀딩스
2020-12-02,주식등의대량보유상황보고서(약식),한국투자밸류자산운용
2020-11-24,주식등의대량보유상황보고서(일반),김영달
2020-11-16,분기보고서 (2020.09),아이디스홀딩스
2020-10-08,임원ㆍ주요주주특정증권등소유상황보고서,한국투자밸류자산운용
2020-08-20,[기재정정]반기보고서 (2020.06),아이디스홀딩스
2020-07-14,주식등의대량보유상황보고서(일반),김영달
2020-07-14,임원ㆍ주요주주특정증권등소유상황보고서,김영달
2020-07-06,임원ㆍ주요주주특정증권등소유상황보고서,한국투자밸류자산운용
2020-05-15,분기보고서 (2020.03),아이디스홀딩스
2020-04-28,주식등의대량보유상황보고서(일반),김영달
2020-04-28,임원ㆍ주요주주특정증권등소유상황보고서,김영달
2020-04-16,주식등의대량보유상황보고서(일반),김영달
2020-04-08,임원ㆍ주요주주특정증권등소유상황보고서,한국투자밸류자산운용
2020-03-30,사업보고서 (2019.12),아이디스홀딩스
2020-03-27,주식등의대량보유상황보고서(일반),김영달
2020-03-26,사외이사의선임ㆍ해임또는중도퇴임에관한신고,아이디스홀딩스
2020-03-26,사외이사의선임ㆍ해임또는중도퇴임에관한신고,아이디스홀딩스
2020-03-26,정기주주총회결과,아이디스홀딩스
2020-03-18,감사보고서제출,아이디스홀딩스
2020-03-04,주주총회소집공고,아이디스홀딩스
2020-03-02,주주총회소집결의,아이디스홀딩스
2020-03-02,주주총회집중일개최사유신고,아이디스홀딩스
2020-02-13,매출액또는손익구조30%(대규모법인은15%)이상변동,아이디스홀딩스
2020-02-13,현금ㆍ현물배당결정,아이디스홀딩스
2020-01-22,주식등의대량보유상황보고서(약식),피델리티매니지먼트앤리서치컴퍼니엘엘씨
2020-01-10,임원ㆍ주요주주특정증권등소유상황보고서,한국투자밸류자산운용
2019-12-16,주주명부폐쇄기간또는기준일설정,아이디스홀딩스
2019-11-14,분기보고서 (2019.09),아이디스홀딩스
2019-10-10,임원ㆍ주요주주특정증권등소유상황보고서,한국투자밸류자산운용
2019-09-06,주식등의대량보유상황보고서(약식),한국투자밸류자산운용
2019-08-19,주식등의대량보유상황보고서(일반),김영달
2019-08-19,임원ㆍ주요주주특정증권등소유상황보고서,김영달
2019-08-14,반기보고서 (2019.06),아이디스홀딩스
2019-08-07,임원ㆍ주요주주특정증권등소유상황보고서,김기수
2019-07-29,임원ㆍ주요주주특정증권등소유상황보고서,김기수
2019-07-17,단기차입금감소결정(자율공시),아이디스홀딩스
2019-07-03,임원ㆍ주요주주특정증권등소유상황보고서,한국투자밸류자산운용
2019-07-01,임원ㆍ주요주주특정증권등소유상황보고서,한국투자밸류자산운용
2019-06-24,임원ㆍ주요주주특정증권등소유상황보고서,한국투자밸류자산운용
2019-06-17,임원ㆍ주요주주특정증권등소유상황보고서,한국투자밸류자산운용
2019-06-10,임원ㆍ주요주주특정증권등소유상황보고서,한국투자밸류자산운용
2019-05-31,임원ㆍ주요주주특정증권등소유상황보고서,한국투자밸류자산운용
