회사명,매집일,이상_가격,매석_거래,신고가_매집봉,매집_기간,매집_저항,매석_종가,등락률,포착일_매석,매집_거래량,매석_거래량,골크_단중,골크_중장,우상향_5일,우상향_20일,우상향_60일,거래대금_억,시가총액_억,주식수,시총_순위_2737,이상_거래량,회사_코드
맥쿼리인프라,2024-12-04,False,True,False,9,11150,11200.0,0.9009009009009008,2024-12-13,2203853,938928.0,False,False,True,False,False,105,53639,478921993,68,True,088980
넷마블,2024-12-02,False,True,False,11,57700,58000.0,1.9332161687170475,2024-12-13,253662,121837.0,True,False,True,True,False,70,49853,85953502,74,True,251270
카카오페이,2024-12-04,True,True,False,9,33200,33450.0,10.396039603960396,2024-12-13,7412177,3588668.0,True,True,True,True,True,1171,45031,134622559,82,True,377300
카카오페이,2024-12-05,True,False,False,8,32000,33450.0,10.396039603960396,2024-12-13,3272358,3588668.0,True,True,True,True,True,1171,45031,134622559,82,True,377300
카카오페이,2024-12-06,True,True,False,7,32300,33450.0,10.396039603960396,2024-12-13,8072606,3588668.0,True,True,True,True,True,1171,45031,134622559,82,True,377300
키움증권,2024-12-12,False,True,False,1,120700,122800.0,1.9087136929460584,2024-12-13,143819,52257.0,False,False,True,True,False,63,31346,25526706,109,True,039490
에스원,2024-12-12,False,True,False,1,64400,64700.0,3.685897435897436,2024-12-13,95036,48683.0,True,True,True,True,True,31,24585,37999178,127,True,012750
농심,2024-11-15,False,True,False,28,361500,369500.0,4.526166902404526,2024-12-13,79256,37606.0,True,False,True,True,False,138,22475,6082642,136,True,004370
현대엘리베이,2024-11-27,True,False,True,16,55700,57100.0,13.293650793650794,2024-12-13,549757,894888.0,False,True,True,True,True,505,22321,39092385,138,True,017800
카카오게임즈,2024-07-04,False,False,False,162,20350,20900.0,18.27956989247312,2024-12-13,1001752,8130280.0,True,True,True,True,True,1716,17312,82835029,168,True,293490
카카오게임즈,2024-12-04,True,False,False,9,19800,20900.0,18.27956989247312,2024-12-13,1033144,8130280.0,True,True,True,True,True,1716,17312,82835029,168,True,293490
금양,2024-12-12,False,False,False,1,24100,26200.0,8.71369294605809,2024-12-13,5683136,7307887.0,False,False,True,False,False,1968,16759,63967196,174,True,001570
테크윙,2024-12-11,False,True,False,2,33300,34350.0,5.206738131699847,2024-12-13,4626428,1035232.0,False,False,False,False,False,349,12830,37353645,210,True,089030
DI동일,2024-12-12,False,True,True,1,46400,49600.0,6.896551724137931,2024-12-13,587442,450250.0,True,True,True,True,True,224,12506,25215672,215,True,001530
SOOP,2024-12-11,False,True,False,2,101000,102900.0,3.5211267605633805,2024-12-13,189212,92644.0,False,True,False,True,True,95,11828,11494767,224,True,067160
빙그레,2024-11-25,True,True,False,18,74000,74300.0,1.9204389574759944,2024-12-13,313939,75694.0,True,True,True,True,True,56,7319,9851241,311,True,005180
성광벤드,2024-11-25,True,True,True,18,22800,23800.0,8.181818181818182,2024-12-13,4748230,1848597.0,True,True,True,True,True,435,6646,27928547,331,True,014620
비보존 제약,2021-06-08,True,False,False,1284,9400,11310.0,30.0,2024-12-13,2006272,2528065.0,True,True,True,True,True,286,5666,50104666,371,True,082800
비보존 제약,2023-02-09,True,True,True,673,9385,11310.0,30.0,2024-12-13,14071911,2528065.0,True,True,True,True,True,286,5666,50104666,371,True,082800
두산테스나,2024-12-12,False,True,False,1,27350,27750.0,1.834862385321101,2024-12-13,306354,129264.0,True,False,True,True,False,35,5363,19327238,388,True,131970
아난티,2024-11-11,True,False,False,32,5850,5870.0,7.312614259597806,2024-12-13,2418857,4672217.0,True,True,True,True,True,279,5202,88629478,396,True,025980
에스티큐브,2024-10-21,True,False,False,53,6719,7440.0,28.942807625649912,2024-12-13,1390580,2016607.0,True,False,True,True,True,143,5056,67966105,407,True,052020
메디포스트,2023-07-12,True,False,False,520,13809,14180.0,19.561551433389543,2024-12-13,311541,2383557.0,True,True,True,True,True,323,4852,34217785,418,True,078160
메디포스트,2024-12-12,True,False,True,1,12110,14180.0,19.561551433389543,2024-12-13,1359070,2383557.0,True,True,True,True,True,323,4852,34217785,418,True,078160
파트론,2024-12-12,False,True,False,1,7340,7450.0,2.3351648351648358,2024-12-13,615190,224928.0,False,False,True,True,True,16,4389,58918214,451,True,091700
파미셀,2024-12-12,True,True,False,1,7180,7210.0,1.1220196353436185,2024-12-13,7947187,2920337.0,True,True,True,True,True,212,4327,60016964,457,True,005690
