회사명,매집일,이상_가격,매석_거래,신고가_매집봉,매집_기간,매집_저항,매석_종가,등락률,포착일_매석,매집_거래량,매석_거래량,골크_단중,골크_중장,우상향_5일,우상향_20일,우상향_60일,거래대금_억,시가총액_억,주식수,매석_일반_상승,장기하락일수,장기하락비율,우선주,스팩주,시총_순위_2744,이상_거래량,회사_코드
한국경제TV,2024-12-03,False,True,False,21,6120,6130.0,0.4918032786885246,2024-12-24,256302,53576.0,True,True,True,True,True,3,1409,23000000,True,450,61.05834464043419,False,False,1081,True,039340
메가스터디,2024-12-23,False,True,False,1,11610,11700.0,1.2110726643598615,2024-12-24,213521,25107.0,True,True,True,True,True,2,1394,11920959,True,428,58.073270013568525,False,False,1091,True,072870
켐트로스,2024-12-19,False,False,False,5,4615,4770.0,4.490690032858708,2024-12-24,3311314,10138547.0,True,False,True,True,False,546,1266,26558307,True,519,70.42062415196743,False,False,1168,True,220260
한스바이오메드,2024-12-13,False,True,False,11,9090,9200.0,3.720405862457723,2024-12-24,79387,25610.0,True,False,True,True,False,2,1244,13526367,True,438,59.43012211668928,False,False,1184,True,042520
세아특수강,2024-12-23,False,True,False,1,14010,14110.0,0.9298998569384836,2024-12-24,26980,24839.0,True,False,True,True,True,3,1209,8570000,True,485,65.80732700135685,False,False,1206,True,019440
액션스퀘어,2023-11-30,True,False,False,390,2150,2300.0,10.576923076923077,2024-12-24,962481,1859410.0,True,True,True,True,True,43,1194,51928120,True,424,57.53052917232022,False,False,1216,True,205500
액션스퀘어,2024-02-07,True,False,False,321,2245,2300.0,10.576923076923077,2024-12-24,1163607,1859410.0,True,True,True,True,True,43,1194,51928120,True,412,55.902306648575305,False,False,1216,True,205500
액션스퀘어,2024-12-16,True,True,False,8,2215,2300.0,10.576923076923077,2024-12-24,4720015,1859410.0,True,True,True,True,True,43,1194,51928120,True,549,74.49118046132972,False,False,1216,True,205500
디엔에이링크,2022-09-02,True,True,True,844,5120,5160.0,1.37524557956778,2024-12-24,1227885,404881.0,True,True,True,True,True,21,1160,22483843,True,357,48.43962008141113,False,False,1243,True,127120
정상제이엘에스,2024-12-23,False,True,False,1,6620,6620.0,0.151285930408472,2024-12-24,90341,88810.0,True,True,True,True,True,5,1037,15677552,True,521,70.69199457259158,False,False,1356,True,040420
한국특강,2024-12-20,False,True,False,4,1607,1615.0,0.9375,2024-12-24,272414,127638.0,True,False,True,True,True,2,982,60813311,True,582,78.96879240162822,False,False,1404,True,007280
비아트론,2024-10-10,False,True,False,75,7260,7300.0,0.6896551724137931,2024-12-24,98552,29646.0,True,True,True,True,True,2,884,12114710,True,436,59.15875169606512,False,False,1493,True,141000
일동홀딩스,2024-12-11,False,False,False,13,7260,7360.0,10.344827586206897,2024-12-24,211439,864598.0,True,False,True,True,False,67,849,11540400,False,507,68.79240162822252,False,False,1533,True,000230
동일금속,2024-12-18,False,True,False,6,8050,8090.0,2.275600505689001,2024-12-24,20275,3272.0,False,False,True,False,False,0,736,9100000,True,367,49.796472184531886,False,False,1671,True,109860
우양,2024-11-28,False,False,False,26,3955,4065.0,11.829436038514444,2024-12-24,2243569,3032015.0,True,False,True,True,False,121,665,16366428,False,440,59.70149253731343,False,False,1758,True,103840
우양,2024-12-23,False,False,False,1,3740,4065.0,11.829436038514444,2024-12-24,1640916,3032015.0,True,False,True,True,False,121,665,16366428,False,440,59.70149253731343,False,False,1758,True,103840
나래나노텍,2024-08-30,False,True,False,116,4660,4800.0,7.38255033557047,2024-12-24,407308,117401.0,True,True,True,True,True,5,530,11059422,True,403,54.681139755766615,False,False,1968,True,137080
나래나노텍,2024-12-23,False,False,False,1,4530,4800.0,7.38255033557047,2024-12-24,98242,117401.0,True,True,True,True,True,5,530,11059422,True,473,64.17910447761194,False,False,1968,True,137080
부국철강,2024-11-12,False,False,False,42,2495,2520.0,2.4390243902439024,2024-12-24,80442,481918.0,True,False,True,True,False,12,504,20000000,True,469,63.63636363636363,False,False,2018,True,026940
SGC E&C,2024-12-09,False,True,False,15,13390,13520.0,1.1219147344801794,2024-12-24,23874,1498.0,True,False,True,False,False,0,438,3243585,True,569,77.20488466757124,False,False,2129,True,016250
스타에스엠리츠,2024-12-23,False,True,False,1,2910,2915.0,0.8650519031141869,2024-12-24,283172,85046.0,False,True,True,True,True,2,228,7826815,True,364,49.38941655359565,False,False,2529,True,204210
파인테크닉스,2024-12-20,False,False,False,4,1064,1118.0,30.0,2024-12-24,7793696,8876886.0,True,False,True,True,False,92,178,15923057,False,522,70.82767978290366,False,False,2622,True,106240
흥국화재우,2024-12-23,False,False,False,1,5100,6000.0,18.81188118811881,2024-12-24,12209,191531.0,True,False,True,True,True,13,46,768000,False,490,66.48575305291723,True,False,2832,True,000545
