item,전체,조건1(t3) 수,조건1(t3) 비율(%),조건2(t6) 수,조건2(t6) 비율(%),조건3(t9) 수,조건3(t9) 비율(%)
condition_number == 10,2,1,50.0,0,0.0,0,0.0
condition_number == 9,7,5,71.43,2,28.57,0,0.0
condition_number == 8,9,6,66.67,3,33.33,1,11.11
condition_number == 7,8,2,25.0,0,0.0,0,0.0
condition_number == 6,5,2,40.0,1,20.0,0,0.0
condition_number == 5,7,2,28.57,1,14.29,0,0.0
condition_number == 4,4,2,50.0,2,50.0,0,0.0
condition_number == 3,2,0,0.0,0,0.0,0,0.0
