날짜,시가,고가,저가,종가,거래량,등락률,기관합계_거래량_순매수,기타법인_거래량_순매수,개인_거래량_순매수,외국인합계_거래량_순매수,전체_거래량_순매수,기관합계_거래량_매수,기타법인_거래량_매수,개인_거래량_매수,외국인합계_거래량_매수,전체_거래량_매수,기관합계_거래량_매도,기타법인_거래량_매도,개인_거래량_매도,외국인합계_거래량_매도,전체_거래량_매도,기관합계_거래대금_순매수,기타법인_거래대금_순매수,개인_거래대금_순매수,외국인합계_거래대금_순매수,전체_거래대금_순매수,기관합계_거래대금_매수,기타법인_거래대금_매수,개인_거래대금_매수,외국인합계_거래대금_매수,전체_거래대금_매수,기관합계_거래대금_매도,기타법인_거래대금_매도,개인_거래대금_매도,외국인합계_거래대금_매도,전체_거래대금_매도
2019-01-02,6750,6810,6520,6580,70956,-2.2288261515601784,-17648,0,18884,-1236,0,0,0,66402,4554,70956,17648,0,47518,5790,70956,-116779150,0,124443790,-7664640,0,0,0,440028300,30513630,470541930,116779150,0,315584510,38178270,470541930
2019-01-03,6680,6680,6200,6230,205668,-5.319148936170213,-27463,7984,39386,-19907,0,333,8133,186999,10203,205668,27796,149,147613,30110,205668,-174319720,51430670,250333370,-127444320,0,2160730,52373840,1192509990,64800530,1311845090,176480450,943170,942176620,192244850,1311845090
2019-01-04,6200,6320,6060,6260,73327,0.4815409309791332,-10050,207,11062,-1219,0,0,207,66618,6502,73327,10050,0,55556,7721,73327,-62510450,1282700,68546540,-7318790,0,0,1282700,411092620,40205790,452581110,62510450,0,342546080,47524580,452581110
2019-01-07,6410,6410,6220,6250,92008,-0.1597444089456869,-9188,111,2436,6641,0,0,111,75948,15949,92008,9188,0,73512,9308,92008,-57568010,695970,15473540,41398500,0,0,695970,476562440,99941210,577199620,57568010,0,461088900,58542710,577199620
2019-01-08,6350,6450,6260,6280,80590,0.48,0,-4730,-18730,23460,0,0,5270,50277,25043,80590,0,10000,69007,1583,80590,0,-30285120,-118012790,148297910,0,0,33473700,319035620,158396070,510905390,0,63758820,437048410,10098160,510905390
2019-01-09,6370,6510,6360,6450,81193,2.7070063694267517,-9862,-8220,2537,15545,0,0,1780,59568,19845,81193,9862,10000,57031,4300,81193,-63524060,-53118330,16347600,100294790,0,0,11474650,384409340,128035430,523919420,63524060,64592980,368061740,27740640,523919420
2019-01-10,6480,6800,6480,6590,158105,2.1705426356589146,-6202,-12034,29435,-11199,0,0,3150,149843,5112,158105,6202,15184,120408,16311,158105,-40944080,-80858200,195946570,-74144290,0,0,20690800,996653260,33988870,1051332930,40944080,101549000,800706690,108133160,1051332930
2019-01-11,6600,6650,6500,6600,57713,0.15174506828528073,5284,40,1926,-7250,0,7533,40,46177,3963,57713,2249,0,44251,11213,57713,34999130,262650,12372350,-47634130,0,49847070,262650,304203550,26209960,380523230,14847940,0,291831200,73844090,380523230
2019-01-14,6700,6760,6590,6730,86917,1.9696969696969695,6083,-490,-6664,1071,0,14652,0,64582,7683,86917,8569,490,71246,6612,86917,40465420,-3273220,-44257850,7065650,0,98268890,0,431399100,51080190,580748180,57803470,3273220,475656950,44014540,580748180
2019-01-15,6640,6770,6630,6720,47967,-0.1485884101040119,0,4,-3509,3505,0,0,4,39300,8663,47967,0,0,42809,5158,47967,0,27010,-23433220,23406210,0,0,27010,264194230,58155460,322376700,0,0,287627450,34749250,322376700
