날짜,시가,고가,저가,종가,거래량,등락률,BPS,PER,PBR,EPS,DIV,DPS,기관합계_거래량_순매수,기타법인_거래량_순매수,개인_거래량_순매수,외국인합계_거래량_순매수,전체_거래량_순매수,기관합계_거래량_매수,기타법인_거래량_매수,개인_거래량_매수,외국인합계_거래량_매수,전체_거래량_매수,기관합계_거래량_매도,기타법인_거래량_매도,개인_거래량_매도,외국인합계_거래량_매도,전체_거래량_매도,기관합계_거래대금_순매수,기타법인_거래대금_순매수,개인_거래대금_순매수,외국인합계_거래대금_순매수,전체_거래대금_순매수,기관합계_거래대금_매수,기타법인_거래대금_매수,개인_거래대금_매수,외국인합계_거래대금_매수,전체_거래대금_매수,기관합계_거래대금_매도,기타법인_거래대금_매도,개인_거래대금_매도,외국인합계_거래대금_매도,전체_거래대금_매도,네이버_검색량
2019-01-02,8300,8330,7720,7770,5865933,-5.35931790499391,1240,78.48,6.27,99,0.26,20,-362098,-72791,261588,173301,0,54419,120,5479795,331599,5865933,416517,72911,5218207,158298,5865933,-2877233500,-582590980,2075922420,1383902060,0,431284190,972000,43817345000,2656329660,46905930850,3308517690,583562980,41741422580,1272427600,46905930850,5.8884
2019-01-03,7850,8400,7560,7910,10564629,1.8018018018018018,1240,79.9,6.38,99,0.25,20,-105241,-88865,-527954,722060,0,136780,4004,9175518,1248327,10564629,242021,92869,9703472,526267,10564629,-825446100,-721410770,-4249710940,5796567810,0,1101055810,31542760,73650531990,9993192370,84776322930,1926501910,752953530,77900242930,4196624560,84776322930,6.79192
2019-01-04,7900,7950,7730,7770,3487906,-1.7699115044247788,1240,78.48,6.27,99,0.26,20,-62143,1547,395970,-335374,0,36385,40494,3127376,283651,3487906,98528,38947,2731406,619025,3487906,-486408490,13522570,3092098520,-2619212600,0,284304340,317300630,24452856600,2219328860,27273790430,770712830,303778060,21360758080,4838541460,27273790430,4.96317
2019-01-07,7940,8090,7870,7990,3469185,2.8314028314028317,1240,80.71,6.44,99,0.25,20,52524,4230,-223718,166964,0,91496,6120,3002839,368730,3469185,38972,1890,3226557,201766,3469185,420482740,33925900,-1793688500,1339279860,0,730633270,48915200,23962149770,2945994230,27687692470,310150530,14989300,25755838270,1606714370,27687692470,5.92915
2019-01-08,8050,8550,8050,8210,10800368,2.753441802252816,1240,82.93,6.62,99,0.24,20,-27499,-3655,-182720,213874,0,25551,12225,9885374,877218,10800368,53050,15880,10068094,663344,10800368,-225953460,-30624760,-1567215990,1823794210,0,212990860,103063620,82293456260,7301640560,89911151300,438944320,133688380,83860672250,5477846350,89911151300,7.92324
2019-01-09,8280,8360,8150,8230,3151678,0.24360535931790497,1240,83.13,6.64,99,0.24,20,17208,3050,10204,-30462,0,29824,7257,2841646,272951,3151678,12616,4207,2831442,303413,3151678,141969180,25144730,72076790,-239190700,0,245952660,59726370,23431791280,2256156400,25993626710,103983480,34581640,23359714490,2495347100,25993626710,6.08681
2019-01-10,8280,8320,7990,7990,3287796,-2.916160388821385,1240,80.71,6.44,99,0.25,20,-57694,1589,474580,-418475,0,20429,6688,3133381,127298,3287796,78123,5099,2658801,545773,3287796,-471026080,13038620,3837234890,-3379247430,0,164354150,55102340,25374170550,1037165940,26630792980,635380230,42063720,21536935660,4416413370,26630792980,5.1235
2019-01-11,8010,8340,7990,8320,4477260,4.130162703379224,1240,84.04,6.71,99,0.24,20,-10271,1861,-556874,565284,0,16785,6453,3710439,743583,4477260,27056,4592,4267313,178299,4477260,-84164590,15443060,-4570966610,4639688140,0,137311070,53533600,30502870590,6103001160,36796716420,221475660,38090540,35073837200,1463313020,36796716420,5.44816
2019-01-14,8400,8500,8270,8470,4729597,1.8028846153846152,1240,85.56,6.83,99,0.24,20,-6874,33147,179821,-206094,0,22672,38200,4414192,254533,4729597,29546,5053,4234371,460627,4729597,-57000650,275792170,1500375160,-1719166680,0,190717930,318420340,37062990890,2138238190,39710367350,247718580,42628170,35562615730,3857404870,39710367350,6.16129
2019-01-15,8530,8750,8410,8600,6668872,1.5348288075560803,1240,86.87,6.94,99,0.23,20,83101,11899,54045,-149045,0,101715,13631,6256933,296593,6668872,18614,1732,6202888,445638,6668872,715535270,102291320,457270880,-1275097470,0,874532010,117155880,53730282270,2543895080,57265865240,158996740,14864560,53273011390,3818992550,57265865240,6.87308
