날짜,공시_제목,공시자
2024-04-29,유상증자결정(종속회사의주요경영사항)              ,세아특수강
2024-04-29,타법인주식및출자증권취득결정              ,세아특수강
2024-04-29,신규시설투자등              ,세아특수강
2024-04-08,주식등의대량보유상황보고서(일반),세아홀딩스
2024-04-01,계열회사변경(자율공시)              ,세아특수강
2024-04-01,합병등종료보고서(합병),세아특수강
2024-03-27,임원ㆍ주요주주특정증권등소유상황보고서,세아홀딩스
2024-03-27,주식등의대량보유상황보고서(일반),세아홀딩스
2024-03-27,최대주주등소유주식변동신고서              ,세아특수강
2024-03-21,정기주주총회결과              ,세아특수강
2024-03-21,동일인등출자계열회사와의상품ㆍ용역거래,세아특수강
2024-03-13,[기재정정]사업보고서 (2023.12),세아특수강
2024-03-12,감사보고서제출              ,세아특수강
2024-02-28,대규모기업집단현황공시[분기별공시(개별회사용)],세아특수강
2024-02-27,기타경영사항(자율공시)              ,세아특수강
2024-02-20,주주총회소집공고,세아특수강
2024-02-14,지급수단별ㆍ지급기간별지급금액및분쟁조정기구에관한사항,세아특수강
2024-02-07,주주총회소집결의              ,세아특수강
2024-02-07,임원ㆍ주요주주특정증권등소유상황보고서,김수용
2024-02-07,매출액또는손익구조30%(대규모법인은15%)이상변경              ,세아특수강
2024-02-07,현금ㆍ현물배당결정              ,세아특수강
2024-02-02,동일인등출자계열회사와의상품ㆍ용역거래변경,세아특수강
2024-01-23,[첨부추가]주요사항보고서(회사합병결정),세아특수강
2024-01-23,대표이사(대표집행임원)변경(안내공시),세아특수강
2023-12-27,[기재정정]영업정지(종속회사의주요경영사항),세아특수강
2023-12-21,동일인등출자계열회사와의상품ㆍ용역거래,세아특수강
2023-11-30,대규모기업집단현황공시[분기별공시(개별회사용)],세아특수강
2023-11-14,분기보고서 (2023.09),세아특수강
2023-09-21,동일인등출자계열회사와의상품ㆍ용역거래,세아특수강
2023-09-21,동일인등출자계열회사와의상품ㆍ용역거래변경,세아특수강
2023-08-29,대규모기업집단현황공시[분기별공시(개별회사용)],세아특수강
2023-08-14,반기보고서 (2023.06),세아특수강
2023-08-10,지급수단별ㆍ지급기간별지급금액및분쟁조정기구에관한사항,세아특수강
2023-07-12,동일인등출자계열회사와의상품ㆍ용역거래변경,세아특수강
2023-06-23,수시공시의무관련사항(공정공시),세아특수강
2023-06-23,동일인등출자계열회사와의상품ㆍ용역거래,세아특수강
2023-06-08,[연장결정]주요사항보고서(자기주식취득신탁계약체결결정),세아특수강
2023-05-31,대규모기업집단현황공시[연1회공시및1/4분기용(개별회사)],세아특수강
2023-05-15,분기보고서 (2023.03),세아특수강
2023-03-22,동일인등출자계열회사와의상품ㆍ용역거래,세아특수강
2023-03-22,사외이사의선임ㆍ해임또는중도퇴임에관한신고,세아특수강
2023-03-22,정기주주총회결과,세아특수강
2023-03-14,사업보고서 (2022.12),세아특수강
2023-03-14,감사보고서제출,세아특수강
2023-03-03,의결권대리행사권유참고서류,세아특수강
2023-02-28,대규모기업집단현황공시[분기별공시(개별회사용)],세아특수강
2023-02-21,[기재정정]주주총회소집공고,세아특수강
2023-02-07,현금ㆍ현물배당결정,세아특수강
2023-02-07,주주총회소집결의,세아특수강
2023-02-07,매출액또는손익구조30%(대규모법인은15%)이상변경,세아특수강
2023-01-12,동일인등출자계열회사와의상품ㆍ용역거래변경,세아특수강
2022-12-22,동일인등출자계열회사와의상품ㆍ용역거래,세아특수강
2022-12-22,동일인등출자계열회사와의상품ㆍ용역거래,세아특수강
2022-11-30,대규모기업집단현황공시[분기별공시(개별회사용)],세아특수강
2022-11-14,분기보고서 (2022.09),세아특수강
2022-10-12,동일인등출자계열회사와의상품ㆍ용역거래변경,세아특수강
2022-09-30,동일인등출자계열회사와의상품ㆍ용역거래,세아특수강
2022-08-30,대규모기업집단현황공시[분기별공시(개별회사용)],세아특수강
2022-08-29,조회공시요구(현저한시황변동)에대한답변(중요공시대상없음),세아특수강
2022-08-26,조회공시요구(현저한시황변동),유가증권시장본부
2022-08-16,반기보고서 (2022.06),세아특수강
2022-06-29,동일인등출자계열회사와의상품ㆍ용역거래,세아특수강
2022-05-31,대규모기업집단현황공시[연1회공시및1/4분기용(개별회사)],세아특수강
2022-05-16,분기보고서 (2022.03),세아특수강
2022-03-30,동일인등출자계열회사와의상품ㆍ용역거래,세아특수강
