날짜,시가,고가,저가,종가,거래량,등락률,BPS,PER,PBR,EPS,DIV,DPS,기관합계_거래량_순매수,기타법인_거래량_순매수,개인_거래량_순매수,외국인합계_거래량_순매수,전체_거래량_순매수,기관합계_거래량_매수,기타법인_거래량_매수,개인_거래량_매수,외국인합계_거래량_매수,전체_거래량_매수,기관합계_거래량_매도,기타법인_거래량_매도,개인_거래량_매도,외국인합계_거래량_매도,전체_거래량_매도,기관합계_거래대금_순매수,기타법인_거래대금_순매수,개인_거래대금_순매수,외국인합계_거래대금_순매수,전체_거래대금_순매수,기관합계_거래대금_매수,기타법인_거래대금_매수,개인_거래대금_매수,외국인합계_거래대금_매수,전체_거래대금_매수,기관합계_거래대금_매도,기타법인_거래대금_매도,개인_거래대금_매도,외국인합계_거래대금_매도,전체_거래대금_매도
2019-01-02,2945,2970,2800,2850,2172181,-1.384083044982699,3385,22.44,0.84,127,0.7,20,0,0,11215,-11215,0,0,0,2129777,42404,2172181,0,0,2118562,53619,2172181,0,0,33156815,-33156815,0,0,0,6111349135,121883115,6233232250,0,0,6078192320,155039930,6233232250
2019-01-03,2890,3015,2775,2860,4532443,0.3508771929824561,3385,22.52,0.84,127,0.7,20,0,0,-65876,65876,0,0,0,4327731,204712,4532443,0,0,4393607,138836,4532443,0,0,-178799225,178799225,0,0,0,12639959310,586806845,13226766155,0,0,12818758535,408007620,13226766155
2019-01-04,2870,2890,2745,2800,1433483,-2.097902097902098,3385,22.05,0.83,127,0.71,20,0,0,30238,-30238,0,0,0,1336202,97281,1433483,0,0,1305964,127519,1433483,0,0,85139270,-85139270,0,0,0,3757749400,272481040,4030230440,0,0,3672610130,357620310,4030230440
2019-01-07,2920,3165,2890,3015,8431755,7.678571428571429,3385,23.74,0.89,127,0.66,20,5000,3015,281,-8296,0,5000,3050,8252095,171610,8431755,0,35,8251814,179906,8431755,15070000,9234375,-16235,-24288140,0,15070000,9341500,25176903730,520989190,25722304420,0,107125,25176919965,545277330,25722304420
2019-01-08,3015,3275,2980,3075,8331223,1.9900497512437811,3385,24.21,0.91,127,0.65,20,-5000,-2067,34585,-27518,0,2000,0,7978933,350290,8331223,7000,2067,7944348,377808,8331223,-15065630,-6364950,119935680,-98505100,0,6400000,0,24925315910,1082038815,26013754725,21465630,6364950,24805380230,1180543915,26013754725
2019-01-09,3100,3160,3050,3080,2195629,0.16260162601626016,3385,24.25,0.91,127,0.65,20,0,0,51382,-51382,0,0,0,2109480,86149,2195629,0,0,2058098,137531,2195629,0,0,160034455,-160034455,0,0,0,6520923300,266708185,6787631485,0,0,6360888845,426742640,6787631485
2019-01-10,3100,3215,3055,3080,2595447,0.0,3385,24.25,0.91,127,0.65,20,0,1000,12444,-13444,0,0,1000,2546515,47932,2595447,0,0,2534071,61376,2595447,0,3090000,39359710,-42449710,0,0,3090000,7966545315,149681875,8119317190,0,0,7927185605,192131585,8119317190
2019-01-11,3100,3825,3080,3465,23763888,12.5,3385,27.28,1.02,127,0.58,20,3000,-23776,-247092,267868,0,3000,17568,23080207,663113,23763888,0,41344,23327299,395245,23763888,10135000,-85273110,-822108255,897246365,0,10135000,62021955,80390476810,2231421545,82694055310,0,147295065,81212585065,1334175180,82694055310
2019-01-14,3505,3515,3360,3435,5542619,-0.8658008658008658,3385,27.05,1.01,127,0.58,20,-3000,-3086,230020,-223934,0,0,0,5326387,216232,5542619,3000,3086,5096367,440166,5542619,-10200000,-10831860,794138645,-773106785,0,0,0,18281622320,738038470,19019660790,10200000,10831860,17487483675,1511145255,19019660790
2019-01-15,3420,3760,3370,3480,11550591,1.3100436681222707,3385,27.4,1.03,127,0.57,20,0,2434,-11806,9372,0,0,11081,11367737,171773,11550591,0,8647,11379543,162401,11550591,0,9667740,-44070485,34402745,0,0,39937680,40717168335,608208145,41365314160,0,30269940,40761238820,573805400,41365314160
2019-01-16,3525,3730,3485,3530,4915393,1.4367816091954022,3385,27.8,1.04,127,0.57,20,1444,1500,-27242,24298,0,1444,3000,4613112,297837,4915393,0,1500,4640354,273539,4915393,5118980,5220000,-88933555,78594575,0,5118980,10710000,16520068575,1060883960,17596781515,0,5490000,16609002130,982289385,17596781515
2019-01-17,3570,4095,3380,3675,22274459,4.107648725212465,3385,28.94,1.09,127,0.54,20,-1444,11908,-23971,13507,0,0,31235,21893621,349603,22274459,1444,19327,21917592,336096,22274459,-5256160,43400260,-74963265,36819165,0,0,117503925,83227972640,1281737840,84627214405,5256160,74103665,83302935905,1244918675,84627214405
2019-01-18,3650,3775,3570,3580,4010684,-2.585034013605442,3385,28.19,1.06,127,0.56,20,0,1550,14920,-16470,0,0,1550,3854042,155092,4010684,0,0,3839122,171562,4010684,0,5774250,60311530,-66085780,0,0,5774250,14167808120,566917345,14740499715,0,0,14107496590,633003125,14740499715
2019-01-21,3655,3670,3460,3495,2814809,-2.3743016759776534,3385,27.52,1.03,127,0.57,20,0,-1909,-82878,84787,0,0,500,2593969,220340,2814809,0,2409,2676847,135553,2814809,0,-6898575,-292844250,299742825,0,0,1770000,9221561170,781032780,10004363950,0,8668575,9514405420,481289955,10004363950
