item,전체,조건1(t3) 수,조건1(t3) 비율(%),조건2(t6) 수,조건2(t6) 비율(%),조건3(t9) 수,조건3(t9) 비율(%)
condition_number == 10,4,4,100.0,3,75.0,3,75.0
condition_number == 9,2,2,100.0,1,50.0,1,50.0
condition_number == 8,7,7,100.0,3,42.86,2,28.57
condition_number == 7,4,4,100.0,0,0.0,0,0.0
condition_number == 6,4,3,75.0,2,50.0,1,25.0
condition_number == 5,5,2,40.0,1,20.0,1,20.0
