날짜,공시_제목,공시자
2024-11-14,분기보고서 (2024.09),코이즈
2024-09-05,주식등의대량보유상황보고서(일반),조재형
2024-09-05,임원ㆍ주요주주특정증권등소유상황보고서,조재형
2024-08-14,반기보고서 (2024.06),코이즈
2024-08-07,[기재정정]타인에대한채무보증결정              ,코이즈
2024-06-25,[기재정정]사업보고서 (2023.12),코이즈
2024-05-16,분기보고서 (2024.03),코이즈
2024-03-26,정기주주총회결과              ,코이즈
2024-03-18,감사보고서제출              ,코이즈
2024-03-15,임원ㆍ주요주주특정증권등소유상황보고서,조재형
2024-03-15,주식등의대량보유상황보고서(일반),조재형
2024-03-11,주주총회소집공고,코이즈
2024-02-23,주주총회소집결의              ,코이즈
2024-02-13,매출액또는손익구조30%(대규모법인은15%)이상변동              ,코이즈
2023-12-14,주주명부폐쇄기간또는기준일설정,코이즈
2023-11-14,분기보고서 (2023.09),코이즈
2023-08-14,반기보고서 (2023.06),코이즈
2023-05-15,분기보고서 (2023.03),코이즈
2023-03-28,정기주주총회결과,코이즈
2023-03-28,임원ㆍ주요주주특정증권등소유상황보고서,조준호
2023-03-20,감사보고서제출,코이즈
2023-03-20,사업보고서 (2022.12),코이즈
2023-03-10,주주총회소집공고,코이즈
2023-02-21,주주총회소집결의,코이즈
2023-02-20,매출액또는손익구조30%(대규모법인은15%)이상변동,코이즈
2022-12-28,임원ㆍ주요주주특정증권등소유상황보고서,조재형
2022-12-28,주식등의대량보유상황보고서(일반),조재형
2022-12-28,임원ㆍ주요주주특정증권등소유상황보고서,최연주
2022-12-27,증권발행실적보고서,코이즈
2022-12-27,증권발행결과(자율공시),코이즈
2022-12-26,유상증자또는주식관련사채등의청약결과(자율공시),코이즈
2022-12-21,유상증자또는주식관련사채등의청약결과(자율공시),코이즈
2022-12-15,[기재정정]투자설명서,코이즈
2022-12-15,[발행조건확정]증권신고서(지분증권),코이즈
2022-12-15,[기재정정]주요사항보고서(유상증자결정),코이즈
2022-12-15,유상증자최종발행가액확정,코이즈
2022-12-08,주주명부폐쇄기간또는기준일설정,코이즈
2022-12-02,임원ㆍ주요주주특정증권등소유상황보고서,최연주
2022-12-02,임원ㆍ주요주주특정증권등소유상황보고서,조재형
2022-12-01,주식등의대량보유상황보고서(일반),조재형
2022-11-14,분기보고서 (2022.09),코이즈
2022-11-11,권리락(유상증자),코스닥시장본부
2022-11-11,유상증자1차발행가액결정,코이즈
2022-10-17,주주명부폐쇄기간또는기준일설정,코이즈
2022-08-16,반기보고서 (2022.06),코이즈
2022-06-07,임원ㆍ주요주주특정증권등소유상황보고서,조재형
2022-06-07,주식등의대량보유상황보고서(일반),조재형
2022-06-03,증권발행실적보고서,코이즈
2022-06-03,증권발행결과(자율공시),코이즈
2022-05-27,유상증자또는주식관련사채등의청약결과(자율공시),코이즈
2022-05-25,주식등의대량보유상황보고서(일반),조재형
2022-05-25,단기차입금증가결정,코이즈
2022-05-23,[기재정정]주요사항보고서(유상증자결정),코이즈
2022-05-23,유상증자최종발행가액확정,코이즈
2022-05-23,[발행조건확정]증권신고서(지분증권),코이즈
2022-05-23,[기재정정]투자설명서,코이즈
