날짜,시가,고가,저가,종가,거래량,등락률,BPS,PER,PBR,EPS,DIV,DPS,기관합계_거래량_순매수,기타법인_거래량_순매수,개인_거래량_순매수,외국인합계_거래량_순매수,전체_거래량_순매수,기관합계_거래량_매수,기타법인_거래량_매수,개인_거래량_매수,외국인합계_거래량_매수,전체_거래량_매수,기관합계_거래량_매도,기타법인_거래량_매도,개인_거래량_매도,외국인합계_거래량_매도,전체_거래량_매도,기관합계_거래대금_순매수,기타법인_거래대금_순매수,개인_거래대금_순매수,외국인합계_거래대금_순매수,전체_거래대금_순매수,기관합계_거래대금_매수,기타법인_거래대금_매수,개인_거래대금_매수,외국인합계_거래대금_매수,전체_거래대금_매수,기관합계_거래대금_매도,기타법인_거래대금_매도,개인_거래대금_매도,외국인합계_거래대금_매도,전체_거래대금_매도
2023-10-04,1996,2000,1900,1900,8419078,,0,0.0,0.0,0,0.0,0,-2915723,-166875,3100709,-18111,0,681942,59812,7655631,21693,8419078,3597665,226687,4554922,39804,8419078,-5723509373,-321257423,6078472423,-33705627,0,1303808109,114139614,14872113627,42876659,16332938009,7027317482,435397037,8793641204,76582286,16332938009
2023-10-05,1903,1925,1890,1898,1133214,-0.10526315789473684,0,0.0,0.0,0,0.0,0,180786,-79025,-127686,25925,0,249031,20101,821175,42907,1133214,68245,99126,948861,16982,1133214,343351936,-150175219,-242350482,49173765,0,473031646,38164181,1560922829,81480280,2153598936,129679710,188339400,1803273311,32306515,2153598936
2023-10-06,1900,1906,1891,1896,423933,-0.10537407797681769,0,0.0,0.0,0,0.0,0,8158,7431,-16135,546,0,145490,7431,268864,2148,423933,137332,0,284999,1602,423933,15547235,14112146,-30699746,1040365,0,276314243,14112146,510536071,4079976,805042436,260767008,0,541235817,3039611,805042436
2023-10-10,1896,1902,1892,1894,385471,-0.10548523206751054,0,0.0,0.0,0,0.0,0,161193,4174,-3331,-162036,0,178351,4174,188812,14134,385471,17158,0,192143,176170,385471,305591923,7913238,-6420112,-307085049,0,338161482,7913238,357888748,26812014,730775482,32569559,0,364308860,333897063,730775482
2023-10-11,1896,1899,1890,1892,158735,-0.10559662090813093,0,0.0,0.0,0,0.0,0,-5386,2645,14645,-11904,0,50709,2645,101053,4328,158735,56095,0,86408,16232,158735,-10103901,5006930,27650710,-22553739,0,96104459,5006930,191293994,8197232,300602615,106208360,0,163643284,30750971,300602615
2023-10-12,1892,1900,1890,1895,113093,0.15856236786469344,0,0.0,0.0,0,0.0,0,38276,1723,-40026,27,0,58938,6926,47196,33,113093,20662,5203,87222,6,113093,72565181,3230194,-75846459,51084,0,111799993,13106688,89436759,62436,214405876,39234812,9876494,165283218,11352,214405876
2023-10-13,1896,1915,1891,1894,279803,-0.05277044854881266,0,0.0,0.0,0,0.0,0,16896,11,-46871,29964,0,88519,11,158422,32851,279803,71623,0,205293,2887,279803,32137534,20845,-89218460,57060081,0,167987282,20845,300716988,62533833,531258948,135849748,0,389935448,5473752,531258948
2023-10-16,1895,1899,1890,1898,122944,0.21119324181626187,0,0.0,0.0,0,0.0,0,-19547,2370,42650,-25473,0,25000,2370,91321,4253,122944,44547,0,48671,29726,122944,-36953890,4488780,80675517,-48210407,0,47415534,4488780,172844479,8043603,232792396,84369424,0,92168962,56254010,232792396
2023-10-17,1894,1905,1893,1900,113940,0.10537407797681769,0,0.0,0.0,0,0.0,0,16019,2685,-18559,-145,0,47757,2685,63474,24,113940,31738,0,82033,169,113940,30446337,5102303,-35274155,-274485,0,90771110,5102303,120597649,45625,216516687,60324773,0,155871804,320110,216516687
2023-10-18,1899,1902,1895,1900,187547,0.0,0,0.0,0.0,0,0.0,0,68792,2098,-74349,3459,0,112707,2898,65987,5955,187547,43915,800,140336,2496,187547,130714226,3980404,-141267662,6573032,0,214156217,5500404,125280286,11312936,356249843,83441991,1520000,266547948,4739904,356249843
