날짜,시가,고가,저가,종가,거래량,등락률,기관합계_거래량_순매수,기타법인_거래량_순매수,개인_거래량_순매수,외국인합계_거래량_순매수,전체_거래량_순매수,기관합계_거래량_매수,기타법인_거래량_매수,개인_거래량_매수,외국인합계_거래량_매수,전체_거래량_매수,기관합계_거래량_매도,기타법인_거래량_매도,개인_거래량_매도,외국인합계_거래량_매도,전체_거래량_매도,기관합계_거래대금_순매수,기타법인_거래대금_순매수,개인_거래대금_순매수,외국인합계_거래대금_순매수,전체_거래대금_순매수,기관합계_거래대금_매수,기타법인_거래대금_매수,개인_거래대금_매수,외국인합계_거래대금_매수,전체_거래대금_매수,기관합계_거래대금_매도,기타법인_거래대금_매도,개인_거래대금_매도,외국인합계_거래대금_매도,전체_거래대금_매도
2019-01-02,2941,2941,2823,2823,37378,-2.9896907216494846,0.0,0.0,1810.0,-1810.0,0.0,0.0,0.0,58433.0,523.0,58956.0,0.0,0.0,56623.0,2333.0,58956.0,0.0,0.0,3258265.0,-3258265.0,0.0,0.0,0.0,105299730.0,961035.0,106260765.0,0.0,0.0,102041465.0,4219300.0,106260765.0
2019-01-03,2870,2870,2791,2792,25955,-1.098122564647538,0.0,0.0,2349.0,-2349.0,0.0,0.0,0.0,40850.0,89.0,40939.0,0.0,0.0,38501.0,2438.0,40939.0,0.0,0.0,4225030.0,-4225030.0,0.0,0.0,0.0,72999425.0,161090.0,73160515.0,0.0,0.0,68774395.0,4386120.0,73160515.0
2019-01-04,2791,2862,2760,2855,12502,2.2564469914040113,0.0,0.0,1417.0,-1417.0,0.0,0.0,0.0,19220.0,500.0,19720.0,0.0,0.0,17803.0,1917.0,19720.0,0.0,0.0,2511340.0,-2511340.0,0.0,0.0,0.0,34089475.0,887500.0,34976975.0,0.0,0.0,31578135.0,3398840.0,34976975.0
2019-01-07,2839,2965,2839,2886,23455,1.085814360770578,0.0,0.0,2303.0,-2303.0,0.0,0.0,0.0,36993.0,3.0,36996.0,0.0,0.0,34690.0,2306.0,36996.0,0.0,0.0,4256730.0,-4256730.0,0.0,0.0,0.0,67558205.0,5510.0,67563715.0,0.0,0.0,63301475.0,4262240.0,67563715.0
2019-01-08,2910,2910,2791,2831,30066,-1.9057519057519057,0.0,0.0,87.0,-87.0,0.0,0.0,0.0,47418.0,4.0,47422.0,0.0,0.0,47331.0,91.0,47422.0,0.0,0.0,160135.0,-160135.0,0.0,0.0,0.0,84741365.0,7300.0,84748665.0,0.0,0.0,84581230.0,167435.0,84748665.0
2019-01-09,2847,2878,2768,2879,38081,1.6955139526669023,0.0,0.0,5273.0,-5273.0,0.0,0.0,0.0,55835.0,4230.0,60065.0,0.0,0.0,50562.0,9503.0,60065.0,0.0,0.0,9477560.0,-9477560.0,0.0,0.0,0.0,100366945.0,7648475.0,108015420.0,0.0,0.0,90889385.0,17126035.0,108015420.0
2019-01-10,2878,3438,2878,2997,678239,4.098645362973254,-57298.0,0.0,132594.0,-75296.0,0.0,0.0,12.0,1053288.0,16477.0,1069777.0,57298.0,12.0,920694.0,91773.0,1069777.0,-116880230.0,1080.0,270078655.0,-153199505.0,0.0,0.0,25320.0,2085708355.0,31599775.0,2117333450.0,116880230.0,24240.0,1815629700.0,184799280.0,2117333450.0
2019-01-11,3028,3036,2949,2997,68745,0.0,877.0,0.0,-28818.0,27941.0,0.0,877.0,0.0,77535.0,30018.0,108430.0,0.0,0.0,106353.0,2077.0,108430.0,1657530.0,0.0,-54624125.0,52966595.0,0.0,1657530.0,0.0,146788045.0,56916660.0,205362235.0,0.0,0.0,201412170.0,3950065.0,205362235.0
2019-01-14,3028,3059,2925,2965,44246,-1.0677344010677345,4913.0,0.0,-1511.0,-3402.0,0.0,4913.0,0.0,64248.0,628.0,69789.0,0.0,0.0,65759.0,4030.0,69789.0,9211875.0,0.0,-2753505.0,-6458370.0,0.0,9211875.0,0.0,121817715.0,1187655.0,132217245.0,0.0,0.0,124571220.0,7646025.0,132217245.0
2019-01-15,2957,3004,2941,2997,41696,1.0792580101180438,0.0,0.0,8699.0,-8699.0,0.0,0.0,0.0,65021.0,746.0,65767.0,0.0,0.0,56322.0,9445.0,65767.0,0.0,0.0,16439080.0,-16439080.0,0.0,0.0,0.0,122965355.0,1406210.0,124371565.0,0.0,0.0,106526275.0,17845290.0,124371565.0
2019-01-16,2981,3059,2981,3036,61000,1.3013013013013013,3000.0,0.0,1919.0,-4919.0,0.0,3000.0,0.0,86210.0,7004.0,96214.0,0.0,0.0,84291.0,11923.0,96214.0,5800000.0,0.0,3656990.0,-9456990.0,0.0,5800000.0,0.0,165231955.0,13419240.0,184451195.0,0.0,0.0,161574965.0,22876230.0,184451195.0
2019-01-17,3052,3351,3044,3099,203709,2.075098814229249,0.0,0.0,26159.0,-26159.0,0.0,0.0,6.0,315315.0,5986.0,321307.0,0.0,6.0,289156.0,32145.0,321307.0,0.0,150.0,52411345.0,-52411495.0,0.0,0.0,12270.0,628969240.0,11785985.0,640767495.0,0.0,12120.0,576557895.0,64197480.0,640767495.0
2019-01-18,3138,3406,3059,3139,479570,1.2907389480477574,0.0,0.0,9465.0,-9465.0,0.0,0.0,426.0,750552.0,5442.0,756420.0,0.0,426.0,741087.0,14907.0,756420.0,0.0,-7455.0,19988710.0,-19981255.0,0.0,0.0,864780.0,1535574520.0,11023585.0,1547462885.0,0.0,872235.0,1515585810.0,31004840.0,1547462885.0
