날짜,시가,고가,저가,종가,거래량,등락률,BPS,PER,PBR,EPS,DIV,DPS,기관합계_거래량_순매수,기타법인_거래량_순매수,개인_거래량_순매수,외국인합계_거래량_순매수,전체_거래량_순매수,기관합계_거래량_매수,기타법인_거래량_매수,개인_거래량_매수,외국인합계_거래량_매수,전체_거래량_매수,기관합계_거래량_매도,기타법인_거래량_매도,개인_거래량_매도,외국인합계_거래량_매도,전체_거래량_매도,기관합계_거래대금_순매수,기타법인_거래대금_순매수,개인_거래대금_순매수,외국인합계_거래대금_순매수,전체_거래대금_순매수,기관합계_거래대금_매수,기타법인_거래대금_매수,개인_거래대금_매수,외국인합계_거래대금_매수,전체_거래대금_매수,기관합계_거래대금_매도,기타법인_거래대금_매도,개인_거래대금_매도,외국인합계_거래대금_매도,전체_거래대금_매도
2019-01-02,5340,5370,5250,5310,2272,-0.5617977528089888,8810,5.52,0.6,962,3.77,200,0,2,-173,171,0,0,2,2031,239,2272,0,0,2204,68,2272,0,10580,-920570,909990,0,0,10580,10778010,1271010,12059600,0,0,11698580,361020,12059600
2019-01-03,5240,5330,5200,5200,7572,-2.0715630885122414,8810,5.41,0.59,962,3.85,200,0,156,-567,411,0,0,156,6764,652,7572,0,0,7331,241,7572,0,816280,-3008260,2191980,0,0,816280,35446350,3453420,39716050,0,0,38454610,1261440,39716050
2019-01-04,5260,5310,5090,5140,6336,-1.153846153846154,8810,5.34,0.58,962,3.89,200,0,3,321,-324,0,0,6,6202,128,6336,0,3,5881,452,6336,0,14830,1669460,-1684290,0,0,30700,32169280,670920,32870900,0,15870,30499820,2355210,32870900
2019-01-07,5460,5460,5100,5250,2303,2.140077821011673,8810,5.46,0.6,962,3.81,200,0,-10,727,-717,0,0,0,2228,75,2303,0,10,1501,792,2303,0,-52800,3858940,-3806140,0,0,0,11724670,391020,12115690,0,52800,7865730,4197160,12115690
2019-01-08,5300,5300,5200,5300,1417,0.9523809523809524,8810,5.51,0.6,962,3.77,200,0,2,86,-88,0,0,2,1414,1,1417,0,0,1328,89,1417,0,10400,452550,-462950,0,0,10400,7431450,5250,7447100,0,0,6978900,468200,7447100
2019-01-09,5320,5420,5270,5380,7102,1.509433962264151,8810,5.59,0.61,962,3.72,200,0,0,222,-222,0,0,0,6966,136,7102,0,0,6744,358,7102,0,0,1194450,-1194450,0,0,0,37377260,722670,38099930,0,0,36182810,1917120,38099930
2019-01-10,5380,5390,5300,5340,2547,-0.7434944237918215,8810,5.55,0.61,962,3.75,200,0,72,-78,6,0,0,72,2191,284,2547,0,0,2269,278,2547,0,382360,-411140,28780,0,0,382360,11717600,1519480,13619440,0,0,12128740,1490700,13619440
2019-01-11,5340,5410,5330,5370,3721,0.5617977528089888,8810,5.58,0.61,962,3.72,200,200,-50,-3,-147,0,200,0,3362,159,3721,0,50,3365,306,3721,1078000,-269500,-19740,-788760,0,1078000,0,18040890,852140,19971030,0,269500,18060630,1640900,19971030
2019-01-14,5370,5490,5320,5410,2284,0.74487895716946,8810,5.62,0.61,962,3.7,200,150,1,57,-208,0,150,1,2133,0,2284,0,0,2076,208,2284,808500,5320,321320,-1135140,0,808500,5320,11553370,0,12367190,0,0,11232050,1135140,12367190
2019-01-15,5330,5430,5330,5420,4614,0.18484288354898337,8810,5.63,0.62,962,3.69,200,0,2,-226,224,0,0,2,4071,541,4614,0,0,4297,317,4614,0,10660,-1212570,1201910,0,0,10660,21912050,2892600,24815310,0,0,23124620,1690690,24815310
