날짜,공시_제목,공시자
2024-11-14,분기보고서 (2024.09),유라테크
2024-08-14,반기보고서 (2024.06),유라테크
2024-07-11,사외이사의선임ㆍ해임또는중도퇴임에관한신고,유라테크
2024-05-14,분기보고서 (2024.03),유라테크
2024-04-30,소속부변경              ,코스닥시장본부
2024-03-22,정기주주총회결과              ,유라테크
2024-03-14,사업보고서 (2023.12),유라테크
2024-03-14,감사보고서제출              ,유라테크
2024-03-07,매출액또는손익구조30%(대규모법인은15%)이상변동              ,유라테크
2024-03-07,현금ㆍ현물배당결정              ,유라테크
2024-03-07,주주총회소집결의              ,유라테크
2024-03-07,주주총회소집공고,유라테크
2024-03-07,의결권대리행사권유참고서류,유라테크
2024-03-07,주주총회집중일개최사유신고              ,유라테크
2023-12-15,주주명부폐쇄기간또는기준일설정,유라테크
2023-11-14,분기보고서 (2023.09),유라테크
2023-08-11,반기보고서 (2023.06),유라테크
2023-05-15,분기보고서 (2023.03),유라테크
2023-04-28,소속부변경,코스닥시장본부
2023-03-31,정기주주총회결과,유라테크
2023-03-31,사외이사의선임ㆍ해임또는중도퇴임에관한신고,유라테크
2023-03-23,사업보고서 (2022.12),유라테크
2023-03-23,감사보고서제출,유라테크
2023-03-16,의결권대리행사권유참고서류,유라테크
2023-03-16,주주총회소집공고,유라테크
2023-03-16,주주총회집중일개최사유신고,유라테크
2023-03-16,주주총회소집결의,유라테크
2023-03-16,현금ㆍ현물배당결정,유라테크
2023-03-16,매출액또는손익구조30%(대규모법인은15%)이상변동,유라테크
2022-12-16,주주명부폐쇄기간또는기준일설정,유라테크
2022-11-14,분기보고서 (2022.09),유라테크
2022-08-16,반기보고서 (2022.06),유라테크
2022-05-13,분기보고서 (2022.03),유라테크
2022-03-30,사외이사의선임ㆍ해임또는중도퇴임에관한신고,유라테크
2022-03-30,정기주주총회결과,유라테크
2022-03-22,사업보고서 (2021.12),유라테크
2022-03-22,감사보고서제출,유라테크
2022-03-14,[기재정정]주주총회집중일개최사유신고,유라테크
2022-03-14,[기재정정]현금ㆍ현물배당결정,유라테크
2022-03-14,[기재정정]주주총회소집결의,유라테크
2022-03-14,[기재정정]주주총회소집공고,유라테크
2022-03-14,의결권대리행사권유참고서류,유라테크
2022-03-10,매출액또는손익구조30%(대규모법인은15%)이상변동,유라테크
2021-12-15,주주명부폐쇄기간또는기준일설정,유라테크
2021-11-15,분기보고서 (2021.09),유라테크
2021-08-17,반기보고서 (2021.06),유라테크
2021-05-17,분기보고서 (2021.03),유라테크
2021-03-19,정기주주총회결과,유라테크
2021-03-11,사업보고서 (2020.12),유라테크
2021-03-11,감사보고서제출,유라테크
2021-03-04,매출액또는손익구조30%(대규모법인은15%)이상변동,유라테크
2021-03-04,현금ㆍ현물배당결정,유라테크
2021-03-04,의결권대리행사권유참고서류,유라테크
2021-03-04,주주총회소집결의,유라테크
2021-03-04,주주총회소집공고,유라테크
2020-12-15,주주명부폐쇄기간또는기준일설정,유라테크
2020-11-16,분기보고서 (2020.09),유라테크
2020-08-14,반기보고서 (2020.06),유라테크
2020-05-15,분기보고서 (2020.03),유라테크
2020-03-30,사업보고서 (2019.12),유라테크
2020-03-20,정기주주총회결과,유라테크
2020-03-20,사외이사의선임ㆍ해임또는중도퇴임에관한신고,유라테크
2020-03-12,감사보고서제출,유라테크
2020-03-05,의결권대리행사권유참고서류,유라테크
2020-03-05,주주총회소집공고,유라테크
2020-03-05,주주총회집중일개최사유신고,유라테크
2020-03-05,주주총회소집결의,유라테크
2020-03-05,현금ㆍ현물배당결정,유라테크
2020-03-05,매출액또는손익구조30%(대규모법인은15%)이상변동,유라테크
2019-12-16,주주명부폐쇄기간또는기준일설정,유라테크
2019-11-14,분기보고서 (2019.09),유라테크
2019-08-14,반기보고서 (2019.06),유라테크
2019-05-15,분기보고서 (2019.03),유라테크
2019-04-01,사업보고서 (2018.12),유라테크
2019-03-22,정기주주총회결과,유라테크
2019-03-22,사외이사의선임ㆍ해임또는중도퇴임에관한신고,유라테크
2019-03-14,감사보고서제출,유라테크
2019-03-07,의결권대리행사권유참고서류,유라테크
2019-03-07,주주총회소집공고,유라테크
2019-03-07,주주총회집중일개최사유신고,유라테크
2019-03-07,주주총회소집결의,유라테크
2019-03-07,현금ㆍ현물배당결정,유라테크
2019-03-07,매출액또는손익구조30%(대규모법인은15%)이상변동,유라테크
