날짜,시가,고가,저가,종가,거래량,등락률,BPS,PER,PBR,EPS,DIV,DPS,기관합계_거래량_순매수,기타법인_거래량_순매수,개인_거래량_순매수,외국인합계_거래량_순매수,전체_거래량_순매수,기관합계_거래량_매수,기타법인_거래량_매수,개인_거래량_매수,외국인합계_거래량_매수,전체_거래량_매수,기관합계_거래량_매도,기타법인_거래량_매도,개인_거래량_매도,외국인합계_거래량_매도,전체_거래량_매도,기관합계_거래대금_순매수,기타법인_거래대금_순매수,개인_거래대금_순매수,외국인합계_거래대금_순매수,전체_거래대금_순매수,기관합계_거래대금_매수,기타법인_거래대금_매수,개인_거래대금_매수,외국인합계_거래대금_매수,전체_거래대금_매수,기관합계_거래대금_매도,기타법인_거래대금_매도,개인_거래대금_매도,외국인합계_거래대금_매도,전체_거래대금_매도,네이버_검색량
2019-01-02,2765,2840,2705,2795,32520,1.0849909584086799,1815,21.34,1.54,131,1.07,30,0,0,991,-991,0,0,0,30946,1574,32520,0,0,29955,2565,32520,0,0,2763130,-2763130,0,0,0,85382220,4328910,89711130,0,0,82619090,7092040,89711130,
2019-01-03,2795,2825,2725,2730,22199,-2.3255813953488373,1815,20.84,1.5,131,1.1,30,0,0,-236,236,0,0,0,19060,3139,22199,0,0,19296,2903,22199,0,0,-579270,579270,0,0,0,52704860,8640010,61344870,0,0,53284130,8060740,61344870,
2019-01-04,2795,2820,2710,2795,26526,2.380952380952381,1815,21.34,1.54,131,1.07,30,0,-4000,10362,-6362,0,0,500,25933,93,26526,0,4500,15571,6455,26526,0,-10920000,28702330,-17782330,0,0,1370000,71909425,256655,73536080,0,12290000,43207095,18038985,73536080,
2019-01-07,2800,2845,2625,2785,24378,-0.35778175313059035,1815,21.26,1.53,131,1.08,30,0,0,-1116,1116,0,0,0,22979,1399,24378,0,0,24095,283,24378,0,0,-3040620,3040620,0,0,0,63690850,3830040,67520890,0,0,66731470,789420,67520890,
2019-01-08,2825,2825,2715,2740,17163,-1.615798922800718,1815,20.92,1.51,131,1.09,30,0,0,-203,203,0,0,0,16806,357,17163,0,0,17009,154,17163,0,0,-545400,545400,0,0,0,46073220,974610,47047830,0,0,46618620,429210,47047830,
2019-01-09,2740,2785,2735,2780,15482,1.4598540145985401,1815,21.22,1.53,131,1.08,30,0,0,-1956,1956,0,0,0,13525,1957,15482,0,0,15481,1,15482,0,0,-5403280,5403280,0,0,0,37224785,5406045,42630830,0,0,42628065,2765,42630830,
2019-01-10,2780,2925,2735,2900,88645,4.316546762589928,1815,22.14,1.6,131,1.03,30,0,-1500,4298,-2798,0,0,0,86255,2390,88645,0,1500,81957,5188,88645,0,-4275000,12394595,-8119595,0,0,0,246526125,6799570,253325695,0,4275000,234131530,14919165,253325695,
2019-01-11,2945,3050,2900,2935,111026,1.206896551724138,1815,22.4,1.62,131,1.02,30,0,-23,3658,-3635,0,0,0,110232,794,111026,0,23,106574,4429,111026,0,-67735,10927955,-10860220,0,0,0,329474435,2363775,331838210,0,67735,318546480,13223995,331838210,
2019-01-14,3000,3040,2880,2990,56605,1.8739352640545146,1815,22.82,1.65,131,1.0,30,0,0,1254,-1254,0,0,0,55965,640,56605,0,0,54711,1894,56605,0,0,3722380,-3722380,0,0,0,163270005,1861700,165131705,0,0,159547625,5584080,165131705,
2019-01-15,2990,3040,2980,3025,75375,1.1705685618729096,1815,23.09,1.67,131,0.99,30,0,-18,-756,774,0,0,117,73357,1901,75375,0,135,74113,1127,75375,0,-56435,-2238745,2295180,0,0,351000,220869655,5692815,226913470,0,407435,223108400,3397635,226913470,
