날짜,시가,고가,저가,종가,거래량,등락률,BPS,PER,PBR,EPS,DIV,DPS,기관합계_거래량_순매수,기타법인_거래량_순매수,개인_거래량_순매수,외국인합계_거래량_순매수,전체_거래량_순매수,기관합계_거래량_매수,기타법인_거래량_매수,개인_거래량_매수,외국인합계_거래량_매수,전체_거래량_매수,기관합계_거래량_매도,기타법인_거래량_매도,개인_거래량_매도,외국인합계_거래량_매도,전체_거래량_매도,기관합계_거래대금_순매수,기타법인_거래대금_순매수,개인_거래대금_순매수,외국인합계_거래대금_순매수,전체_거래대금_순매수,기관합계_거래대금_매수,기타법인_거래대금_매수,개인_거래대금_매수,외국인합계_거래대금_매수,전체_거래대금_매수,기관합계_거래대금_매도,기타법인_거래대금_매도,개인_거래대금_매도,외국인합계_거래대금_매도,전체_거래대금_매도
2023-10-10,28000,28500,19980,20750,7357901,,1213,0.0,17.11,0,0.0,0,-180206,-565478,746714,-1030,0,22298,15300,7295606,24697,7357901,202504,580778,6548892,25727,7357901,-4690175900,-14014827700,18746319050,-41315450,0,521473850,365970900,169056315530,560753750,170504514030,5211649750,14380798600,150309996480,602069200,170504514030
2023-10-11,21500,22750,20450,21100,2726983,1.6867469879518073,1213,0.0,17.39,0,0.0,0,36186,-25048,-10005,-1133,0,38423,16794,2663416,8350,2726983,2237,41842,2673421,9483,2726983,782278200,-562169800,-196335100,-23773300,0,830200550,360222250,57632243750,180248900,59002915450,47922350,922392050,57828578850,204022200,59002915450
2023-10-12,22100,22350,20350,21000,1260415,-0.47393364928909953,1213,0.0,17.31,0,0.0,0,32170,-127353,42704,52479,0,32480,3262,1153849,70824,1260415,310,130615,1111145,18345,1260415,669526550,-2658129250,860427100,1128175600,0,676170550,70538650,24542061350,1515403200,26804173750,6644000,2728667900,23681634250,387227600,26804173750
2023-10-13,20600,27300,20050,27300,7334300,30.0,1213,0.0,22.51,0,0.0,0,-20614,-180667,204610,-3329,0,21590,34208,7165129,113373,7334300,42204,214875,6960519,116702,7334300,-565790000,-4703708350,5360600100,-91101750,0,493115950,790036150,175070491800,2622132850,178975776750,1058905950,5493744500,169709891700,2713234600,178975776750
2023-10-16,27300,30500,24700,25950,6251162,-4.945054945054945,1213,0.0,21.39,0,0.0,0,-37973,-21764,53777,5960,0,8822,16851,6139574,85915,6251162,46795,38615,6085797,79955,6251162,-1047417250,-632933250,1533107800,147242700,0,236998100,450903450,169554998300,2312579850,172555479700,1284415350,1083836700,168021890500,2165337150,172555479700
2023-10-17,25800,32400,24150,31700,8575061,22.15799614643545,1213,0.0,26.13,0,0.0,0,-2232,-29573,65520,-33715,0,20880,20569,8244507,289105,8575061,23112,50142,8178987,322820,8575061,-111731500,-957140200,2043270100,-974398400,0,604904850,577888450,243804533500,8326916850,253314243650,716636350,1535028650,241761263400,9301315250,253314243650
2023-10-18,29950,32000,28000,28000,3543807,-11.67192429022082,1213,0.0,23.08,0,0.0,0,-5030,-1063,5443,650,0,6727,8492,3331557,197031,3543807,11757,9555,3326114,196381,3543807,-156216200,-34744100,231223500,-40263200,0,199427100,257300750,100019007750,5907364850,106383100450,355643300,292044850,99787784250,5947628050,106383100450
2023-10-19,27450,29500,23800,24550,3079305,-12.321428571428573,1213,0.0,20.24,0,0.0,0,12614,5977,-27236,8645,0,17639,14598,2885088,161980,3079305,5025,8621,2912324,153335,3079305,328433000,161107550,-665230100,175689550,0,451865250,393842700,77630277200,4299633800,82775618950,123432250,232735150,78295507300,4123944250,82775618950
2023-10-20,23800,26350,23350,23850,2093901,-2.8513238289205702,1213,0.0,19.66,0,0.0,0,4052,-8478,4019,407,0,19528,6844,1931623,135906,2093901,15476,15322,1927604,135499,2093901,130243900,-197605200,67868550,-507250,0,503668100,167074400,47941059650,3353974550,51965776700,373424200,364679600,47873191100,3354481800,51965776700
2023-10-23,23650,25250,23550,23750,888542,-0.41928721174004197,1213,0.0,19.58,0,0.0,0,4122,3085,-20686,13479,0,4123,4961,784042,95416,888542,1,1876,804728,81937,888542,99774750,76475950,-507928050,331677350,0,99798550,121372700,19081862300,2330298850,21633332400,23800,44896750,19589790350,1998621500,21633332400
