날짜,공시_제목,공시자
2024-11-22,증권발행실적보고서,BNK금융지주
2024-11-21,일괄신고추가서류,BNK금융지주
2024-11-21,투자설명서(일괄신고),BNK금융지주
2024-11-20,신탁계약에의한취득상황보고서,BNK금융지주
2024-11-14,[기재정정]일괄신고서,BNK금융지주
2024-11-14,분기보고서 (2024.09),BNK금융지주
2024-10-30,주식등의대량보유상황보고서(약식),국민연금공단
2024-10-30,기업가치제고계획(자율공시)              ,BNK금융지주
2024-10-30,연결재무제표기준영업(잠정)실적(공정공시)              ,BNK금융지주
2024-10-30,연결재무제표기준영업(잠정)실적(공정공시)(자회사의 주요경영사항)              ,BNK금융지주
2024-10-30,연결재무제표기준영업(잠정)실적(공정공시)(자회사의 주요경영사항)              ,BNK금융지주
2024-10-30,연결재무제표기준영업(잠정)실적(공정공시)(자회사의 주요경영사항)              ,BNK금융지주
2024-10-24,기업설명회(IR)개최(안내공시)              ,BNK금융지주
2024-10-23,기업설명회(IR)개최(안내공시)              ,BNK금융지주
2024-10-15,기업설명회(IR)개최(안내공시)              ,BNK금융지주
2024-08-28,증권발행실적보고서,BNK금융지주
2024-08-27,투자설명서(일괄신고),BNK금융지주
2024-08-27,일괄신고추가서류,BNK금융지주
2024-08-22,기업설명회(IR)개최(안내공시)              ,BNK금융지주
2024-08-21,기업설명회(IR)개최(안내공시)              ,BNK금융지주
2024-08-20,기타안내사항(안내공시)              ,BNK금융지주
2024-08-16,주요사항보고서(자기주식취득신탁계약해지결정),BNK금융지주
2024-08-16,신탁계약해지결과보고서,BNK금융지주
2024-08-14,반기보고서 (2024.06),BNK금융지주
2024-08-14,[기재정정]일괄신고서,BNK금융지주
2024-08-13,횡령ㆍ배임사실확인(자회사의 주요경영사항)              ,BNK금융지주
2024-07-31,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정              ,BNK금융지주
2024-07-31,금전대여결정(자회사의 주요경영사항)              ,BNK금융지주
2024-07-31,연결재무제표기준영업(잠정)실적(공정공시)(자회사의 주요경영사항)              ,BNK금융지주
2024-07-31,연결재무제표기준영업(잠정)실적(공정공시)(자회사의 주요경영사항)              ,BNK금융지주
2024-07-31,연결재무제표기준영업(잠정)실적(공정공시)(자회사의 주요경영사항)              ,BNK금융지주
2024-07-31,연결재무제표기준영업(잠정)실적(공정공시)              ,BNK금융지주
2024-07-31,현금ㆍ현물배당결정              ,BNK금융지주
2024-07-31,[기재정정]주식소각결정              ,BNK금융지주
2024-07-31,주요사항보고서(자기주식취득신탁계약체결결정),BNK금융지주
2024-07-31,주식소각결정              ,BNK금융지주
2024-07-31,기업가치제고계획예고(안내공시)              ,BNK금융지주
2024-07-25,기업설명회(IR)개최(안내공시)              ,BNK금융지주
2024-07-25,증권발행실적보고서,BNK금융지주
2024-07-24,기업설명회(IR)개최(안내공시)              ,BNK금융지주
2024-07-24,투자설명서(일괄신고),BNK금융지주
2024-07-24,일괄신고추가서류,BNK금융지주
