날짜,시가,고가,저가,종가,거래량,등락률,BPS,PER,PBR,EPS,DIV,DPS,기관합계_거래량_순매수,기타법인_거래량_순매수,개인_거래량_순매수,외국인합계_거래량_순매수,전체_거래량_순매수,기관합계_거래량_매수,기타법인_거래량_매수,개인_거래량_매수,외국인합계_거래량_매수,전체_거래량_매수,기관합계_거래량_매도,기타법인_거래량_매도,개인_거래량_매도,외국인합계_거래량_매도,전체_거래량_매도,기관합계_거래대금_순매수,기타법인_거래대금_순매수,개인_거래대금_순매수,외국인합계_거래대금_순매수,전체_거래대금_순매수,기관합계_거래대금_매수,기타법인_거래대금_매수,개인_거래대금_매수,외국인합계_거래대금_매수,전체_거래대금_매수,기관합계_거래대금_매도,기타법인_거래대금_매도,개인_거래대금_매도,외국인합계_거래대금_매도,전체_거래대금_매도
2019-01-02,25000,25150,24500,24600,1284,-1.6,0,0.0,0.0,0,4.67,1150,69,0,108,-177,0,69,0,1196,19,1284,0,0,1088,196,1284,1716200,0,2654750,-4370950,0,1716200,0,29595800,471200,31783200,0,0,26941050,4842150,31783200
2019-01-03,24350,24550,23950,23950,4488,-2.642276422764228,0,0.0,0.0,0,4.8,1150,789,-785,189,-193,0,789,0,3305,394,4488,0,785,3116,587,4488,19160950,-18990000,4567150,-4738100,0,19160950,0,79774450,9482800,108418200,0,18990000,75207300,14220900,108418200
2019-01-04,23950,24050,23400,23950,2411,0.0,0,0.0,0.0,0,4.8,1150,2,0,218,-220,0,2,0,2405,4,2411,0,0,2187,224,2411,47900,0,5186900,-5234800,0,47900,0,56813500,95800,56957200,0,0,51626600,5330600,56957200
2019-01-07,24050,24900,23800,24750,5646,3.3402922755741122,0,0.0,0.0,0,4.65,1150,1,790,-851,60,0,1,790,4549,306,5646,0,0,5400,246,5646,24750,19318300,-20751800,1408750,0,24750,19318300,109682350,7371150,136396550,0,0,130434150,5962400,136396550
2019-01-08,24650,24650,24000,24500,969,-1.0101010101010102,0,0.0,0.0,0,4.69,1150,1,0,112,-113,0,1,0,963,5,969,0,0,851,118,969,24500,0,2756950,-2781450,0,24500,0,23417500,121250,23563250,0,0,20660550,2902700,23563250
2019-01-09,24750,24800,24400,24600,2220,0.40816326530612246,0,0.0,0.0,0,4.67,1150,-400,0,515,-115,0,0,0,2164,56,2220,400,0,1649,171,2220,-9795600,0,12655650,-2860050,0,0,0,53268300,1372200,54640500,9795600,0,40612650,4232250,54640500
2019-01-10,24500,24500,23900,24200,1794,-1.6260162601626018,0,0.0,0.0,0,4.75,1150,0,5,-41,36,0,0,5,1739,50,1794,0,0,1780,14,1794,0,119750,-975150,855400,0,0,119750,41720450,1197900,43038100,0,0,42695600,342500,43038100
2019-01-11,24200,24600,24200,24550,2586,1.4462809917355373,0,0.0,0.0,0,4.68,1150,-400,0,420,-20,0,0,0,2585,1,2586,400,0,2165,21,2586,-9747800,0,10232800,-485000,0,0,0,63199450,24350,63223800,9747800,0,52966650,509350,63223800
2019-01-14,24550,24550,23900,24150,3404,-1.6293279022403258,0,0.0,0.0,0,4.76,1150,-701,0,622,79,0,0,0,3291,113,3404,701,0,2669,34,3404,-16794750,0,14887300,1907450,0,0,0,79244500,2727700,81972200,16794750,0,64357200,820250,81972200
2019-01-15,24000,24200,23850,24100,7579,-0.2070393374741201,0,0.0,0.0,0,4.77,1150,-5588,15,5549,24,0,0,15,7539,25,7579,5588,0,1990,1,7579,-133644550,358000,132712600,573950,0,0,358000,180507050,597950,181463000,133644550,0,47794450,24000,181463000
2019-01-16,24100,24100,23850,24050,2206,-0.2074688796680498,0,0.0,0.0,0,4.78,1150,0,0,-47,47,0,0,0,2158,48,2206,0,0,2205,1,2206,0,0,-1123150,1123150,0,0,0,51736050,1147200,52883250,0,0,52859200,24050,52883250
2019-01-17,24000,24050,23750,23850,2058,-0.8316008316008316,0,0.0,0.0,0,4.82,1150,-1001,0,1015,-14,0,0,0,2019,39,2058,1001,0,1004,53,2058,-23887900,0,24218850,-330950,0,0,0,48169800,932100,49101900,23887900,0,23950950,1263050,49101900
2019-01-18,24000,24200,23800,24000,2249,0.628930817610063,0,0.0,0.0,0,4.79,1150,-128,0,-9,137,0,0,0,1912,337,2249,128,0,1921,200,2249,-3046400,0,-229100,3275500,0,0,0,45861750,8085500,53947250,3046400,0,46090850,4810000,53947250
2019-01-21,24300,24900,24300,24700,6821,2.9166666666666665,0,0.0,0.0,0,4.66,1150,-324,440,-580,464,0,6,440,5608,767,6821,330,0,6188,303,6821,-7937450,10899650,-14380100,11417900,0,147550,10899650,137892900,18862450,167802550,8085000,0,152273000,7444550,167802550
2019-01-22,25000,25150,24350,24650,4765,-0.20242914979757085,0,0.0,0.0,0,4.67,1150,-1093,285,445,363,0,0,285,4110,370,4765,1093,0,3665,7,4765,-26728450,6996750,10813450,8918250,0,0,6996750,101506850,9094000,117597600,26728450,0,90693400,175750,117597600
2019-01-23,24650,24650,24400,24650,3436,0.0,0,0.0,0.0,0,4.67,1150,-685,0,372,313,0,500,0,2437,499,3436,1185,0,2065,186,3436,-16733700,0,9077850,7655850,0,12274250,0,59694100,12226950,84195300,29007950,0,50616250,4571100,84195300
2019-01-24,24700,24850,24500,24600,1717,-0.2028397565922921,0,0.0,0.0,0,4.67,1150,0,-884,823,61,0,0,0,1656,61,1717,0,884,833,0,1717,0,-21746800,20247950,1498850,0,0,0,40799750,1498850,42298600,0,21746800,20551800,0,42298600
2019-01-25,24950,25050,24250,24850,4261,1.0162601626016259,0,0.0,0.0,0,4.63,1150,861,-556,-553,248,0,954,0,3059,248,4261,93,556,3612,0,4261,21557750,-13705400,-14016100,6163750,0,23841350,0,75433450,6163750,105438550,2283600,13705400,89449550,0,105438550
2019-01-28,24600,24850,24500,24800,1469,-0.2012072434607646,0,0.0,0.0,0,4.64,1150,317,0,-582,265,0,603,0,601,265,1469,286,0,1183,0,1469,7877300,0,-14426250,6548950,0,14948100,0,14846700,6548950,36343750,7070800,0,29272950,0,36343750
2019-01-29,24600,24800,24200,24700,1208,-0.4032258064516129,0,0.0,0.0,0,4.66,1150,-1,0,-85,86,0,0,0,1117,91,1208,1,0,1202,5,1208,-24700,0,-2086400,2111100,0,0,0,27307250,2234800,29542050,24700,0,29393650,123700,29542050
2019-01-30,24800,25250,24400,25200,3721,2.0242914979757085,0,0.0,0.0,0,4.56,1150,257,0,-383,126,0,257,0,3318,146,3721,0,0,3701,20,3721,6446000,0,-9556200,3110200,0,6446000,0,82542350,3613450,92601800,0,0,92098550,503250,92601800
2019-01-31,25250,25250,24800,25000,2290,-0.7936507936507936,0,0.0,0.0,0,4.6,1150,-500,0,291,209,0,0,0,2081,209,2290,500,0,1790,0,2290,-12433450,0,7210450,5223000,0,0,0,52141450,5223000,57364450,12433450,0,44931000,0,57364450
2019-02-01,24600,25000,24600,24900,1821,-0.4,0,0.0,0.0,0,4.62,1150,-450,0,282,168,0,0,0,1653,168,1821,450,0,1371,0,1821,-11186900,0,7010900,4176000,0,0,0,41025600,4176000,45201600,11186900,0,34014700,0,45201600
2019-02-07,24900,25600,24800,25600,6195,2.8112449799196786,0,0.0,0.0,0,4.49,1150,2918,0,-1309,-1609,0,2918,0,3013,264,6195,0,0,4322,1873,6195,73732050,0,-33714500,-40017550,0,73732050,0,75799250,6657950,156189250,0,0,109513750,46675500,156189250
2019-02-08,25500,25500,25200,25450,2354,-0.5859375,0,0.0,0.0,0,4.52,1150,-175,0,188,-13,0,225,0,2129,0,2354,400,0,1941,13,2354,-4414650,0,4744550,-329900,0,5691700,0,53850750,0,59542450,10106350,0,49106200,329900,59542450
2019-02-11,25700,25700,24850,25300,2006,-0.5893909626719057,0,0.0,0.0,0,4.55,1150,-288,0,433,-145,0,12,0,1994,0,2006,300,0,1561,145,2006,-7192450,0,10843250,-3650800,0,300000,0,50035350,0,50335350,7492450,0,39192100,3650800,50335350
2019-02-12,25550,25550,24900,25350,1368,0.1976284584980237,0,0.0,0.0,0,4.54,1150,0,0,233,-233,0,0,0,1326,42,1368,0,0,1093,275,1368,0,0,5877800,-5877800,0,0,0,33365300,1052100,34417400,0,0,27487500,6929900,34417400
2019-02-13,25400,25500,24950,25500,1791,0.591715976331361,0,0.0,0.0,0,4.51,1150,101,0,-126,25,0,401,0,1347,43,1791,300,0,1473,18,1791,2520750,0,-3151450,630700,0,10105450,0,34000950,1087900,45194300,7584700,0,37152400,457200,45194300
2019-02-14,25600,25600,25050,25250,1919,-0.9803921568627451,0,0.0,0.0,0,4.55,1150,1404,0,-1414,10,0,1404,0,490,25,1919,0,0,1904,15,1919,35478750,0,-35726450,247700,0,35478750,0,12367450,628250,48474450,0,0,48093900,380550,48474450
2019-02-15,25300,25300,24800,25000,3855,-0.9900990099009901,0,0.0,0.0,0,4.6,1150,1146,0,-1640,494,0,1283,0,2078,494,3855,137,0,3718,0,3855,28906100,0,-41238200,12332100,0,32342900,0,52117150,12332100,96792150,3436800,0,93355350,0,96792150
2019-02-18,25300,25750,25050,25550,9527,2.1999999999999997,0,0.0,0.0,0,4.5,1150,928,0,-1519,591,0,3931,0,5003,593,9527,3003,0,6522,2,9527,23967800,0,-38997800,15030000,0,100263600,0,126594100,15081000,241938700,76295800,0,165591900,51000,241938700
2019-02-19,24500,24850,23300,23600,42193,-7.632093933463796,0,0.0,0.0,0,4.87,1150,-5779,0,6947,-1168,0,2722,0,39469,2,42193,8501,0,32522,1170,42193,-138020650,0,165880900,-27860250,0,65216000,0,941121450,48000,1006385450,203236650,0,775240550,27908250,1006385450
2019-02-20,23800,24000,23600,23750,16436,0.6355932203389831,0,0.0,0.0,0,4.84,1150,982,0,159,-1141,0,1949,0,14001,486,16436,967,0,13842,1627,16436,23367550,0,3724400,-27091950,0,46317550,0,332360400,11559300,390237250,22950000,0,328636000,38651250,390237250
2019-02-21,24000,24000,23500,23900,5513,0.631578947368421,0,0.0,0.0,0,4.81,1150,-1241,-171,1371,41,0,0,0,5471,42,5513,1241,171,4100,1,5513,-29269550,-4032750,32326350,975950,0,0,0,129650300,999600,130649900,29269550,4032750,97323950,23650,130649900
2019-02-22,23950,24150,23800,24050,7943,0.6276150627615062,0,0.0,0.0,0,4.78,1150,3456,0,-3538,82,0,3459,0,4289,195,7943,3,0,7827,113,7943,83064350,0,-85046000,1981650,0,83136500,0,103009400,4693650,190839550,72150,0,188055400,2712000,190839550
2019-02-25,24000,24200,23600,23900,3428,-0.6237006237006237,0,0.0,0.0,0,4.81,1150,14,0,-436,422,0,15,0,2991,422,3428,1,0,3427,0,3428,335350,0,-10437600,10102250,0,359250,0,71592900,10102250,82054400,23900,0,82030500,0,82054400
