회사명,매집일,이상_가격,매석_거래,신고가_매집봉,매집_기간,매집_저항,매석_종가,등락률,포착일_매석,매집_거래량,매석_거래량,골크_단중,골크_중장,우상향_5일,우상향_20일,우상향_60일,거래대금_억,시가총액_억,주식수,시총_순위_2722,이상_거래량,회사_코드
주성엔지니어링,2024-10-30,False,False,False,1,30550,31000.0,3.852596314907872,2024-10-31,2454551,2936679.0,True,True,True,True,True,920,14653,47268321,196,True,036930
메지온,2024-10-29,False,True,False,2,35000,35800.0,4.678362573099415,2024-10-31,353126,185077.0,True,False,True,True,True,65,10726,29963337,251,True,140410
오리온홀딩스,2024-10-21,True,True,True,10,16800,16810.0,0.7793764988009593,2024-10-31,163195,152163.0,True,True,True,True,True,25,10530,62645422,257,True,001800
디어유,2024-03-14,False,True,False,231,32150,33000.0,4.595879556259905,2024-10-31,892019,263412.0,True,True,True,True,True,88,7833,23738406,305,True,376300
명신산업,2024-10-25,False,True,False,6,13380,13590.0,4.538461538461538,2024-10-31,820408,284333.0,True,True,True,True,True,38,7130,52470133,329,True,009900
SK디스커버리,2024-10-16,False,True,False,15,33500,33800.0,1.8072289156626504,2024-10-31,70413,25784.0,False,False,True,False,False,8,6349,18785855,357,True,006120
제이오,2024-10-28,False,False,False,3,19800,19930.0,5.729442970822282,2024-10-31,629970,1907606.0,True,True,True,True,True,400,6332,31772273,359,True,418550
DS단석,2024-10-28,False,False,False,3,85800,87500.0,11.749680715197956,2024-10-31,2070135,3052202.0,True,False,True,True,False,2650,5128,5861404,420,True,017860
KISCO홀딩스,2024-10-30,True,True,False,1,21150,21400.0,4.13625304136253,2024-10-31,46879,28490.0,True,True,True,True,True,5,3461,16176380,550,True,001940
비보존 제약,2024-10-28,True,False,True,3,5810,6210.0,18.73804971319312,2024-10-31,3101291,6965691.0,True,True,True,True,True,434,2995,48242965,627,True,082800
제이에스코퍼레이션,2024-10-24,False,True,False,7,17450,17470.0,4.174120453190221,2024-10-31,230658,93125.0,True,True,True,True,True,16,2329,13335601,742,True,194370
동신건설,2024-10-02,False,False,False,29,22800,23700.0,12.857142857142856,2024-10-31,322005,579076.0,True,True,True,True,True,134,1990,8400000,839,True,025950
딥노이드,2024-10-29,False,True,False,2,6730,6760.0,4.160246533127889,2024-10-31,690460,288456.0,True,True,True,True,True,19,1515,22421268,1043,True,315640
레뷰코퍼레이션,2024-10-24,False,False,False,7,9820,9870.0,9.060773480662982,2024-10-31,884637,1054841.0,True,False,True,True,False,103,1113,11279386,1323,True,443250
엔젯,2024-10-10,False,True,False,21,9750,10080.0,7.234042553191489,2024-10-31,168423,35427.0,True,False,True,True,False,3,1060,10517817,1375,True,419080
티웨이홀딩스,2024-10-11,True,False,True,20,885,892.0,3.962703962703962,2024-10-31,62989444,76513493.0,True,True,True,True,True,717,1002,112419447,1421,True,004870
티웨이홀딩스,2024-10-15,True,False,False,16,873,892.0,3.962703962703962,2024-10-31,73158274,76513493.0,True,True,True,True,True,717,1002,112419447,1421,True,004870
티웨이홀딩스,2024-10-30,True,False,False,1,882,892.0,3.962703962703962,2024-10-31,71394122,76513493.0,True,True,True,True,True,717,1002,112419447,1421,True,004870
신송홀딩스,2024-09-27,False,False,False,34,7390,8370.0,26.435045317220546,2024-10-31,1125865,8267525.0,True,True,True,True,True,679,990,11828858,1432,True,006880
신송홀딩스,2024-10-15,False,False,False,16,7790,8370.0,26.435045317220546,2024-10-31,2204131,8267525.0,True,True,True,True,True,679,990,11828858,1432,True,006880
신송홀딩스,2024-10-25,True,False,False,6,8100,8370.0,26.435045317220546,2024-10-31,6385154,8267525.0,True,True,True,True,True,679,990,11828858,1432,True,006880
텔코웨어,2024-09-30,False,True,False,31,9970,9980.0,0.3015075376884422,2024-10-31,14434,726.0,True,False,True,True,False,0,922,9240077,1505,True,078000
디지틀조선,2023-11-22,True,False,False,344,2350,2350.0,23.684210526315788,2024-10-31,2740154,25013505.0,True,True,True,True,True,575,872,37115267,1541,True,033130
디지틀조선,2024-10-24,True,False,False,7,2030,2350.0,23.684210526315788,2024-10-31,20838650,25013505.0,True,True,True,True,True,575,872,37115267,1541,True,033130
로보로보,2024-10-28,False,False,False,3,4000,4070.0,20.23633677991137,2024-10-31,5159041,9133364.0,True,False,True,True,False,374,828,20348454,1589,True,215100
네오크레마,2024-04-17,False,True,False,197,7240,7290.0,1.25,2024-10-31,219649,5784.0,True,True,True,True,True,0,800,10979147,1624,True,311390
비상교육,2024-08-19,False,True,False,73,5340,5400.0,1.8867924528301887,2024-10-31,1318269,109659.0,True,True,True,True,True,5,701,12996741,1741,True,100220
디케이앤디,2022-08-18,False,True,False,805,3970,4360.0,10.379746835443038,2024-10-31,2294464,1202982.0,True,True,True,True,True,51,657,15069831,1800,True,263020
디케이앤디,2023-05-03,True,True,True,547,4070,4360.0,10.379746835443038,2024-10-31,2559920,1202982.0,True,True,True,True,True,51,657,15069831,1800,True,263020
디케이앤디,2024-09-05,True,True,True,56,3980,4360.0,10.379746835443038,2024-10-31,4864981,1202982.0,True,True,True,True,True,51,657,15069831,1800,True,263020
현대건설우,2024-10-30,False,False,False,1,46050,48500.0,6.593406593406594,2024-10-31,6738,52984.0,False,False,True,True,False,26,511,1054693,2033,True,000725
삼성스팩8호,2024-07-31,True,True,True,92,10070,10070.0,0.099403578528827,2024-10-31,69242,4672.0,True,True,True,True,True,0,469,4664000,2114,True,448740
토탈소프트,2024-10-02,False,True,False,29,5380,5450.0,5.212355212355212,2024-10-31,103709,92858.0,True,True,True,True,True,4,466,8558040,2120,True,045340
미래산업,2024-10-25,False,True,False,6,1288,1305.0,29.9800796812749,2024-10-31,6402604,5212204.0,True,False,True,True,False,66,406,31166865,2215,True,025560
에이에프더블류,2024-10-29,False,True,False,2,1654,1663.0,0.787878787878788,2024-10-31,37509,2983.0,False,False,True,False,False,0,336,20256888,2341,True,312610
캐리소프트,2024-10-14,True,True,False,17,4595,4735.0,7.858769931662871,2024-10-31,182260,176778.0,True,True,True,True,True,8,330,6971196,2356,True,317530
