,Date,Open,High,Low,Close,Volume,Change,ma_5,vel_5,ma_20,vel_20,ma_60,vel_60,com_name,com_code,vol_mean_60,vol_std_60,vol_bol_60,vol_bolin_check,mean_60,std_60,bolin_price_60_3,bolin_price_60_6,bolin_price_60_9,bolin_price_60_12,bolin_earning_60_3,bolin_earning_60_6,bolin_earning_60_9,bolin_earning_60_12,std_level,bolin_check,inverse_hammer,bear_candle,high_246,new_high_check,dec_246_1,Max_Price_20,Max_Return_20,Max_Loss_Price_20,Max_Loss_20,Max_Price_60,Max_Return_60,Max_Loss_Price_60,Max_Loss_60,Max_Price_120,Max_Return_120,Max_Loss_Price_120,Max_Loss_120,Max_Price_240,Max_Return_240,Max_Loss_Price_240,Max_Loss_240,Is_Max_Over_Bolin_60_3,Is_Max_Over_Bolin_60_6,Is_Max_Over_Bolin_60_9,Is_Max_Over_Bolin_60_12,기관순매,법인순매,개인순매,외인순매,기관대금,법인대금,개인대금,외인대금,거래대금,pump_date,dump_date,pmp_Open,pmp_High,pmp_Low,pmp_Close,pmp_Volume,pmp_Change,pmp_high_246,pmp_ma_5,pmp_vel_5,pmp_ma_20,pmp_vel_20,pmp_ma_60,pmp_vel_60,pmp_vol_mean_60,pmp_vol_std_60,pmp_vol_bol_60,pmp_vol_bolin_check,pmp_mean_60,pmp_std_60,pmp_bolin_price_60_3,pmp_bolin_earning_60_3,pmp_bolin_price_60_6,pmp_bolin_earning_60_6,pmp_bolin_price_60_9,pmp_bolin_earning_60_9,pmp_bolin_price_60_12,pmp_bolin_earning_60_12,pmp_bolin_check,pmp_high_246.1,pmp_new_high_check,pmp_Max_Price_60,pmp_Max_Return_20,pmp_Max_Return_60,pmp_Max_Return_120,pmp_Max_Return_240,pmp_Max_Loss_Price_20,pmp_Max_Loss_Price_60,pmp_Max_Loss_Price_120,pmp_Max_Loss_Price_240,pmp_Max_Loss_20,pmp_Max_Loss_60,pmp_Max_Loss_120,pmp_Max_Loss_240,pmp_Is_Max_Over_Bolin_60_3,pmp_Is_Max_Over_Bolin_60_6,pmp_Is_Max_Over_Bolin_60_9,pmp_Is_Max_Over_Bolin_60_12,pmp_dec_246_1,pmp_std_level,pmp_기관순매,pmp_법인순매,pmp_개인순매,pmp_외인순매,pmp_기관대금,pmp_법인대금,pmp_개인대금,pmp_외인대금,pmp_거래대금,dump_period,long_dec_3,long_dec_2,long_dec_1,period_long_dec_3,period_long_dec_2,period_long_dec_1,long_dec_ratio_1,long_dec_ratio_2,long_dec_ratio_3,no_pumping_date_count,no_pumping_date_list
19160,2024-06-17,3345,3385,3080,3090,7294560,0.4878048780487805,3096.0,-8.0,3097.0,-0.5,3084.4166666666665,-0.3333333333334849,대아티아이,45390,253525.75,130450.5662960223,644877.4488880669,True,3084.4166666666665,37.3284036906275,3196.401877738549,3308.387088810432,3420.372299882314,3532.3575109541966,3.443426464030713,7.067543327198433,10.691660190366152,14.315777053533871,0.1495733216884214,True,True,False,4070.0,False,50.8,3115.0,0.8090614886731462,2985.0,-3.398058252427183,3285.0,6.310679611650483,2465.0,-20.22653721682848,3285.0,6.310679611650483,2465.0,-20.22653721682848,4560.0,47.57281553398058,2465.0,-20.22653721682848,True,False,False,False,-37593.0,-65.0,607648.0,-569990.0,-122342940.0,-105830.0,1971852255.0,-1849403485.0,1971852255.0,2025-04-04,2024-06-17,3215.0,3395.0,3215.0,3385.0,1345883.0,4.4753086419753085,3470.0,3199.0,58.0,3159.75,12.0,3192.833333333333,5.16666666666697,567121.3,311288.8949669404,1500987.9849008212,False,3192.833333333333,87.94111034529128,3456.656664369207,2.116888164526062,3720.479995405082,9.91078272983992,3984.303326440955,17.70467729515377,4248.126657476829,25.498571860467617,False,3470.0,False,4560.0,22.89512555391433,34.71196454948302,34.71196454948302,34.71196454948302,3265.0,3265.0,3265.0,3265.0,-3.5450516986706093,-3.5450516986706093,-3.5450516986706093,-3.5450516986706093,True,True,True,True,52.4,2.185174441306743,-1.0,0.0,-238211.0,238212.0,-331880.0,-66395.0,-787592119.0,787990394.0,787990394.0,291,443.0,267.0,141.0,735.0,487.0,243.0,58.0246913580247,54.82546201232032,60.27210884353742,3,"['2020-09-25', '2022-03-25', '2025-05-20']"
45207,2025-04-04,3230,3425,3150,3350,1509196,3.3950617283950617,3231.0,41.0,3128.0,17.5,3010.833333333333,10.75,화천기계,10660,261574.8333333333,184798.38565471052,815969.990297465,True,3010.833333333333,159.5858354895413,3489.5908398019574,3968.348346270581,4447.105852739205,4925.8633592078295,4.166890740356936,18.4581595901666,32.74942843997628,47.04069728978595,2.125293047633255,False,True,False,6980.0,False,54.9,4720.0,40.89552238805969,3445.0,2.8358208955223896,4720.0,40.89552238805969,3445.0,2.8358208955223896,4720.0,40.89552238805969,3445.0,2.8358208955223896,4720.0,40.89552238805969,3445.0,2.8358208955223896,True,True,True,False,63.0,-3425.0,189093.0,-185731.0,207445.0,-11263970.0,628801539.0,-617745014.0,629008984.0,2025-04-07,2025-04-04,3320.0,3650.0,3260.0,3445.0,1497265.0,2.8358208955223883,6450.0,3309.0,78.0,3147.5,19.5,3022.9166666666665,12.08333333333303,276531.73333333334,240468.90252548252,997938.440909781,True,3022.9166666666665,164.47971421696596,3516.3558093175643,2.071286192091852,4009.794951968463,16.39462850416437,4503.23409461936,30.71797081623686,4996.673237270258,45.041313128309376,True,6450.0,False,4720.0,37.01015965166909,37.01015965166909,37.01015965166909,37.01015965166909,3505.0,3505.0,3505.0,3505.0,1.741654571843254,1.741654571843254,1.741654571843254,1.741654571843254,True,True,True,False,54.5,2.5661725845204315,64.0,3646.0,143839.0,-147549.0,219755.0,12478830.0,509525335.0,-522223920.0,522223920.0,3,368.0,252.0,163.0,735.0,487.0,243.0,67.07818930041152,51.74537987679672,50.06802721088436,2,"['2024-03-19', '2025-05-07']"
34588,2023-10-16,3435,3865,3355,3560,993959,4.24597364568082,3396.0,66.0,3378.25,8.0,3430.25,-1.833333333333485,한진중공업홀딩스,3480,55807.35,189899.61041305395,625506.1812391618,True,3430.25,90.48676238356371,3701.7102871506913,3973.170574301382,4244.630861452073,4516.091148602764,3.980626043558745,11.605915008465791,19.23120397337284,26.856492938279896,1.4339113985535654,True,True,False,4550.0,False,54.1,3650.0,2.528089887640439,3315.0,-6.88202247191011,3650.0,2.528089887640439,3160.0,-11.23595505617978,3650.0,2.528089887640439,3115.0,-12.5,3815.0,7.162921348314599,3115.0,-12.5,False,False,False,False,-1.0,3952.0,6921.0,-10872.0,-4280.0,14582820.0,32760455.0,-47338995.0,47343275.0,2025-04-15,2023-10-16,3855.0,3915.0,3825.0,3880.0,72992.0,0.648508430609598,4375.0,3778.0,44.0,3663.75,16.25,3572.5,5.333333333333485,50700.45,150173.83198130637,501221.9459439191,False,3572.5,97.2218253959888,3864.1654761879663,-0.4081062838153014,4155.830952375933,7.109045164328161,4447.496428563899,14.62619661247162,4739.161904751865,22.14334806061508,True,4375.0,False,5150.0,32.73195876288659,32.73195876288659,32.73195876288659,32.73195876288659,3880.0,3880.0,3880.0,3880.0,0.0,0.0,0.0,0.0,True,True,True,True,54.9,3.1628700525580435,3852.0,-2012.0,-19496.0,17656.0,14951840.0,-7846260.0,-75372055.0,68266475.0,83218315.0,547,424.0,290.0,103.0,735.0,487.0,243.0,42.38683127572017,59.54825462012321,57.68707482993197,5,"['2021-06-09', '2021-07-05', '2022-05-03', '2025-04-28', '2025-05-15']"
64402,2025-02-12,1642,2000,1642,1742,2017783,6.219512195121951,1625.8,36.200000000000045,1590.4,5.75,1624.6833333333334,-0.7999999999999545,HB인베스트먼트,440290,53403.98333333333,63990.329375088855,245374.9714585999,True,1624.6833333333334,50.56035722006759,1776.364404993536,1928.045476653739,2079.7265483139417,2231.4076199741444,1.9726983348757765,10.679992919273184,19.3872875036706,28.094582088067988,2.320329070382897,True,True,False,4300.0,False,62.6,1855.0,6.486796785304239,1697.0,-2.5832376578645238,2130.0,22.273249138920768,1654.0,-5.051664753157292,2155.0,23.708381171067728,1654.0,-5.051664753157292,2155.0,23.708381171067728,1654.0,-5.051664753157292,True,True,True,False,-17897.0,7031.0,9742.0,1124.0,-31485513.0,12202604.0,19946449.0,-663540.0,32149053.0,2025-04-21,2025-02-12,1935.0,2255.0,1927.0,2065.0,2300094.0,7.217030114226376,3145.0,1934.6,27.799999999999955,1787.65,15.450000000000044,1737.9833333333331,8.25,97856.05,259848.24923622285,877400.7977086686,True,1737.9833333333331,108.15382435319184,2062.444806392909,-0.1237381892053773,2386.9062794524843,15.588681813679628,2711.36775251206,31.30110181656464,3035.829225571635,47.01352181944964,True,3145.0,False,2155.0,4.358353510895885,4.358353510895885,4.358353510895885,4.358353510895885,1944.0,1910.0,1910.0,1910.0,-5.859564164648912,-7.506053268765134,-7.506053268765134,-7.506053268765134,True,False,False,False,57.3,3.0236255502047418,3.0,1497.0,-49323.0,47823.0,5844.0,2940357.0,-91912299.0,88966098.0,91912299.0,68,194.0,194.0,194.0,300.0,300.0,243.0,79.83539094650206,64.66666666666666,64.66666666666666,1,['2025-04-21']
55568,2025-04-23,1201,1560,1201,1345,3360638,12.083333333333334,1229.6,30.799999999999955,1208.7,2.25,1288.0833333333333,-0.7333333333333485,지니너스,389030,75821.51666666666,77182.74792392598,307369.7604384446,True,1288.0833333333333,73.62728019473613,1508.9651739175415,1729.84701450175,1950.7288550859585,2171.610695670167,12.19071925037485,28.61316092949814,45.035602608621446,61.45804428774475,0.7730377451961876,True,True,False,1981.0,False,59.8,2110.0,56.87732342007435,1495.0,11.152416356877314,2110.0,56.87732342007435,1495.0,11.152416356877314,2110.0,56.87732342007435,1495.0,11.152416356877314,2110.0,56.87732342007435,1495.0,11.152416356877314,True,True,True,False,-296833.0,19093.0,227719.0,50021.0,-418948575.0,29967686.0,322679603.0,66301286.0,418948575.0,2025-04-28,2025-04-23,1511.0,1695.0,1510.0,1615.0,1085932.0,6.882859033752482,1981.0,1441.0,82.0,1247.95,16.850000000000136,1296.3166666666666,3.166666666666515,249624.95,894484.4479427718,2933078.293828316,False,1296.3166666666666,91.762100322197,1571.6029676332575,-2.687122747166715,1846.8892685998485,14.358468643953469,2122.17556956644,31.404060035073663,2397.4618705330304,48.44965142619383,True,1981.0,False,2110.0,30.65015479876161,30.65015479876161,30.65015479876161,30.65015479876161,1495.0,1495.0,1495.0,1495.0,-7.430340557275539,-7.430340557275539,-7.430340557275539,-7.430340557275539,True,True,False,False,59.8,3.4729298066888816,-20.0,-4361.0,-18662.0,23043.0,-32240.0,-5911630.0,-26975944.0,32919814.0,32919814.0,5,526.0,366.0,223.0,735.0,487.0,243.0,91.76954732510288,75.15400410677618,71.56462585034014,0,[]
25340,2025-02-11,2035,2400,2000,2230,14681067,10.123456790123456,2052.6,55.0,2057.4,7.75,2071.2166666666667,-2.333333333333485,알루코,1780,261556.6833333333,191299.64461850844,835455.6171888587,True,2071.2166666666667,83.478558458115,2321.652342041012,2572.0880174153567,2822.5236927897017,3072.9593681640467,4.109970495112632,15.340269839253663,26.5705691833947,37.80086852753573,1.9020852332159297,True,True,False,4520.0,False,58.5,2275.0,2.0179372197309364,2170.0,-2.6905829596412523,2335.0,4.7085201793722,1889.0,-15.291479820627806,2630.0,17.937219730941713,1889.0,-15.291479820627806,2630.0,17.937219730941713,1889.0,-15.291479820627806,True,False,False,False,-3505.0,2121.0,357830.0,-356446.0,-7394610.0,4501245.0,860604195.0,-857710830.0,865105440.0,2025-05-19,2025-02-11,2365.0,2440.0,2365.0,2435.0,685185.0,2.9598308668076108,3575.0,2379.0,20.0,2218.5,16.25,2180.983333333333,2.916666666666515,501923.68333333335,562569.6337655772,2189632.5846300647,False,2180.983333333333,107.63541729178324,2503.8895852086825,2.829141076331932,2826.7958370840324,16.09017811433398,3149.7020889593823,29.35121515233603,3472.608340834732,42.61225219033805,False,3575.0,False,2630.0,8.008213552361386,8.008213552361386,8.008213552361386,8.008213552361386,2345.0,2345.0,2345.0,2345.0,-3.696098562628336,-3.696098562628336,-3.696098562628336,-3.696098562628336,True,False,False,False,56.1,2.3599728886456246,115282.0,3000.0,-193072.0,74790.0,276363810.0,7195000.0,-463575130.0,180016320.0,463575130.0,97,431.0,285.0,184.0,735.0,487.0,243.0,75.7201646090535,58.52156057494866,58.63945578231292,8,"['2020-08-13', '2021-06-04', '2021-06-07', '2021-06-10', '2021-09-08', '2022-01-17', '2024-03-26', '2024-10-08']"
