날짜,공시_제목,공시자
2024-02-02,임원ㆍ주요주주특정증권등소유상황보고서,정창권
2024-02-02,임원ㆍ주요주주특정증권등소유상황보고서,조동환
2024-02-02,임원ㆍ주요주주특정증권등소유상황보고서,조상혁
2024-02-02,임원ㆍ주요주주특정증권등소유상황보고서,조익환
2024-02-02,임원ㆍ주요주주특정증권등소유상황보고서,조현덕
2024-02-02,임원ㆍ주요주주특정증권등소유상황보고서,채영훈
2024-02-02,임원ㆍ주요주주특정증권등소유상황보고서,채종근
2024-02-02,임원ㆍ주요주주특정증권등소유상황보고서,최낙훈
2024-02-02,임원ㆍ주요주주특정증권등소유상황보고서,최용진
2024-02-02,임원ㆍ주요주주특정증권등소유상황보고서,최재원
2024-02-02,임원ㆍ주요주주특정증권등소유상황보고서,최환석
2024-02-02,임원ㆍ주요주주특정증권등소유상황보고서,하명복
2024-02-02,임원ㆍ주요주주특정증권등소유상황보고서,하민용
2024-02-02,자기주식처분결과보고서,SK텔레콤
2024-02-02,임원ㆍ주요주주특정증권등소유상황보고서,한상동
2024-02-02,임원ㆍ주요주주특정증권등소유상황보고서,홍선기
2024-02-02,임원ㆍ주요주주특정증권등소유상황보고서,홍승태
2024-02-02,임원ㆍ주요주주특정증권등소유상황보고서,황재만
2024-02-02,임원ㆍ주요주주특정증권등소유상황보고서,정희영
2024-02-02,임원ㆍ주요주주특정증권등소유상황보고서,이관우
2024-02-02,임원ㆍ주요주주특정증권등소유상황보고서,정도희
2024-02-02,임원ㆍ주요주주특정증권등소유상황보고서,이정용
2024-02-02,임원ㆍ주요주주특정증권등소유상황보고서,이규식
2024-02-02,임원ㆍ주요주주특정증권등소유상황보고서,이기윤
2024-02-02,임원ㆍ주요주주특정증권등소유상황보고서,이동기
2024-02-02,임원ㆍ주요주주특정증권등소유상황보고서,이상구
2024-02-02,임원ㆍ주요주주특정증권등소유상황보고서,이승열
2024-02-02,임원ㆍ주요주주특정증권등소유상황보고서,이영탁
2024-02-02,임원ㆍ주요주주특정증권등소유상황보고서,이재신
2024-02-02,임원ㆍ주요주주특정증권등소유상황보고서,이종민
2024-02-02,임원ㆍ주요주주특정증권등소유상황보고서,이종훈
2024-02-02,임원ㆍ주요주주특정증권등소유상황보고서,이준형
2024-02-02,임원ㆍ주요주주특정증권등소유상황보고서,이현우
2024-02-02,임원ㆍ주요주주특정증권등소유상황보고서,이혜연
2024-02-02,임원ㆍ주요주주특정증권등소유상황보고서,임봉호
2024-02-02,임원ㆍ주요주주특정증권등소유상황보고서,임정연
2024-02-02,임원ㆍ주요주주특정증권등소유상황보고서,장현기
2024-02-02,임원ㆍ주요주주특정증권등소유상황보고서,장홍성
2024-02-02,임원ㆍ주요주주특정증권등소유상황보고서,정대덕
2024-01-31,임원ㆍ주요주주특정증권등소유상황보고서,유영상
2024-01-31,임원ㆍ주요주주특정증권등소유상황보고서,강종렬
2024-01-30,기업설명회(IR)개최(안내공시),SK텔레콤
2024-01-26,[기재정정]주식소각결정,SK텔레콤
2024-01-26,주요사항보고서(자기주식취득신탁계약해지결정),SK텔레콤
2024-01-26,신탁계약해지결과보고서,SK텔레콤
2024-01-25,주요사항보고서(자기주식처분결정),SK텔레콤
2024-01-08,임원ㆍ주요주주특정증권등소유상황보고서,이현우
2024-01-05,임원ㆍ주요주주특정증권등소유상황보고서,이재준
2024-01-05,임원ㆍ주요주주특정증권등소유상황보고서,김명국
2024-01-05,임원ㆍ주요주주특정증권등소유상황보고서,김호근
2024-01-05,임원ㆍ주요주주특정증권등소유상황보고서,박규현
