회사명,매집일,이상_가격,매석_거래,신고가_매집봉,매집_기간,매집_저항,매석_종가,등락률,포착일_매석,매집_거래량,매석_거래량,골크_단중,골크_중장,우상향_5일,우상향_20일,우상향_60일,거래대금_억,시가총액_억,주식수,시총_순위_2711,이상_거래량,회사_코드
SK하이닉스,2024-09-19,False,True,False,1,155700,157100.0,2.81413612565445,2024-09-20,14763235,6925772.0,False,False,True,False,False,11312,1143691,728002365,2,True,000660
고려아연,2024-09-19,True,True,True,1,720000,735000.0,3.96039603960396,2024-09-20,494830,379226.0,True,True,True,True,True,2827,152169,20703283,28,True,010130
금양,2024-08-28,False,False,False,23,53600,53700.0,7.939698492462312,2024-09-20,2101652,2433025.0,True,False,True,False,False,1382,31172,58050037,118,True,001570
파마리서치,2024-09-06,False,True,True,14,197800,201000.0,3.875968992248062,2024-09-20,1441885,289696.0,True,True,True,True,True,582,21032,10464152,150,True,214450
영풍,2024-02-01,False,False,False,232,546000,570000.0,13.77245508982036,2024-09-20,5734,193535.0,True,True,True,True,True,1156,10499,1842040,251,True,000670
영풍,2024-02-05,False,False,False,228,545000,570000.0,13.77245508982036,2024-09-20,5333,193535.0,True,True,True,True,True,1156,10499,1842040,251,True,000670
영풍,2024-09-19,True,False,False,1,501000,570000.0,13.77245508982036,2024-09-20,24082,193535.0,True,True,True,True,True,1156,10499,1842040,251,True,000670
동아쏘시오홀딩스,2024-09-19,False,True,False,1,124900,125600.0,1.1272141706924317,2024-09-20,28761,26897.0,False,True,True,True,True,33,7974,6348913,304,True,000640
티웨이항공,2024-07-02,False,False,False,80,3010,3295.0,9.650582362728786,2024-09-20,6652412,10589752.0,True,True,True,True,True,340,7096,215378976,330,True,091810
태광산업,2024-08-05,False,True,False,46,602000,608000.0,2.184873949579832,2024-09-20,2594,894.0,True,False,True,True,False,5,6769,1113400,341,True,003240
교보증권,2024-09-09,True,True,False,11,5380,5380.0,1.893939393939394,2024-09-20,145313,49653.0,True,True,True,True,True,2,6131,113962961,369,True,030610
젬백스,2023-12-21,False,False,False,274,14860,15180.0,14.73922902494331,2024-09-20,1444860,7452123.0,True,False,True,True,True,1124,6071,39994174,375,True,082270
젬백스,2024-09-19,True,False,False,1,13230,15180.0,14.73922902494331,2024-09-20,2398917,7452123.0,True,False,True,True,True,1124,6071,39994174,375,True,082270
신한알파리츠,2024-09-10,False,True,False,10,6207,6260.0,4.159733777038269,2024-09-20,1126196,959224.0,False,False,True,False,True,59,5515,88100123,400,True,293940
신한알파리츠,2024-09-11,False,False,False,9,6030,6260.0,4.159733777038269,2024-09-20,737630,959224.0,False,False,True,False,True,59,5515,88100123,400,True,293940
휴메딕스,2024-09-11,False,True,False,9,36400,37450.0,3.1680440771349865,2024-09-20,441450,188838.0,True,True,True,True,True,70,4205,11229930,481,True,200670
한국자산신탁,2024-08-30,False,True,False,21,3000,3000.0,1.351351351351351,2024-09-20,1058259,322896.0,False,False,True,False,False,9,3719,123977752,530,True,123890
영풍정밀,2022-11-25,True,True,True,665,16350,20550.0,29.81680353758686,2024-09-20,7061881,782189.0,True,False,True,True,True,160,3236,15750000,590,True,036560
영풍정밀,2023-07-27,True,True,False,421,15940,20550.0,29.81680353758686,2024-09-20,4048150,782189.0,True,False,True,True,True,160,3236,15750000,590,True,036560
영풍정밀,2023-09-20,True,True,False,366,16850,20550.0,29.81680353758686,2024-09-20,3668679,782189.0,True,False,True,True,True,160,3236,15750000,590,True,036560
대한제강,2024-09-03,False,True,False,17,13060,13140.0,0.6896551724137931,2024-09-20,91527,21648.0,True,True,True,True,True,2,3076,23414397,614,True,084010
현대차증권,2024-09-06,False,True,False,14,9160,9220.0,1.3186813186813189,2024-09-20,163085,55360.0,True,True,True,True,True,5,2923,31712562,637,True,001500
에프앤가이드,2024-09-19,True,False,True,1,17550,22800.0,29.914529914529915,2024-09-20,967581,1746283.0,True,True,True,True,True,349,2587,11350000,694,True,064850
인카금융서비스,2024-09-05,False,True,False,15,4630,4670.0,4.357541899441341,2024-09-20,537141,104991.0,False,False,True,False,False,4,2399,51379800,739,True,211050
제일일렉트릭,2024-08-26,False,False,False,25,9280,9870.0,15.30373831775701,2024-09-20,13706108,14503562.0,True,False,True,True,True,1456,2193,22220000,794,True,199820
제일일렉트릭,2024-09-11,False,True,False,9,9330,9870.0,15.30373831775701,2024-09-20,24094208,14503562.0,True,False,True,True,True,1456,2193,22220000,794,True,199820
삼영,2024-09-12,True,True,False,8,4950,4950.0,2.061855670103093,2024-09-20,1462839,467595.0,True,True,True,True,True,22,1683,34000000,985,True,003720
CJ우,2024-09-19,False,True,False,1,60200,60500.0,1.340033500837521,2024-09-20,32224,6487.0,True,True,False,True,True,3,1367,2260223,1147,True,001045
하이트론,2021-08-12,False,False,False,1135,4494,4595.0,29.985855728429986,2024-09-20,3902729,22632423.0,True,True,True,True,True,918,1268,27611224,1216,True,019490
하이트론,2021-08-23,False,False,False,1124,3887,4595.0,29.985855728429986,2024-09-20,3614698,22632423.0,True,True,True,True,True,918,1268,27611224,1216,True,019490
하이트론,2021-11-30,False,False,False,1025,4204,4595.0,29.985855728429986,2024-09-20,2525051,22632423.0,True,True,True,True,True,918,1268,27611224,1216,True,019490
하이트론,2024-09-13,True,False,True,7,3535,4595.0,29.985855728429986,2024-09-20,6375675,22632423.0,True,True,True,True,True,918,1268,27611224,1216,True,019490
다보링크,2024-08-19,False,False,False,32,2290,2640.0,24.52830188679245,2024-09-20,5736996,7992596.0,True,False,True,True,False,202,1145,43388212,1320,True,340360
한국수출포장,2024-08-20,False,True,False,31,2540,2550.0,1.1904761904761905,2024-09-20,522117,61763.0,True,True,True,True,False,1,1020,40000000,1418,True,002200
JW신약,2024-08-05,False,False,False,46,1799,2000.0,24.533001245330013,2024-09-20,366955,10129313.0,True,False,True,True,True,215,1016,50841502,1422,True,067290
티쓰리,2024-06-17,False,True,False,95,1270,1284.0,3.0497592295345104,2024-09-20,1961687,529574.0,True,True,True,True,True,6,819,63851720,1606,True,204610
티쓰리,2024-07-17,False,True,False,65,1253,1284.0,3.0497592295345104,2024-09-20,2010130,529574.0,True,True,True,True,True,6,819,63851720,1606,True,204610
에이스테크,2024-08-16,False,False,False,35,843,892.0,21.85792349726776,2024-09-20,3980508,22980386.0,True,False,True,True,False,211,623,69926073,1853,True,088800
우성,2024-08-05,False,True,False,46,17050,17330.0,2.605091770278271,2024-09-20,8506,2550.0,True,False,True,True,False,0,535,3090000,2011,True,006980
