회사명,매집일,이상_가격,매석_거래,신고가_매집봉,매집_기간,매집_저항,매석_종가,등락률,포착일_매석,매집_거래량,매석_거래량,골크_단중,골크_중장,우상향_5일,우상향_20일,우상향_60일,거래대금_억,시가총액_억,주식수,시총_순위_2682,이상_거래량,회사_코드
LG이노텍,2024-05-03,True,True,False,4,237500,239500.0,2.1321961620469083,2024-05-07,506727,282821.0,True,True,True,True,True,677,56682,23667107,66,True,011070
롯데케미칼,2024-04-29,False,True,False,8,108800,108900.0,0.4612546125461254,2024-05-07,328945,85895.0,True,False,True,False,False,93,46582,42775419,83,True,011170
LS,2024-04-29,True,True,False,8,142300,143700.0,10.87962962962963,2024-05-07,1385137,787576.0,True,True,True,True,True,1116,46271,32200000,84,True,006260
현대건설,2024-02-26,False,True,False,71,35500,35600.0,0.9929078014184398,2024-05-07,1366115,383725.0,True,True,True,True,True,136,39642,111355765,102,True,000720
대한전선,2024-04-12,True,True,False,25,14250,14300.0,9.327217125382264,2024-05-07,38959880,17637765.0,True,True,True,True,True,2526,26661,186447300,127,True,001440
풍산,2024-05-02,False,True,True,5,75000,75100.0,0.2670226969292389,2024-05-07,2795604,653913.0,True,True,True,True,True,492,21046,28024278,155,True,103140
에스티팜,2024-03-18,True,True,True,50,99000,99800.0,3.419689119170984,2024-05-07,2906864,549953.0,True,True,True,True,True,559,18896,18933904,165,True,237690
두산퓨얼셀,2024-04-29,False,True,False,8,20550,20750.0,4.271356783919598,2024-05-07,1313087,372983.0,True,False,True,True,True,77,13589,65493726,211,True,336260
와이씨,2024-04-26,True,True,True,11,14980,15840.0,14.782608695652174,2024-05-07,54735368,41000767.0,True,True,True,True,True,6381,12995,82045350,222,True,232140
코오롱인더,2024-04-29,False,True,False,8,40400,40500.0,0.4962779156327543,2024-05-07,316343,74270.0,True,False,True,True,False,30,11145,27519091,253,True,120110
미원상사,2024-04-29,False,False,True,8,198400,208000.0,5.583756345177665,2024-05-07,8098,12687.0,True,True,True,True,True,25,9880,4750000,275,True,002840
비에이치,2024-01-03,False,False,False,125,21300,21700.0,4.830917874396135,2024-05-07,1466036,5776442.0,True,False,True,True,True,1241,7478,34464379,350,True,090460
비에이치,2024-05-03,True,True,False,4,21200,21700.0,4.830917874396135,2024-05-07,14705798,5776442.0,True,False,True,True,True,1241,7478,34464379,350,True,090460
유니드,2024-04-25,True,True,True,12,101700,106300.0,8.69120654396728,2024-05-07,579623,172908.0,True,True,True,True,True,179,7193,6767600,362,True,014830
NICE평가정보,2024-03-05,False,True,False,63,10870,11310.0,4.916512059369202,2024-05-07,256657,132295.0,True,False,True,True,True,14,6798,60107670,376,True,030190
HB솔루션,2021-07-29,True,False,True,1013,7466,7570.0,16.46153846153846,2024-05-07,2407552,24396509.0,True,True,True,True,True,1880,5534,73114318,432,True,297890
HB솔루션,2024-01-29,False,False,False,99,6840,7570.0,16.46153846153846,2024-05-07,15621976,24396509.0,True,True,True,True,True,1880,5534,73114318,432,True,297890
HB솔루션,2024-04-30,False,False,False,7,6700,7570.0,16.46153846153846,2024-05-07,14729787,24396509.0,True,True,True,True,True,1880,5534,73114318,432,True,297890
