item,전체,조건1(t3) 수,조건1(t3) 비율(%),조건2(t6) 수,조건2(t6) 비율(%),조건3(t9) 수,조건3(t9) 비율(%)
condition_number == 10,1,1,100.0,0,0.0,0,0.0
condition_number == 6,2,2,100.0,2,100.0,2,100.0
condition_number == 3,2,0,0.0,0,0.0,0,0.0
