날짜,시가,고가,저가,종가,거래량,등락률,BPS,PER,PBR,EPS,DIV,DPS,기관합계_거래량_순매수,기타법인_거래량_순매수,개인_거래량_순매수,외국인합계_거래량_순매수,전체_거래량_순매수,기관합계_거래량_매수,기타법인_거래량_매수,개인_거래량_매수,외국인합계_거래량_매수,전체_거래량_매수,기관합계_거래량_매도,기타법인_거래량_매도,개인_거래량_매도,외국인합계_거래량_매도,전체_거래량_매도,기관합계_거래대금_순매수,기타법인_거래대금_순매수,개인_거래대금_순매수,외국인합계_거래대금_순매수,전체_거래대금_순매수,기관합계_거래대금_매수,기타법인_거래대금_매수,개인_거래대금_매수,외국인합계_거래대금_매수,전체_거래대금_매수,기관합계_거래대금_매도,기타법인_거래대금_매도,개인_거래대금_매도,외국인합계_거래대금_매도,전체_거래대금_매도,네이버_검색량
2019-01-02,7430,7500,7340,7350,63456,-0.6756756756756757,4516,18.61,1.63,395,0.0,0,-126,0,2267,-2141,0,0,0,59473,3983,63456,126,0,57206,6124,63456,-932860,0,16613370,-15680510,0,0,0,440291880,29584270,469876150,932860,0,423678510,45264780,469876150,
2019-01-03,7330,7460,7210,7460,69904,1.4965986394557822,4516,18.89,1.65,395,0.0,0,39,0,7931,-7970,0,45,0,68663,1196,69904,6,0,60732,9166,69904,288310,0,58377200,-58665510,0,333070,0,505644960,8762500,514740530,44760,0,447267760,67428010,514740530,
2019-01-04,7750,9320,7650,8770,7419524,17.560321715817693,4516,22.2,1.94,395,0.0,0,-67,-28851,148655,-119737,0,15121,4416,7305012,94975,7419524,15188,33267,7156357,214712,7419524,-501540,-262837660,1290005280,-1026666080,0,135452960,37086650,64316979270,824128330,65313647210,135954500,299924310,63026973990,1850794410,65313647210,
2019-01-07,8530,8550,8250,8480,1388193,-3.30672748004561,4516,21.47,1.88,395,0.0,0,43,1000,-46771,45728,0,52,1000,1298587,88554,1388193,9,0,1345358,42826,1388193,364390,8405000,-397754700,388985310,0,439360,8405000,10923483650,748161580,11680489590,74970,0,11321238350,359176270,11680489590,
2019-01-08,8540,8580,8080,8250,756306,-2.7122641509433962,4516,20.89,1.83,395,0.0,0,13,500,31622,-32135,0,14,500,742094,13698,756306,1,0,710472,45833,756306,107280,4125000,258861980,-263094260,0,115460,4125000,6133188330,114785640,6252214430,8180,0,5874326350,377879900,6252214430,
2019-01-09,8150,8490,8150,8290,824733,0.48484848484848486,4516,20.99,1.84,395,0.0,0,57,0,22428,-22485,0,68,0,798215,26450,824733,11,0,775787,48935,824733,475790,0,187835540,-188311330,0,566450,0,6638602740,218117550,6857286740,90660,0,6450767200,406428880,6857286740,
2019-01-10,8240,8350,8010,8010,416623,-3.3775633293124248,4516,20.28,1.77,395,0.0,0,46,0,-15850,15804,0,58,0,393259,23306,416623,12,0,409109,7502,416623,369050,0,-128265570,127896520,0,466440,0,3189619900,188998210,3379084550,97390,0,3317885470,61101690,3379084550,
2019-01-11,8050,8200,8020,8030,186920,0.24968789013732834,4516,20.33,1.78,395,0.0,0,66,-60,-2892,2886,0,66,0,181104,5750,186920,0,60,183996,2864,186920,530700,-482000,-23332650,23283950,0,530700,0,1460535540,46444640,1507510880,0,482000,1483868190,23160690,1507510880,
2019-01-14,8030,8240,7980,8150,191996,1.4943960149439601,4516,20.63,1.8,395,0.0,0,34,500,-16570,16036,0,50,500,171365,20081,191996,16,0,187935,4045,191996,277770,4070000,-134778680,130430910,0,408100,4070000,1394119970,163407370,1562005440,130330,0,1528898650,32976460,1562005440,
2019-01-15,8170,8290,8100,8150,152739,0.0,4516,20.63,1.8,395,0.0,0,228,4200,3025,-7453,0,280,4200,144709,3550,152739,52,0,141684,11003,152739,1860090,34357020,24882840,-61099950,0,2284290,34357020,1181554820,29029720,1247225850,424200,0,1156671980,90129670,1247225850,
2019-01-16,8210,8250,8000,8200,225752,0.6134969325153374,4516,20.76,1.82,395,0.0,0,-3,1800,-12784,10987,0,16,1800,206819,17117,225752,19,0,219603,6130,225752,-23690,14655000,-104078190,89446880,0,130960,14655000,1682224760,139474240,1836484960,154650,0,1786302950,50027360,1836484960,
2019-01-17,8200,8230,8060,8060,144627,-1.707317073170732,4516,20.41,1.78,395,0.0,0,5,0,7156,-7161,0,28,0,137069,7530,144627,23,0,129913,14691,144627,39620,0,58302050,-58341670,0,225800,0,1113034410,61437060,1174697270,186180,0,1054732360,119778730,1174697270,
2019-01-18,8130,8130,7770,7890,243323,-2.109181141439206,4516,19.97,1.75,395,0.0,0,34,2600,-4106,1472,0,34,2600,226805,13884,243323,0,0,230911,12412,243323,268260,20594390,-32638560,11775910,0,268260,20594390,1788906500,109701050,1919470200,0,0,1821545060,97925140,1919470200,
2019-01-21,7830,7960,7780,7920,176453,0.38022813688212925,4516,20.05,1.75,395,0.0,0,-120,4,-40056,40172,0,14,504,134749,41186,176453,134,500,174805,1014,176453,-941180,39480,-314856430,315758130,0,110880,3974480,1058272360,323726440,1386084160,1052060,3935000,1373128790,7968310,1386084160,
2019-01-22,7920,7980,7780,7880,148525,-0.5050505050505051,4516,19.95,1.74,395,0.0,0,165,0,-12017,11852,0,188,0,130762,17575,148525,23,0,142779,5723,148525,1298440,0,-94407730,93109290,0,1479490,0,1027268520,138148630,1166896640,181050,0,1121676250,45039340,1166896640,
2019-01-23,7890,8130,7820,8080,157248,2.5380710659898478,4516,20.46,1.79,395,0.0,0,21,896,-29501,28584,0,21,896,122332,33999,157248,0,0,151833,5415,157248,169680,7181960,-236886040,229534400,0,169680,7181960,984359650,273131220,1264842510,0,0,1221245690,43596820,1264842510,
2019-01-24,8120,8240,8090,8160,156865,0.9900990099009901,4516,20.66,1.81,395,0.0,0,7,700,-33698,32991,0,20,700,118705,37440,156865,13,0,152403,4449,156865,57230,5708000,-275920880,270155650,0,163200,5708000,969911500,306486380,1282269080,105970,0,1245832380,36330730,1282269080,
2019-01-25,8230,8250,8070,8110,125567,-0.6127450980392157,4516,20.53,1.8,395,0.0,0,4,0,-1379,1375,0,9,0,109083,16475,125567,5,0,110462,15100,125567,32410,0,-10781660,10749250,0,73020,0,886998570,133873050,1020944640,40610,0,897780230,123123800,1020944640,
