회사,구분,점수
한국전력,골크_단장,15
한국전력,골크_중장,15
한국전력,우상향_5,15
한국전력,우상향_20,0
한국전력,우상향_60,25
한국전력,합계,85
두산에너빌리티,골크_단중,0
두산에너빌리티,골크_단장,15
두산에너빌리티,골크_중장,15
두산에너빌리티,우상향_5,15
두산에너빌리티,우상향_20,0
두산에너빌리티,우상향_60,25
두산에너빌리티,합계,70
SK스퀘어,골크_단중,0
SK스퀘어,골크_단장,0
SK스퀘어,골크_중장,0
SK스퀘어,우상향_5,0
SK스퀘어,우상향_20,15
SK스퀘어,우상향_60,0
SK스퀘어,합계,15
SK텔레콤,골크_단중,0
SK텔레콤,골크_단장,0
SK텔레콤,골크_중장,0
SK텔레콤,우상향_5,0
SK텔레콤,우상향_20,0
SK텔레콤,우상향_60,0
SK텔레콤,합계,0
에코프로비엠,골크_단중,15
에코프로비엠,골크_단장,15
에코프로비엠,골크_중장,15
에코프로비엠,우상향_5,0
에코프로비엠,우상향_20,15
에코프로비엠,우상향_60,25
에코프로비엠,합계,85
포스코퓨처엠,골크_단중,15
포스코퓨처엠,골크_단장,15
포스코퓨처엠,골크_중장,15
포스코퓨처엠,우상향_5,0
포스코퓨처엠,우상향_20,15
포스코퓨처엠,우상향_60,25
포스코퓨처엠,합계,85
기업은행,골크_단중,0
기업은행,골크_단장,0
기업은행,골크_중장,0
기업은행,우상향_5,0
기업은행,우상향_20,0
기업은행,우상향_60,0
기업은행,합계,0
LG,골크_단중,0
LG,골크_단장,0
LG,골크_중장,0
LG,우상향_5,15
LG,우상향_20,15
LG,우상향_60,0
LG,합계,30
우리금융지주,골크_단중,0
우리금융지주,골크_단장,15
우리금융지주,골크_중장,15
우리금융지주,우상향_5,15
우리금융지주,우상향_20,15
우리금융지주,우상향_60,25
우리금융지주,합계,85
KT,골크_단중,15
KT,골크_단장,15
KT,골크_중장,15
KT,우상향_5,0
KT,우상향_20,15
KT,우상향_60,25
KT,합계,85
한미반도체,골크_단중,0
한미반도체,골크_단장,0
한미반도체,골크_중장,0
한미반도체,우상향_5,0
한미반도체,우상향_20,0
한미반도체,우상향_60,0
한미반도체,합계,0
삼성중공업,골크_단중,15
삼성중공업,골크_단장,15
삼성중공업,골크_중장,15
삼성중공업,우상향_5,15
삼성중공업,우상향_20,15
삼성중공업,우상향_60,25
삼성중공업,합계,100
유한양행,골크_단중,0
유한양행,골크_단장,0
유한양행,골크_중장,15
유한양행,우상향_5,0
유한양행,우상향_20,0
유한양행,우상향_60,0
유한양행,합계,15
SK,골크_단중,15
SK,골크_단장,15
SK,골크_중장,0
SK,우상향_5,15
SK,우상향_20,15
SK,우상향_60,25
SK,합계,85
HLB,골크_단중,15
HLB,골크_단장,15
HLB,골크_중장,0
HLB,우상향_5,15
HLB,우상향_20,15
HLB,우상향_60,25
HLB,합계,85
카카오뱅크,골크_단중,0
카카오뱅크,골크_단장,0
카카오뱅크,골크_중장,15
카카오뱅크,우상향_5,0
카카오뱅크,우상향_20,0
카카오뱅크,우상향_60,25
카카오뱅크,합계,40
삼성에스디에스,골크_단중,15
삼성에스디에스,골크_단장,15
삼성에스디에스,골크_중장,0
삼성에스디에스,우상향_5,15
삼성에스디에스,우상향_20,15
삼성에스디에스,우상향_60,0
삼성에스디에스,합계,60
현대글로비스,골크_단중,0
현대글로비스,골크_단장,15
현대글로비스,골크_중장,15
현대글로비스,우상향_5,15
현대글로비스,우상향_20,0
현대글로비스,우상향_60,25
현대글로비스,합계,70
삼성전기,골크_단중,0
삼성전기,골크_단장,0
삼성전기,골크_중장,0
삼성전기,우상향_5,0
삼성전기,우상향_20,0
삼성전기,우상향_60,0
삼성전기,합계,0
SK바이오팜,골크_단중,0
SK바이오팜,골크_단장,0
SK바이오팜,골크_중장,0
SK바이오팜,우상향_5,0
SK바이오팜,우상향_20,0
SK바이오팜,우상향_60,0
SK바이오팜,합계,0
하이브,골크_단중,15
하이브,골크_단장,0
하이브,골크_중장,0
하이브,우상향_5,15
하이브,우상향_20,0
하이브,우상향_60,0
하이브,합계,30
대한항공,골크_단중,15
대한항공,골크_단장,15
대한항공,골크_중장,15
대한항공,우상향_5,15
대한항공,우상향_20,15
대한항공,우상향_60,25
대한항공,합계,100
에코프로,골크_단중,15
에코프로,골크_단장,15
에코프로,골크_중장,15
에코프로,우상향_5,0
에코프로,우상향_20,15
에코프로,우상향_60,25
에코프로,합계,85
포스코인터내셔널,골크_단중,15
포스코인터내셔널,골크_단장,15
포스코인터내셔널,골크_중장,15
포스코인터내셔널,우상향_5,15
포스코인터내셔널,우상향_20,15
포스코인터내셔널,우상향_60,25
포스코인터내셔널,합계,100
HD현대마린솔루션,골크_단중,15
HD현대마린솔루션,골크_단장,15
HD현대마린솔루션,골크_중장,15
HD현대마린솔루션,우상향_5,15
HD현대마린솔루션,우상향_20,15
HD현대마린솔루션,우상향_60,25
HD현대마린솔루션,합계,100
DB손해보험,골크_단중,0
DB손해보험,골크_단장,0
DB손해보험,골크_중장,0
DB손해보험,우상향_5,15
DB손해보험,우상향_20,0
DB손해보험,우상향_60,0
DB손해보험,합계,15
S-Oil,골크_단중,15
S-Oil,골크_단장,0
S-Oil,골크_중장,0
S-Oil,우상향_5,15
S-Oil,우상향_20,0
S-Oil,우상향_60,0
S-Oil,합계,30
아모레퍼시픽,골크_단중,0
아모레퍼시픽,골크_단장,0
아모레퍼시픽,골크_중장,0
아모레퍼시픽,우상향_5,0
아모레퍼시픽,우상향_20,0
아모레퍼시픽,우상향_60,0
아모레퍼시픽,합계,0
HD현대,골크_단중,15
HD현대,골크_단장,15
HD현대,골크_중장,15
HD현대,우상향_5,15
HD현대,우상향_20,15
HD현대,우상향_60,25
HD현대,합계,100
현대로템,골크_단중,0
현대로템,골크_단장,15
현대로템,골크_중장,15
현대로템,우상향_5,15
현대로템,우상향_20,0
현대로템,우상향_60,25
현대로템,합계,70
SKC,골크_단중,0
SKC,골크_단장,0
SKC,골크_중장,0
SKC,우상향_5,0
SKC,우상향_20,0
SKC,우상향_60,0
SKC,합계,0
삼양식품,골크_단중,15
삼양식품,골크_단장,15
삼양식품,골크_중장,15
삼양식품,우상향_5,15
삼양식품,우상향_20,15
삼양식품,우상향_60,25
삼양식품,합계,100
HD현대미포,골크_단중,15
HD현대미포,골크_단장,15
HD현대미포,골크_중장,15
HD현대미포,우상향_5,15
HD현대미포,우상향_20,0
HD현대미포,우상향_60,25
HD현대미포,합계,85
LS ELECTRIC,골크_단중,15
LS ELECTRIC,골크_단장,15
LS ELECTRIC,골크_중장,15
LS ELECTRIC,우상향_5,0
LS ELECTRIC,우상향_20,15
LS ELECTRIC,우상향_60,25
LS ELECTRIC,합계,85
에코프로머티,골크_단중,15
에코프로머티,골크_단장,15
에코프로머티,골크_중장,15
에코프로머티,우상향_5,0
에코프로머티,우상향_20,0
에코프로머티,우상향_60,25
에코프로머티,합계,70
코웨이,골크_단중,15
코웨이,골크_단장,0
코웨이,골크_중장,0
코웨이,우상향_5,15
코웨이,우상향_20,15
코웨이,우상향_60,0
코웨이,합계,45
한진칼,골크_단중,15
한진칼,골크_단장,0
한진칼,골크_중장,0
한진칼,우상향_5,15
한진칼,우상향_20,15
한진칼,우상향_60,0
한진칼,합계,45
한국항공우주,골크_단중,0
한국항공우주,골크_단장,0
한국항공우주,골크_중장,15
한국항공우주,우상향_5,0
한국항공우주,우상향_20,0
한국항공우주,우상향_60,25
한국항공우주,합계,40
맥쿼리인프라,골크_단중,0
맥쿼리인프라,골크_단장,0
맥쿼리인프라,골크_중장,0
맥쿼리인프라,우상향_5,0
맥쿼리인프라,우상향_20,0
맥쿼리인프라,우상향_60,0
맥쿼리인프라,합계,0
