날짜,시가,고가,저가,종가,거래량,등락률,기관합계_거래량_순매수,기타법인_거래량_순매수,개인_거래량_순매수,외국인합계_거래량_순매수,전체_거래량_순매수,기관합계_거래량_매수,기타법인_거래량_매수,개인_거래량_매수,외국인합계_거래량_매수,전체_거래량_매수,기관합계_거래량_매도,기타법인_거래량_매도,개인_거래량_매도,외국인합계_거래량_매도,전체_거래량_매도,기관합계_거래대금_순매수,기타법인_거래대금_순매수,개인_거래대금_순매수,외국인합계_거래대금_순매수,전체_거래대금_순매수,기관합계_거래대금_매수,기타법인_거래대금_매수,개인_거래대금_매수,외국인합계_거래대금_매수,전체_거래대금_매수,기관합계_거래대금_매도,기타법인_거래대금_매도,개인_거래대금_매도,외국인합계_거래대금_매도,전체_거래대금_매도
2019-01-02,1395,1425,1370,1385,1016640,-0.7168458781362007,0,-408,1794,-1386,0,0,0,1007662,8978,1016640,0,408,1005868,10364,1016640,0,-565080,2653275,-2088195,0,0,0,1404779250,12586040,1417365290,0,565080,1402125975,14674235,1417365290
2019-01-03,1430,1610,1420,1465,10895263,5.776173285198556,0,1,30625,-30626,0,0,18250,10843114,33899,10895263,0,18249,10812489,64525,10895263,0,541540,47722205,-48263745,0,0,28338400,16566966790,50925805,16646230995,0,27796860,16519244585,99189550,16646230995
2019-01-04,1470,1500,1405,1500,2964231,2.3890784982935154,0,0,1120,-1120,0,0,0,2939718,24513,2964231,0,0,2938598,25633,2964231,0,0,1846580,-1846580,0,0,0,4258200440,35527235,4293727675,0,0,4256353860,37373815,4293727675
2019-01-07,1510,1520,1460,1480,1629472,-1.3333333333333335,0,0,-3230,3230,0,0,0,1626041,3431,1629472,0,0,1629271,201,1629472,0,0,-4787590,4787590,0,0,0,2414628770,5086560,2419715330,0,0,2419416360,298970,2419715330
2019-01-08,1490,1505,1425,1450,2075943,-2.027027027027027,0,0,-1195,1195,0,0,0,2063641,12302,2075943,0,0,2064836,11107,2075943,0,0,-1813455,1813455,0,0,0,2997469050,17869810,3015338860,0,0,2999282505,16056355,3015338860
2019-01-09,1535,1640,1495,1515,10615769,4.482758620689655,0,6047,10512,-16559,0,5000,40957,10553503,16309,10615769,5000,34910,10542991,32868,10615769,525000,7962180,17379430,-25866610,0,8075000,62659390,16419470365,25424635,16515629390,7550000,54697210,16402090935,51291245,16515629390
2019-01-10,1535,1560,1485,1505,2646896,-0.6600660066006601,0,11571,-9859,-1712,0,0,11571,2632861,2464,2646896,0,0,2642720,4176,2646896,0,17774155,-15135480,-2638675,0,0,17774155,3990929460,3761240,4012464855,0,0,4006064940,6399915,4012464855
2019-01-11,1560,1560,1490,1505,4122753,0.0,0,18839,-24345,5506,0,0,30410,4076072,16271,4122753,0,11571,4100417,10765,4122753,0,29084975,-37549315,8464340,0,0,46822540,6222899225,24783910,6294505675,0,17737565,6260448540,16319570,6294505675
2019-01-14,1510,1525,1500,1510,1421121,0.33222591362126247,0,414,-64198,63784,0,0,414,1350108,70599,1421121,0,0,1414306,6815,1421121,0,623070,-96835965,96212895,0,0,623070,2036243270,106477145,2143343485,0,0,2133079235,10264250,2143343485
2019-01-15,1510,1510,1465,1480,1078516,-1.9867549668874174,0,33,-15685,15652,0,0,33,1058101,20382,1078516,0,0,1073786,4730,1078516,0,48510,-23149495,23100985,0,0,48510,1564984850,30096680,1595130040,0,0,1588134345,6995695,1595130040
