날짜,시가,고가,저가,종가,거래량,등락률,기관합계_거래량_순매수,기타법인_거래량_순매수,개인_거래량_순매수,외국인합계_거래량_순매수,전체_거래량_순매수,기관합계_거래량_매수,기타법인_거래량_매수,개인_거래량_매수,외국인합계_거래량_매수,전체_거래량_매수,기관합계_거래량_매도,기타법인_거래량_매도,개인_거래량_매도,외국인합계_거래량_매도,전체_거래량_매도,기관합계_거래대금_순매수,기타법인_거래대금_순매수,개인_거래대금_순매수,외국인합계_거래대금_순매수,전체_거래대금_순매수,기관합계_거래대금_매수,기타법인_거래대금_매수,개인_거래대금_매수,외국인합계_거래대금_매수,전체_거래대금_매수,기관합계_거래대금_매도,기타법인_거래대금_매도,개인_거래대금_매도,외국인합계_거래대금_매도,전체_거래대금_매도
2021-12-10,4805,5000,4795,4915,5553075,,-194500,2732,656580,-464812,0,1730884,315883,3245548,260760,5553075,1925384,313151,2588968,725572,5553075,-849875145,552625,3127675070,-2278352550,0,8558432605,1539496955,15859813815,1286305145,27244048520,9408307750,1538944330,12732138745,3564657695,27244048520
2021-12-13,4945,4945,4870,4925,576426,0.20345879959308238,79255,-16753,-33958,-28544,0,188106,4069,382331,1920,576426,108851,20822,416289,30464,576426,390001250,-82607855,-167639165,-139754230,0,924953730,20119555,1877121175,9445130,2831639590,534952480,102727410,2044760340,149199360,2831639590
2021-12-14,4925,4975,4900,4965,467663,0.8121827411167513,184195,-32808,-146082,-5305,0,318806,2268,141526,5063,467663,134611,35076,287608,10368,467663,909844720,-161913755,-721627155,-26303810,0,1574083300,11184540,697335740,24866975,2307470555,664238580,173098295,1418962895,51170785,2307470555
2021-12-15,4965,4990,4950,4990,432234,0.5035246727089627,108651,-322,-15137,-93192,0,235397,8914,185255,2668,432234,126746,9236,200392,95860,432234,541523745,-1686380,-75663160,-464174205,0,1173176985,44401260,922813895,13301070,2153693210,631653240,46087640,998477055,477475275,2153693210
2021-12-16,4990,4995,4975,4985,457523,-0.1002004008016032,94606,-2239,-48520,-43847,0,258037,0,199314,172,457523,163431,2239,247834,44019,457523,471814905,-11170220,-242015265,-218629420,0,1287094650,0,993845470,858280,2281798400,815279745,11170220,1235860735,219487700,2281798400
2021-12-17,4985,4990,4975,4985,279396,0.0,7060,-1992,14516,-19584,0,143917,7552,127662,265,279396,136857,9544,113146,19849,279396,35310960,-9954630,72257170,-97613500,0,717313935,37664480,636264450,1321765,1392564630,682002975,47619110,564007280,98935265,1392564630
2021-12-20,4985,5030,4970,5030,873399,0.9027081243731194,452531,-121882,-351168,20519,0,690696,11076,134687,36940,873399,238165,132958,485855,16421,873399,2267028105,-610141280,-1759621855,102735030,0,3457381945,55315220,673869710,184741535,4371308410,1190353840,665456500,2433491565,82006505,4371308410
2021-12-21,5010,5060,4995,5040,761850,0.19880715705765406,400171,-41868,-307834,-50469,0,624972,4924,131881,73,761850,224801,46792,439715,50542,761850,2017861490,-211431770,-1553800365,-252629355,0,3151048250,24780000,662805950,368060,3839002260,1133186760,236211770,2216606315,252997415,3839002260
2021-12-22,5040,5050,5000,5040,178300,0.0,25464,7073,-22183,-10354,0,51550,10000,116740,10,178300,26086,2927,138923,10364,178300,128328020,35574560,-111898270,-52004310,0,259525800,50300000,586639520,50400,896515720,131197780,14725440,698537790,52054710,896515720
2021-12-23,5040,5040,5020,5030,242417,-0.1984126984126984,-51266,87,40202,10977,0,88837,7087,127999,18494,242417,140103,7000,87797,7517,242417,-257677210,417610,202045300,55214300,0,447112180,35627610,643552470,93024820,1219317080,704789390,35210000,441507170,37810520,1219317080
2021-12-24,5030,5030,5000,5020,409344,-0.19880715705765406,-225669,76705,140337,8627,0,15338,114432,258007,21567,409344,241007,37727,117670,12940,409344,-1132457240,385333510,703791290,43332440,0,76976880,574063050,1294123950,108266340,2053430220,1209434120,188729540,590332660,64933900,2053430220
2021-12-27,5010,5020,4995,5010,182549,-0.199203187250996,-48506,-6126,61672,-7040,0,11905,0,170624,20,182549,60411,6126,108952,7060,182549,-242808560,-30630000,308707200,-35268640,0,59605400,0,854318465,100200,914024065,302413960,30630000,545611265,35368840,914024065
2021-12-28,5020,5030,4990,4990,369117,-0.39920159680638717,-47997,-18577,78823,-12249,0,96906,90,271402,719,369117,144903,18667,192579,12968,369117,-239760640,-92813330,393953100,-61379130,0,485870370,450900,1358347465,3601570,1848270305,725631010,93264230,964394365,64980700,1848270305
2021-12-29,4965,4975,4915,4965,114066,-0.501002004008016,-15443,-5918,21776,-415,0,19817,2113,74126,18010,114066,35260,8031,52350,18425,114066,-76217510,-29372975,107642280,-2051795,0,98093540,10410480,366736105,89223515,564463640,174311050,39783455,259093825,91275310,564463640
2021-12-30,4970,5000,4960,5000,145484,0.7049345417925479,23900,-1046,-38097,15243,0,58472,0,60709,26303,145484,34572,1046,98806,11060,145484,119003315,-5193390,-190163755,76353830,0,290785560,0,301606275,131295850,723687685,171782245,5193390,491770030,54942020,723687685
2022-01-03,5000,5000,4960,4980,160804,-0.4,-6067,-20058,39362,-13237,0,61313,8004,85940,5547,160804,67380,28062,46578,18784,160804,-29944065,-100005275,195901650,-65952310,0,305122100,39877440,427816505,27594785,800410830,335066165,139882715,231914855,93547095,800410830
2022-01-04,4985,4995,4965,4985,158017,0.1004016064257028,15055,-25197,12555,-2413,0,59221,1000,92844,4952,158017,44166,26197,80289,7365,158017,74947250,-125764015,62846320,-12029555,0,295189565,4970000,463074700,24712210,787946475,220242315,130734015,400228380,36741765,787946475
2022-01-05,4985,4985,4955,4970,117958,-0.3009027081243731,44518,-2000,-35568,-6950,0,49248,0,68660,50,117958,4730,2000,104228,7000,117958,221198900,-9970000,-176637175,-34591725,0,244737940,0,341436845,248250,586423035,23539040,9970000,518074020,34839975,586423035
2022-01-06,4970,4985,4930,4980,199982,0.2012072434607646,-27913,3230,24024,659,0,60296,32510,98172,9004,199982,88209,29280,74148,8345,199982,-138375330,16147450,119011995,3215885,0,299722885,161653540,487275475,44684080,993335980,438098215,145506090,368263480,41468195,993335980
2022-01-07,4980,4985,4950,4975,79634,-0.1004016064257028,32157,-4591,-25260,-2306,0,61647,0,14987,3000,79634,29490,4591,40247,5306,79634,159715420,-22788405,-125466335,-11460680,0,306185010,0,74388535,14910000,395483545,146469590,22788405,199854870,26370680,395483545
2022-01-10,4960,4960,4895,4930,295126,-0.9045226130653266,58580,-79023,35959,-15516,0,127605,11507,145970,10044,295126,69025,90530,110011,25560,295126,287783495,-387471465,175991740,-76303770,0,627575450,56549510,717175320,49505945,1450806225,339791955,444020975,541183580,125809715,1450806225
2022-01-11,4930,4940,4910,4920,157039,-0.2028397565922921,-40281,-3083,48464,-5100,0,56490,150,86039,14360,157039,96771,3233,37575,19460,157039,-198554315,-15202270,238707960,-24951375,0,278126165,738750,423671505,70773740,773310160,476680480,15941020,184963545,95725115,773310160
2022-01-12,4915,4920,4890,4900,197915,-0.40650406504065045,-16570,-11225,36241,-8446,0,118635,100,79178,2,197915,135205,11325,42937,8448,197915,-81192910,-55030415,177686840,-41463515,0,581287635,489750,388091280,9810,969878475,662480545,55520165,210404440,41473325,969878475
2022-01-13,4920,4920,4860,4880,144694,-0.40816326530612246,29623,7412,-23410,-13625,0,52903,7412,84377,2,144694,23280,0,107787,13627,144694,144727275,36099000,-114296600,-66529675,0,258170775,36099000,411540420,9750,705819945,113443500,0,525837020,66539425,705819945
2022-01-14,4880,4895,4840,4880,130043,0.0,32443,250,147,-32840,0,57869,250,68738,3186,130043,25426,0,68591,36026,130043,157609700,1216250,739540,-159565490,0,281431185,1216250,334212555,15532290,632392280,123821485,0,333473015,175097780,632392280
