날짜,공시_제목,공시자
2024-08-14,주식등의대량보유상황보고서(일반),지니뮤직
2024-08-14,임원ㆍ주요주주특정증권등소유상황보고서,밀리
2024-08-14,임원ㆍ주요주주특정증권등소유상황보고서,지니뮤직
2024-08-13,반기보고서 (2024.06),밀리의서재
2024-06-11,주식등의대량보유상황보고서(일반),지니뮤직
2024-05-30,주식등의대량보유상황보고서(일반),지니뮤직
2024-05-13,분기보고서 (2024.03),밀리의서재
2024-04-22,[기재정정]주식매수선택권행사              ,밀리의서재
2024-04-15,주식등의대량보유상황보고서(일반),지니뮤직
2024-04-12,임원ㆍ주요주주특정증권등소유상황보고서,박현진
2024-04-02,주식등의대량보유상황보고서(일반),지니뮤직
2024-03-28,사외이사의선임ㆍ해임또는중도퇴임에관한신고,밀리의서재
2024-03-28,정기주주총회결과              ,밀리의서재
2024-03-28,[기재정정]대표이사변경              ,밀리의서재
2024-03-28,상호변경안내              ,밀리의서재
2024-03-20,[기재정정]사업보고서 (2023.12),밀리의서재
2024-03-12,수시공시의무관련사항(공정공시)              ,밀리의서재
2024-03-12,주주총회소집공고,밀리의서재
2024-03-12,주주총회소집결의              ,밀리의서재
2024-03-04,감사보고서제출              ,밀리의서재
2024-02-14,기업설명회(IR)개최              ,밀리의서재
2024-01-29,매출액또는손익구조30%(대규모법인은15%)이상변동,밀리의서재
2024-01-22,주식등의대량보유상황보고서(약식),HB인베스트먼트
2024-01-17,기업설명회(IR)개최,밀리의서재
2023-12-15,주주명부폐쇄기간또는기준일설정,밀리의서재
2023-12-11,주식등의대량보유상황보고서(약식),한국투자파트너스
2023-11-14,[기재정정]분기보고서 (2023.09),밀리의서재
2023-11-10,주식등의대량보유상황보고서(약식),케이비인베스트먼트
2023-10-26,[기재정정]주식매수선택권행사,밀리의서재
2023-10-11,주식등의대량보유상황보고서(약식),한국투자파트너스
2023-10-10,임원ㆍ주요주주특정증권등소유상황보고서,서영택
2023-10-10,임원ㆍ주요주주특정증권등소유상황보고서,밀리
2023-10-06,임원ㆍ주요주주특정증권등소유상황보고서,지니뮤직
2023-10-06,주식등의대량보유상황보고서(일반),지니뮤직
2023-10-04,주식등의대량보유상황보고서(약식),HB인베스트먼트
2023-10-04,임원ㆍ주요주주특정증권등소유상황보고서,HB유망서비스산업투자조합
2023-10-04,임원ㆍ주요주주특정증권등소유상황보고서,HB청년창업투자조합
2023-10-04,임원ㆍ주요주주특정증권등소유상황보고서,에이치비-KIS 2018 투자조합
2023-09-27,주식등의대량보유상황보고서(약식),케이비인베스트먼트
2023-09-21,증권발행실적보고서,밀리의서재
2023-09-15,[기재정정]투자설명서,밀리의서재
2023-09-15,[발행조건확정]증권신고서(지분증권),밀리의서재
2023-03-31,감사보고서 (2022.12),삼정회계법인
2022-11-08,철회신고서,밀리의서재
2022-11-04,투자설명서,밀리의서재
2022-10-19,[기재정정]증권신고서(지분증권),밀리의서재
2022-03-30,감사보고서 (2021.12),삼정회계법인
2021-03-30,감사보고서 (2020.12),우리회계법인
