날짜,공시_제목,공시자
2024-08-14,반기보고서 (2024.06),이화산업
2024-05-16,분기보고서 (2024.03),이화산업
2024-03-29,정기주주총회결과              ,이화산업
2024-03-29,사외이사의선임ㆍ해임또는중도퇴임에관한신고,이화산업
2024-03-21,사업보고서 (2023.12),이화산업
2024-03-21,감사보고서제출              ,이화산업
2024-03-15,[기재정정]감사보고서제출              ,이화산업
2024-03-15,[기재정정]감사보고서제출              ,이화산업
2024-03-15,[기재정정]사업보고서 (2020.12),이화산업
2024-03-15,[기재정정]사업보고서 (2021.12),이화산업
2024-03-15,[기재정정]감사보고서제출              ,이화산업
2024-03-15,[기재정정]사업보고서 (2022.12),이화산업
2024-03-14,[기재정정]감사보고서제출              ,이화산업
2024-03-14,[기재정정]사업보고서 (2019.12),이화산업
2024-03-14,주주총회소집공고,이화산업
2024-02-27,주주총회집중일개최사유신고              ,이화산업
2024-02-27,주주총회소집결의              ,이화산업
2024-02-14,매출액또는손익구조30%(대규모법인은15%)이상변경              ,이화산업
2023-11-14,분기보고서 (2023.09),이화산업
2023-10-24,사외이사의선임ㆍ해임또는중도퇴임에관한신고,이화산업
2023-08-14,반기보고서 (2023.06),이화산업
2023-05-15,분기보고서 (2023.03),이화산업
2023-04-20,조회공시요구(현저한시황변동)에대한답변(중요공시대상없음),이화산업
2023-04-19,조회공시요구(현저한시황변동),유가증권시장본부
2023-03-24,정기주주총회결과,이화산업
2023-03-09,주주총회집중일개최사유신고,이화산업
2023-03-09,주주총회소집공고,이화산업
2023-02-22,주주총회소집결의,이화산업
2023-02-09,매출액또는손익구조30%(대규모법인은15%)이상변경,이화산업
2022-11-14,분기보고서 (2022.09),이화산업
2022-08-16,반기보고서 (2022.06),이화산업
2022-05-24,[기재정정]분기보고서 (2022.03),이화산업
2022-03-25,정기주주총회결과,이화산업
2022-03-25,사외이사의선임ㆍ해임또는중도퇴임에관한신고,이화산업
2022-03-10,주주총회집중일개최사유신고,이화산업
2022-03-10,주주총회소집공고,이화산업
2022-02-23,주주총회소집결의,이화산업
2022-02-09,매출액또는손익구조30%(대규모법인은15%)이상변경,이화산업
2021-11-15,분기보고서 (2021.09),이화산업
2021-08-17,반기보고서 (2021.06),이화산업
2021-05-17,분기보고서 (2021.03),이화산업
2021-05-13,사외이사의선임ㆍ해임또는중도퇴임에관한신고,이화산업
2021-03-26,사외이사의선임ㆍ해임또는중도퇴임에관한신고,이화산업
2021-03-26,정기주주총회결과,이화산업
2021-03-11,주주총회집중일개최사유신고,이화산업
2021-03-11,주주총회소집공고,이화산업
2021-03-04,[기재정정]주주총회소집결의,이화산업
2021-02-09,매출액또는손익구조30%(대규모법인은15%)이상변경,이화산업
2020-11-27,[기재정정]유형자산처분결정(종속회사의주요경영사항),이화산업
2020-11-16,분기보고서 (2020.09),이화산업
2020-08-14,반기보고서 (2020.06),이화산업
2020-05-15,분기보고서 (2020.03),이화산업
2020-03-30,사업보고서 (2019.12),이화산업
2020-03-27,정기주주총회결과,이화산업
2020-03-19,감사보고서제출,이화산업
2020-03-19,[기재정정]주주총회소집공고,이화산업
2020-03-12,주주총회집중일개최사유신고,이화산업
2020-02-25,주주총회소집결의,이화산업
2020-02-07,매출액또는손익구조30%(대규모법인은15%)이상변경,이화산업
2019-11-14,분기보고서 (2019.09),이화산업
2019-10-01,임원ㆍ주요주주특정증권등소유상황보고서,조승현
2019-08-14,반기보고서 (2019.06),이화산업
2019-05-15,분기보고서 (2019.03),이화산업
2019-03-22,정기주주총회결과,이화산업
2019-03-07,주주총회집중일개최사유신고,이화산업
2019-03-07,주주총회소집공고,이화산업
2019-02-20,주주총회소집결의,이화산업
2019-02-07,매출액또는손익구조30%(대규모법인은15%)이상변경,이화산업
2019-01-28,임시주주총회결과,이화산업
2019-01-28,사외이사의선임ㆍ해임또는중도퇴임에관한신고,이화산업
2019-01-11,주주총회소집공고,이화산업
2019-01-10,주주총회소집결의,이화산업
