날짜,공시_제목,공시자
2024-05-08,연결재무제표기준영업(잠정)실적(공정공시)              ,카페24
2024-04-24,임원ㆍ주요주주특정증권등소유상황보고서,오정혁
2024-04-24,임원ㆍ주요주주특정증권등소유상황보고서,최용준
2024-04-24,주식등의대량보유상황보고서(일반),우창균
2024-03-28,사외이사의선임ㆍ해임또는중도퇴임에관한신고,카페24
2024-03-28,정기주주총회결과              ,카페24
2024-03-19,사업보고서 (2023.12),카페24
2024-03-19,감사보고서제출              ,카페24
2024-03-13,주주총회소집공고,카페24
2024-02-28,주주총회소집결의              ,카페24
2024-02-28,매출액또는손익구조30%(대규모법인은15%)이상변동              ,카페24
2024-02-28,연결재무제표기준영업(잠정)실적(공정공시)              ,카페24
2024-02-21,주식등의대량보유상황보고서(일반),우창균
2024-01-23,주식등의대량보유상황보고서(약식),GoogleInternationalLLC
2024-01-16,증권발행결과(자율공시),카페24
2024-01-11,임원ㆍ주요주주특정증권등소유상황보고서,정미지
2024-01-11,임원ㆍ주요주주특정증권등소유상황보고서,곽형석
2024-01-08,[기재정정]주요사항보고서(유상증자결정),카페24
2024-01-04,주식등의대량보유상황보고서(약식),"TetonCapitalPartners,L.P."
2023-12-20,주식등의대량보유상황보고서(일반),우창균
2023-12-14,주주명부폐쇄기간또는기준일설정,카페24
2023-12-14,[기재정정]사업보고서 (2022.12),카페24
2023-11-14,분기보고서 (2023.09),카페24
2023-11-08,연결재무제표기준영업(잠정)실적(공정공시),카페24
2023-11-01,주식등의대량보유상황보고서(일반),우창균
2023-09-27,주식등의대량보유상황보고서(일반),우창균
2023-08-31,주식등의대량보유상황보고서(일반),우창균
2023-08-29,주식등의대량보유상황보고서(일반),우창균
2023-08-14,반기보고서 (2023.06),카페24
2023-08-10,타법인주식및출자증권처분결정,카페24
2023-08-09,연결재무제표기준영업(잠정)실적(공정공시),카페24
2023-07-25,주식등의대량보유상황보고서(일반),우창균
2023-05-18,임원ㆍ주요주주특정증권등소유상황보고서,최용준
2023-05-18,주식등의대량보유상황보고서(일반),우창균
2023-05-15,분기보고서 (2023.03),카페24
2023-05-10,연결재무제표기준영업(잠정)실적(공정공시),카페24
2023-05-04,주식등의대량보유상황보고서(일반),우창균
2023-04-05,주식등의대량보유상황보고서(일반),우창균
2023-03-30,정기주주총회결과,카페24
2023-03-22,감사보고서제출,카페24
2023-03-15,주주총회소집공고,카페24
2023-03-07,주식등의대량보유상황보고서(일반),우창균
2023-02-28,주주총회집중일개최사유신고,카페24
2023-02-28,주주총회소집결의,카페24
2023-02-28,매출액또는손익구조30%(대규모법인은15%)이상변동,카페24
2023-02-28,연결재무제표기준영업(잠정)실적(공정공시),카페24
