날짜,공시_제목,공시자
2024-04-19,특수관계인에대한출자,현대건설
2024-04-19,연결재무제표기준영업(잠정)실적(공정공시)              ,현대건설
2024-04-19,약관에의한금융거래시계열금융회사의거래상대방의공시,현대건설
2024-04-18,[기재정정]단일판매ㆍ공급계약체결(자율공시)              ,현대건설
2024-04-15,단일판매ㆍ공급계약체결              ,현대건설
2024-04-12,결산실적공시예고(안내공시)              ,현대건설
2024-04-02,기업설명회(IR)개최(안내공시)              ,현대건설
2024-04-02,주식등의대량보유상황보고서(약식),국민연금공단
2024-03-29,[기재정정]사업보고서 (2023.12),현대건설
2024-03-25,풍문또는보도에대한해명(미확정)              ,현대건설
2024-03-25,투자판단관련주요경영사항              ,현대건설
2024-03-21,사외이사의선임ㆍ해임또는중도퇴임에관한신고,현대건설
2024-03-21,정기주주총회결과              ,현대건설
2024-03-19,기업설명회(IR)개최(안내공시)              ,현대건설
2024-03-19,기업설명회(IR)개최(안내공시)              ,현대건설
2024-03-18,임원ㆍ주요주주특정증권등소유상황보고서,유명근
2024-03-11,감사보고서제출              ,현대건설
2024-03-11,투자판단관련주요경영사항              ,현대건설
2024-02-29,임원ㆍ주요주주특정증권등소유상황보고서,윤영준
2024-02-28,대규모기업집단현황공시[분기별공시(개별회사용)],현대건설
2024-02-26,풍문또는보도에대한해명(미확정)              ,현대건설
2024-02-23,[기재정정]단일판매ㆍ공급계약체결              ,현대건설
2024-02-21,공정거래자율준수프로그램운영현황(안내공시)              ,현대건설
2024-02-21,약관에의한금융거래시계열금융회사의거래상대방의공시,현대건설
2024-02-21,의결권대리행사권유참고서류,현대건설
2024-02-21,주주총회소집공고,현대건설
2024-02-21,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정              ,현대건설
2024-02-21,주주총회소집결의              ,현대건설
2024-02-21,현금ㆍ현물배당결정              ,현대건설
2024-02-15,[기재정정]단일판매ㆍ공급계약체결              ,현대건설
2024-02-14,지급수단별ㆍ지급기간별지급금액및분쟁조정기구에관한사항,현대건설
2024-02-08,임원ㆍ주요주주특정증권등소유상황보고서,조혜경
2024-01-30,증권발행실적보고서,현대건설
2024-01-30,투자설명서,현대건설
2024-01-30,특수관계인에대한채권매도,현대건설
2024-01-29,[발행조건확정]증권신고서(채무증권),현대건설
2024-01-25,임원ㆍ주요주주특정증권등소유상황보고서,조혜경
2024-01-23,연결재무제표기준영업실적등에대한전망(공정공시),현대건설
2024-01-23,연결재무제표기준영업(잠정)실적(공정공시),현대건설
2024-01-23,매출액또는손익구조30%(대규모법인은15%)이상변경,현대건설
