날짜,시가,고가,저가,종가,거래량,등락률,기관합계_거래량_순매수,기타법인_거래량_순매수,개인_거래량_순매수,외국인합계_거래량_순매수,전체_거래량_순매수,기관합계_거래량_매수,기타법인_거래량_매수,개인_거래량_매수,외국인합계_거래량_매수,전체_거래량_매수,기관합계_거래량_매도,기타법인_거래량_매도,개인_거래량_매도,외국인합계_거래량_매도,전체_거래량_매도,기관합계_거래대금_순매수,기타법인_거래대금_순매수,개인_거래대금_순매수,외국인합계_거래대금_순매수,전체_거래대금_순매수,기관합계_거래대금_매수,기타법인_거래대금_매수,개인_거래대금_매수,외국인합계_거래대금_매수,전체_거래대금_매수,기관합계_거래대금_매도,기타법인_거래대금_매도,개인_거래대금_매도,외국인합계_거래대금_매도,전체_거래대금_매도
2020-08-31,4728,4728,4571,4665,2924414,,-1008023,116006,1167842,-275825,0,737399,117006,2010032,16716,2881153,1745422,1000,842190,292541,2881153,-4774592495,548675155,5531554455,-1305637115,0,3484223800,553470155,9502304525,78801650,13618800130,8258816295,4795000,3970750070,1384438765,13618800130
2020-09-01,4669,4768,4664,4709,534597,0.9431939978563773,1508,68346,12559,-82413,0,190300,68346,258810,9233,526689,188792,0,246251,91646,526689,7364985,326163495,59628645,-393157125,0,907516970,326163495,1235587695,44172145,2513440305,900151985,0,1175959050,437329270,2513440305
2020-09-02,4728,4748,4699,4709,286222,0.0,14343,220,39363,-53926,0,83986,220,197224,558,281988,69643,0,157861,54484,281988,68760975,1051000,188090430,-257902405,0,401693790,1051000,943397185,2667970,1348809945,332932815,0,755306755,260570375,1348809945
2020-09-03,4709,4719,4635,4640,436750,-1.4652792524952218,-183368,10673,187025,-14330,0,88570,10673,328074,2972,430289,271938,0,141049,17302,430289,-866296105,50456575,883902505,-68062975,0,418972920,50456575,1552733435,14104670,2036267600,1285269025,0,668830930,82167645,2036267600
2020-09-04,4605,4660,4581,4655,308422,0.3232758620689655,-121540,35813,85704,23,0,35489,35863,228272,4236,303860,157029,50,142568,4213,303860,-569332750,167645840,401704605,-17695,0,166290315,167880340,1069758975,19740130,1423669760,735623065,234500,668054370,19757825,1423669760
2020-09-07,4650,4650,4610,4621,307070,-0.7303974221267454,-86119,74525,11591,3,0,65229,74525,162771,3,302528,151348,0,151180,0,302528,-404417345,350088500,54314770,14075,0,306024820,350088500,763006130,14075,1419133525,710442165,0,708691360,0,1419133525
2020-09-08,4620,4640,4610,4626,165335,0.10820168794633195,-53499,100,52354,1045,0,21749,100,137155,3885,162889,75248,0,84801,2840,162889,-251509290,470000,246134135,4905155,0,102279015,470000,644554185,18253155,765556355,353788305,0,398420050,13348000,765556355
2020-09-09,4635,4635,4610,4626,133508,0.0,20828,40,-19414,-1454,0,34203,40,97289,1,131533,13375,0,116703,1455,131533,97627695,187400,-90999060,-6816035,0,160461470,187400,456439055,4695,617092620,62833775,0,547438115,6820730,617092620
2020-09-10,4635,4635,4610,4630,127135,0.08646779074794639,-25045,0,24111,934,0,28488,0,95832,934,125254,53533,0,71721,0,125254,-117212585,0,112821000,4391585,0,133998505,0,449901965,4391585,588292055,251211090,0,337080965,0,588292055
2020-09-11,4630,4635,4620,4630,206478,0.0,-119765,31276,86782,1707,0,5391,31276,154454,12303,203424,125156,0,67672,10596,203424,-562452555,146889755,407380325,8182475,0,25328805,146889755,725501110,57885610,955605280,587781360,0,318120785,49703135,955605280
