회사명,매집일,이상_가격,매석_거래,신고가_매집봉,매집_기간,매집_저항,매석_종가,등락률,포착일_매석,매집_거래량,매석_거래량,골크_단중,골크_중장,우상향_5일,우상향_20일,우상향_60일,거래대금_억,시가총액_억,주식수,시총_순위_2713,이상_거래량,회사_코드
기업은행,2024-07-03,False,True,False,105,14410,14520.0,1.82328190743338,2024-10-16,2330257,1728284.0,True,True,True,True,True,250,115786,797425869,39,True,024110
한국금융지주,2024-07-17,True,True,True,91,77700,77700.0,1.4360313315926894,2024-10-16,471821,159547.0,True,True,True,True,True,136,43299,55725992,84,True,071050
펩트론,2024-07-19,False,True,True,89,80340,97500.0,24.680306905370845,2024-10-16,5715648,5533107.0,True,True,True,True,True,5068,20140,20657350,153,True,087010
파크시스템스,2024-10-15,False,True,True,1,203500,207500.0,2.469135802469136,2024-10-16,117929,90074.0,True,True,True,True,True,188,14490,6983609,197,True,140860
파두,2024-10-15,False,True,False,1,19700,19910.0,3.21410057024365,2024-10-16,2031150,942115.0,True,True,True,True,True,185,9822,49334436,269,True,440110
SNT다이내믹스,2024-07-26,True,True,True,82,26750,26900.0,4.8732943469785575,2024-10-16,1678210,304470.0,True,True,True,True,True,81,8944,33252697,286,True,003570
SNT다이내믹스,2024-09-20,True,True,False,26,26000,26900.0,4.8732943469785575,2024-10-16,1515734,304470.0,True,True,True,True,True,81,8944,33252697,286,True,003570
TKG휴켐스,2024-06-13,False,False,False,125,20200,20600.0,4.462474645030426,2024-10-16,177625,252242.0,True,True,True,True,True,55,8420,40878588,297,True,069260
TKG휴켐스,2024-10-07,False,False,False,9,19850,20600.0,4.462474645030426,2024-10-16,151702,252242.0,True,True,True,True,True,55,8420,40878588,297,True,069260
보령,2024-10-08,False,False,False,8,11890,11960.0,1.2701100762066049,2024-10-16,1724442,2170099.0,True,True,True,True,True,265,8215,68690000,299,True,003850
넥센타이어,2024-09-12,False,True,False,34,7430,7430.0,3.916083916083916,2024-10-16,683664,54083.0,False,False,True,True,False,3,7256,97667877,323,True,002350
동아에스티,2024-10-11,False,True,False,5,77800,78500.0,2.8833551769331587,2024-10-16,183732,132902.0,True,True,True,True,True,104,7196,9167274,327,True,170900
필옵틱스,2024-10-14,False,True,False,2,23850,23950.0,3.455723542116631,2024-10-16,7062054,2283608.0,True,True,True,True,True,545,5470,22843180,410,True,161580
메가스터디교육,2024-09-19,False,False,False,27,46100,46200.0,6.329113924050633,2024-10-16,79660,99128.0,False,False,True,True,False,45,5295,11461955,419,True,215200
퍼시스,2024-10-15,False,True,False,1,43300,43450.0,0.8120649651972157,2024-10-16,5750,297.0,True,False,True,True,False,0,4996,11500000,436,True,016800
대화제약,2020-12-23,True,False,False,1393,20000,21750.0,15.691489361702128,2024-10-16,7989394,14096417.0,True,True,True,True,True,3109,4049,18616650,504,True,067080
큐리옥스바이오시스템즈,2024-10-11,False,True,False,5,22950,24400.0,7.017543859649122,2024-10-16,2490363,951323.0,True,False,True,True,True,232,3927,16096738,513,True,445680
아세아제지,2024-09-05,False,False,False,41,8420,8470.0,3.92638036809816,2024-10-16,414460,463538.0,True,False,True,True,True,38,3623,42782510,547,True,002310
대한제강,2024-10-15,False,False,False,1,13950,13980.0,0.2869440459110474,2024-10-16,69413,90296.0,True,True,True,True,True,12,3273,23414397,587,True,084010
제테마,2024-10-15,False,True,False,1,17900,18220.0,1.7877094972067038,2024-10-16,151552,73035.0,True,True,True,True,True,13,3253,17858759,590,True,216080
에이스침대,2024-08-09,False,True,False,68,27950,28000.0,0.7194244604316548,2024-10-16,28240,3556.0,True,True,True,True,True,0,3105,11090000,616,True,003800
한진,2024-06-21,False,True,False,117,20000,20300.0,4.531410916580844,2024-10-16,125130,62580.0,True,True,True,True,True,12,3034,14947628,626,True,002320
인스코비,2022-07-15,False,False,False,824,2350,2360.0,8.755760368663594,2024-10-16,2092863,3068806.0,True,True,True,True,True,72,2817,119368998,653,True,006490
인스코비,2024-10-11,True,True,True,5,2230,2360.0,8.755760368663594,2024-10-16,43544162,3068806.0,True,True,True,True,True,72,2817,119368998,653,True,006490
이연제약,2024-10-15,False,True,False,1,14980,15020.0,0.4682274247491638,2024-10-16,110242,63403.0,True,True,True,True,True,9,2791,18586811,658,True,102460
대한제당,2024-10-15,False,True,False,1,3075,3080.0,2.4958402662229617,2024-10-16,1085623,367867.0,True,False,True,True,True,11,2762,89696580,663,True,001790
나이벡,2024-10-15,True,False,False,1,24700,25250.0,7.675906183368871,2024-10-16,3031873,6290443.0,True,False,True,True,True,1541,2598,10291823,698,True,138610
AJ네트웍스,2024-09-19,True,True,False,27,4865,4970.0,2.368692070030896,2024-10-16,611113,317046.0,True,True,True,True,True,15,2249,45252759,788,True,095570
안트로젠,2024-10-14,False,True,False,2,15680,15800.0,1.0230179028132993,2024-10-16,41678,12858.0,True,False,True,True,True,2,1537,9731373,1062,True,065660
우신시스템,2024-10-10,False,True,False,6,7410,7740.0,6.758620689655172,2024-10-16,494283,240793.0,True,False,True,True,True,18,1417,18314054,1125,True,017370
딥노이드,2024-10-11,False,True,False,5,6190,6280.0,5.369127516778524,2024-10-16,732331,313799.0,True,False,True,True,False,19,1408,22421268,1132,True,315640
금호에이치티,2024-08-29,True,True,False,48,650,653.0,2.03125,2024-10-16,3672567,504246.0,True,True,True,True,True,3,1396,213914131,1139,True,214330
금호에이치티,2024-09-26,True,True,False,20,648,653.0,2.03125,2024-10-16,3683599,504246.0,True,True,True,True,True,3,1396,213914131,1139,True,214330
펨트론,2024-09-26,False,True,False,20,6230,6440.0,5.573770491803279,2024-10-16,8253492,1858645.0,True,True,True,True,True,116,1370,21288284,1155,True,168360
한성크린텍,2024-10-14,False,True,False,2,2320,2340.0,2.631578947368421,2024-10-16,3557793,2322493.0,True,False,True,True,True,54,1215,51935125,1268,True,066980
진로발효,2024-08-19,True,True,True,58,17780,17920.0,0.9009009009009008,2024-10-16,26659,10662.0,True,True,True,True,True,1,1186,6621120,1283,True,018120
하이소닉,2024-01-16,False,False,False,274,6590,6700.0,6.518282988871224,2024-10-16,136986,269201.0,True,False,True,True,True,17,1054,15735465,1394,True,106080
하이소닉,2024-01-19,False,True,False,271,6600,6700.0,6.518282988871224,2024-10-16,304026,269201.0,True,False,True,True,True,17,1054,15735465,1394,True,106080
영화테크,2024-07-11,False,True,False,97,9060,9070.0,0.2209944751381215,2024-10-16,56058,12325.0,True,True,True,True,True,1,969,10690180,1469,True,265560
뉴온,2024-10-08,False,True,False,8,262,280.0,29.629629629629623,2024-10-16,13304984,8707206.0,True,False,True,True,False,22,818,292370108,1623,True,123840
CS홀딩스,2024-08-20,False,True,False,57,69100,69800.0,1.749271137026239,2024-10-16,2800,804.0,True,False,True,True,False,0,805,1154482,1638,True,000590
나라엠앤디,2024-06-05,False,False,False,133,5420,5440.0,9.67741935483871,2024-10-16,246253,11754126.0,True,True,True,True,True,690,772,14200000,1669,True,051490
나라엠앤디,2024-10-07,True,False,False,9,5420,5440.0,9.67741935483871,2024-10-16,4455879,11754126.0,True,True,True,True,True,690,772,14200000,1669,True,051490
국영지앤엠,2024-08-13,True,True,True,64,1861,1871.0,0.5913978494623656,2024-10-16,47642667,335800.0,True,True,True,True,True,6,652,34895243,1815,True,006050
