item,전체,조건1(t3) 수,조건1(t3) 비율(%),조건2(t6) 수,조건2(t6) 비율(%),조건3(t9) 수,조건3(t9) 비율(%)
condition_number == 11,1,1,100.0,1,100.0,1,100.0
condition_number == 10,2,2,100.0,2,100.0,2,100.0
condition_number == 9,5,1,20.0,0,0.0,0,0.0
condition_number == 8,15,7,46.67,4,26.67,1,6.67
condition_number == 7,7,4,57.14,1,14.29,0,0.0
condition_number == 6,10,7,70.0,3,30.0,2,20.0
condition_number == 5,4,3,75.0,1,25.0,1,25.0
condition_number == 4,1,0,0.0,0,0.0,0,0.0
condition_number == 3,2,0,0.0,0,0.0,0,0.0
condition_number == 2,1,0,0.0,0,0.0,0,0.0
