날짜,시가,고가,저가,종가,거래량,등락률,BPS,PER,PBR,EPS,DIV,DPS,기관합계_거래량_순매수,기타법인_거래량_순매수,개인_거래량_순매수,외국인합계_거래량_순매수,전체_거래량_순매수,기관합계_거래량_매수,기타법인_거래량_매수,개인_거래량_매수,외국인합계_거래량_매수,전체_거래량_매수,기관합계_거래량_매도,기타법인_거래량_매도,개인_거래량_매도,외국인합계_거래량_매도,전체_거래량_매도,기관합계_거래대금_순매수,기타법인_거래대금_순매수,개인_거래대금_순매수,외국인합계_거래대금_순매수,전체_거래대금_순매수,기관합계_거래대금_매수,기타법인_거래대금_매수,개인_거래대금_매수,외국인합계_거래대금_매수,전체_거래대금_매수,기관합계_거래대금_매도,기타법인_거래대금_매도,개인_거래대금_매도,외국인합계_거래대금_매도,전체_거래대금_매도
2019-01-02,12550,12600,11800,12000,48034,0.8403361344537815,4411,68.97,2.72,174,0.0,0,-8,0,12411,-12403,0,6,0,47440,588,48034,14,0,35029,12991,48034,-95850,0,151122150,-151026300,0,72000,0,577235950,7051700,584359650,167850,0,426113800,158078000,584359650
2019-01-03,12000,13050,11750,12700,143163,5.833333333333333,4411,72.99,2.88,174,0.0,0,209,0,-1472,1263,0,263,0,132203,10697,143163,54,0,133675,9434,143163,2663700,0,-16186550,13522850,0,3336250,0,1665514700,133319000,1802169950,672550,0,1681701250,119796150,1802169950
2019-01-04,12650,12700,12100,12600,61216,-0.7874015748031495,4411,72.41,2.86,174,0.0,0,-277,0,3303,-3026,0,17,0,56573,4626,61216,294,0,53270,7652,61216,-3439450,0,41319950,-37880500,0,215150,0,702603350,57013800,759832300,3654600,0,661283400,94894300,759832300
2019-01-07,13200,13250,12700,13050,72374,3.571428571428571,4411,75.0,2.96,174,0.0,0,536,0,2809,-3345,0,536,0,71003,835,72374,0,0,68194,4180,72374,6969650,0,36346100,-43315750,0,6969650,0,919156850,10799100,936925600,0,0,882810750,54114850,936925600
2019-01-08,13250,15850,13050,14350,671704,9.961685823754788,4411,82.47,3.25,174,0.0,0,62,600,327,-989,0,586,8784,624133,38201,671704,524,8184,623806,39190,671704,828200,9661850,15458700,-25948750,0,8373800,132952200,9220149000,554066550,9915541550,7545600,123290350,9204690300,580015300,9915541550
2019-01-09,14650,15500,14350,14650,175923,2.0905923344947737,4411,84.2,3.32,174,0.0,0,-6,0,7985,-7979,0,5,0,164789,11129,175923,11,0,156804,19108,175923,-87400,0,124865050,-124777650,0,73100,0,2460592800,164177350,2624843250,160500,0,2335727750,288955000,2624843250
2019-01-10,14950,14950,14150,14250,74446,-2.7303754266211606,4411,81.9,3.23,174,0.0,0,-509,290,-5325,5544,0,17,290,63787,10352,74446,526,0,69112,4808,74446,-7278600,4321000,-75198550,78156150,0,242700,4321000,918098550,148333250,1070995500,7521300,0,993297100,70177100,1070995500
2019-01-11,14500,14950,14300,14750,90477,3.508771929824561,4411,84.77,3.34,174,0.0,0,36,0,-2989,2953,0,36,0,78967,11474,90477,0,0,81956,8521,90477,531850,0,-44968750,44436900,0,531850,0,1161443700,169609050,1331584600,0,0,1206412450,125172150,1331584600
2019-01-14,15300,15300,14850,15000,78747,1.694915254237288,4411,86.21,3.4,174,0.0,0,-1930,155,5660,-3885,0,2,155,74240,4350,78747,1932,0,68580,8235,78747,-28899400,2330500,85330900,-58762000,0,30000,2330500,1116516700,65183350,1184060550,28929400,0,1031185800,123945350,1184060550
2019-01-15,15300,15300,14800,15050,69279,0.33333333333333337,4411,86.49,3.41,174,0.0,0,-42,0,47,-5,0,21,0,61757,7501,69279,63,0,61710,7506,69279,-627950,0,1175450,-547500,0,316050,0,927775050,112545450,1040636550,944000,0,926599600,113092950,1040636550
2019-01-16,15250,16500,15050,15950,273842,5.980066445182724,4411,91.67,3.62,174,0.0,0,3,0,55,-58,0,10,0,249310,24522,273842,7,0,249255,24580,273842,48200,0,8439450,-8487650,0,158800,0,3962991850,385409250,4348559900,110600,0,3954552400,393896900,4348559900
2019-01-17,17000,17000,15550,16150,141981,1.2539184952978055,4411,92.82,3.66,174,0.0,0,-13,318,9942,-10247,0,3,318,134968,6692,141981,16,0,125026,16939,141981,-209450,5140200,163067050,-167997800,0,48150,5140200,2189971550,107893250,2303053150,257600,0,2026904500,275891050,2303053150
2019-01-18,16100,16350,15450,15800,100005,-2.1671826625387,4411,90.8,3.58,174,0.0,0,238,-210,-8732,8704,0,238,0,84231,15536,100005,0,210,92963,6832,100005,3853400,-3318250,-137047100,136511950,0,3853400,0,1338216800,245469800,1587540000,0,3318250,1475263900,108957850,1587540000
2019-01-21,16250,16300,15450,15600,68023,-1.2658227848101267,4411,89.66,3.54,174,0.0,0,2793,-100,-209,-2484,0,3039,0,60719,4265,68023,246,100,60928,6749,68023,43900850,-1570000,-2088300,-40242550,0,47748700,0,954454450,67030150,1069233300,3847850,1570000,956542750,107272700,1069233300
