날짜,시가,고가,저가,종가,거래량,등락률,BPS,PER,PBR,EPS,DIV,DPS,기관합계_거래량_순매수,기타법인_거래량_순매수,개인_거래량_순매수,외국인합계_거래량_순매수,전체_거래량_순매수,기관합계_거래량_매수,기타법인_거래량_매수,개인_거래량_매수,외국인합계_거래량_매수,전체_거래량_매수,기관합계_거래량_매도,기타법인_거래량_매도,개인_거래량_매도,외국인합계_거래량_매도,전체_거래량_매도,기관합계_거래대금_순매수,기타법인_거래대금_순매수,개인_거래대금_순매수,외국인합계_거래대금_순매수,전체_거래대금_순매수,기관합계_거래대금_매수,기타법인_거래대금_매수,개인_거래대금_매수,외국인합계_거래대금_매수,전체_거래대금_매수,기관합계_거래대금_매도,기타법인_거래대금_매도,개인_거래대금_매도,외국인합계_거래대금_매도,전체_거래대금_매도
2019-01-02,829,833,819,824,93992,-0.6031363088057901,1562,0.0,0.53,0,0.0,0,-177,0,8411,-8234,0,5069,0,85547,3376,93992,5246,0,77136,11610,93992,-143848,0,6879254,-6735406,0,4178545,0,70382228,2782927,77343700,4322393,0,63502974,9518333,77343700
2019-01-03,830,832,819,824,95989,0.0,1562,0.0,0.53,0,0.0,0,116,0,6176,-6292,0,4238,0,89050,2701,95989,4122,0,82874,8993,95989,95431,0,5083213,-5178644,0,3483657,0,73138465,2221555,78843677,3388226,0,68055252,7400199,78843677
2019-01-04,828,828,774,817,91913,-0.8495145631067961,1562,0.0,0.52,0,0.0,0,-22,0,-3360,3382,0,3080,0,79807,9026,91913,3102,0,83167,5644,91913,-15070,0,-2759028,2774098,0,2526642,0,65225163,7392325,75144130,2541712,0,67984191,4618227,75144130
2019-01-07,822,832,820,829,46617,1.4687882496940026,1562,0.0,0.53,0,0.0,0,230,-8100,7016,854,0,1642,0,42462,2513,46617,1412,8100,35446,1659,46617,192911,-6684934,5784592,707431,0,1361139,0,35110994,2081705,38553838,1168228,6684934,29326402,1374274,38553838
2019-01-08,826,831,819,824,143018,-0.6031363088057901,1562,0.0,0.53,0,0.0,0,67,0,3344,-3411,0,7978,0,132556,2484,143018,7911,0,129212,5895,143018,46435,0,2760539,-2806974,0,6555173,0,109097301,2046510,117698984,6508738,0,106336762,4853484,117698984
2019-01-09,831,842,820,838,206442,1.6990291262135921,1562,0.0,0.54,0,0.0,0,-68382,411,39844,28127,0,2125,411,174241,29665,206442,70507,0,134397,1538,206442,-57424647,342363,33529375,23552909,0,1776315,342363,145704069,24836277,172659024,59200962,0,112174694,1283368,172659024
2019-01-10,837,840,828,836,74690,-0.23866348448687352,1562,0.0,0.54,0,0.0,0,-60,0,9012,-8952,0,693,0,70319,3678,74690,753,0,61307,12630,74690,-50260,0,7493227,-7442967,0,577451,0,58570154,3056052,62203657,627711,0,51076927,10499019,62203657
2019-01-11,837,840,816,838,164289,0.23923444976076555,1562,0.0,0.54,0,0.0,0,124,0,5122,-5246,0,13897,0,135593,14799,164289,13773,0,130471,20045,164289,100121,0,4466050,-4566171,0,11496424,0,112630357,12155974,136282755,11396303,0,108164307,16722145,136282755
2019-01-14,840,842,835,842,57852,0.47732696897374705,1562,0.0,0.54,0,0.0,0,-15305,2000,13892,-587,0,36,2000,50600,5216,57852,15341,0,36708,5803,57852,-12868825,1676000,11663602,-470777,0,30236,1676000,42470027,4378254,48554517,12899061,0,30806425,4849031,48554517
2019-01-15,842,842,836,837,55483,-0.5938242280285035,1562,0.0,0.54,0,0.0,0,-3992,0,-542,4534,0,1905,0,49012,4566,55483,5897,0,49554,32,55483,-3363201,0,-434942,3798143,0,1594485,0,41072819,3824991,46492295,4957686,0,41507761,26848,46492295
