날짜,시가,고가,저가,종가,거래량,등락률,기관합계_거래량_순매수,기타법인_거래량_순매수,개인_거래량_순매수,외국인합계_거래량_순매수,전체_거래량_순매수,기관합계_거래량_매수,기타법인_거래량_매수,개인_거래량_매수,외국인합계_거래량_매수,전체_거래량_매수,기관합계_거래량_매도,기타법인_거래량_매도,개인_거래량_매도,외국인합계_거래량_매도,전체_거래량_매도,기관합계_거래대금_순매수,기타법인_거래대금_순매수,개인_거래대금_순매수,외국인합계_거래대금_순매수,전체_거래대금_순매수,기관합계_거래대금_매수,기타법인_거래대금_매수,개인_거래대금_매수,외국인합계_거래대금_매수,전체_거래대금_매수,기관합계_거래대금_매도,기타법인_거래대금_매도,개인_거래대금_매도,외국인합계_거래대금_매도,전체_거래대금_매도
2022-11-01,4325,4385,4315,4350,58924,0.4618937644341801,-19018,0,16645,2373,0,11622,0,44135,3167,58924,30640,0,27490,794,58924,-82786675,0,72423475,10363200,0,50335905,0,191564620,13808175,255708700,133122580,0,119141145,3444975,255708700
2022-11-02,4335,4360,4315,4340,117278,-0.22988505747126436,-6828,0,11977,-5149,0,1186,0,115686,406,117278,8014,0,103709,5555,117278,-29607150,0,51910810,-22303660,0,5135700,0,501885110,1762040,508782850,34742850,0,449974300,24065700,508782850
2022-11-03,4340,4340,4285,4295,30416,-1.0368663594470047,97,0,389,-486,0,3158,0,27256,2,30416,3061,0,26867,488,30416,398190,0,1694485,-2092675,0,13589290,0,117386470,8680,130984440,13191100,0,115691985,2101355,130984440
2022-11-04,4300,4320,4235,4320,47991,0.5820721769499418,5832,0,-6879,1047,0,11892,0,34450,1649,47991,6060,0,41329,602,47991,25008755,0,-29532035,4523280,0,50974165,0,146684330,7105350,204763845,25965410,0,176216365,2582070,204763845
2022-11-07,4250,4320,4250,4320,59614,0.0,47757,-1180,-46690,113,0,47954,0,11290,370,59614,197,1180,57980,257,59614,205377515,-5068100,-200792745,483330,0,206224010,0,48553380,1590805,256368195,846495,5068100,249346125,1107475,256368195
2022-11-08,4250,4330,4250,4285,61749,-0.8101851851851851,11769,0,-14722,2953,0,30230,0,26755,4764,61749,18461,0,41477,1811,61749,50883595,0,-63465495,12581900,0,130350035,0,114519510,20361975,265231520,79466440,0,177985005,7780075,265231520
2022-11-09,4285,4330,4250,4300,40517,0.3500583430571762,-4393,1000,2588,805,0,13911,1000,22582,3024,40517,18304,0,19994,2219,40517,-18796020,4290000,10983340,3522680,0,59764120,4290000,96950420,13056120,174060660,78560140,0,85967080,9533440,174060660
2022-11-10,4300,4325,4250,4300,59819,0.0,25313,100,-27654,2241,0,30240,100,26796,2683,59819,4927,0,54450,442,59819,108910835,429970,-118973200,9632395,0,130046955,429970,115138275,11532590,257147790,21136120,0,234111475,1900195,257147790
2022-11-11,4340,4420,4330,4375,127966,1.744186046511628,-12089,32004,-29259,9344,0,24969,32004,60297,10696,127966,37058,0,89556,1352,127966,-53568125,140398595,-127842200,41011730,0,109193180,140398595,264419785,46899275,560910835,162761305,0,392261985,5887545,560910835
2022-11-14,4420,4420,4330,4375,60987,0.0,-366,1498,177,-1309,0,23938,1498,32556,2995,60987,24304,0,32379,4304,60987,-2020585,6525295,1196660,-5701370,0,104013900,6525295,142089790,13092465,265721450,106034485,0,140893130,18793835,265721450
2022-11-15,4375,4385,4330,4365,72234,-0.2285714285714286,-39512,13189,28555,-2232,0,7433,13189,47662,3950,72234,46945,0,19107,6182,72234,-171844085,57296205,124345580,-9797700,0,32373355,57296205,207561525,17219720,314450805,204217440,0,83215945,27017420,314450805
2022-11-16,4355,4425,4330,4400,45245,0.8018327605956471,-11408,10444,-3,967,0,5431,10444,26561,2809,45245,16839,0,26564,1842,45245,-49947975,45732045,-4615,4220545,0,23743300,45732045,116042365,12304910,197822620,73691275,0,116046980,8084365,197822620
2022-11-17,4365,4395,4335,4365,38117,-0.7954545454545454,-4087,227,8907,-5047,0,20724,227,17041,125,38117,24811,0,8134,5172,38117,-17685910,994260,38743840,-22052190,0,90538470,994260,74301370,546250,166380350,108224380,0,35557530,22598440,166380350
2022-11-18,4355,4400,4315,4360,68488,-0.11454753722794961,-12294,229,5062,7003,0,28358,229,29228,10673,68488,40652,0,24166,3670,68488,-52708750,993860,21313755,30401135,0,123956785,993860,126944400,46364960,298260005,176665535,0,105630645,15963825,298260005
2022-11-21,4335,4390,4315,4360,58880,0.0,2700,0,3534,-6234,0,29870,0,27010,2000,58880,27170,0,23476,8234,58880,12109445,0,15146695,-27256140,0,130083045,0,117241635,8680985,256005665,117973600,0,102094940,35937125,256005665
2022-11-22,4340,4365,4330,4365,33255,0.11467889908256881,2033,950,-407,-2576,0,22785,950,9270,250,33255,20752,0,9677,2826,33255,8893650,4123310,-1792380,-11224580,0,99317860,4123310,40342555,1087285,144871010,90424210,0,42134935,12311865,144871010
2022-11-23,4350,4380,4325,4370,55879,0.11454753722794961,-3116,1000,2862,-746,0,17816,1000,37061,2,55879,20932,0,34199,748,55879,-13321825,4340000,12238145,-3256320,0,77594745,4340000,161203825,8670,243147240,90916570,0,148965680,3264990,243147240
2022-11-24,4350,4380,4340,4370,79032,0.0,-19706,229,8032,11445,0,35327,229,29463,14013,79032,55033,0,21431,2568,79032,-85604285,996150,34729390,49878745,0,154053120,996150,128191125,61045450,344285845,239657405,0,93461735,11166705,344285845
2022-11-25,4345,4450,4345,4425,95545,1.2585812356979404,6110,-2312,-28063,24265,0,42460,2756,19355,30974,95545,36350,5068,47418,6709,95545,27041305,-10208515,-124137375,107304585,0,187008675,12115000,85103550,136845980,421073205,159967370,22323515,209240925,29541395,421073205
2022-11-28,4425,4450,4355,4370,70292,-1.2429378531073447,2175,2742,2678,-7595,0,40998,2742,20366,6186,70292,38823,0,17688,13781,70292,9869685,12123520,11362820,-33356025,0,179647645,12123520,89579725,27196430,308547320,169777960,0,78216905,60552455,308547320
2022-11-29,4495,4495,4370,4410,97139,0.9153318077803204,25570,-2140,-37257,13827,0,56271,228,21900,18740,97139,30701,2368,59157,4913,97139,113263985,-9458090,-165000660,61194765,0,248715430,1011180,96651035,82851130,429228775,135451445,10469270,261651695,21656365,429228775
2022-11-30,4410,4500,4410,4480,85988,1.5873015873015872,-2252,-632,-18734,21618,0,27965,2000,31130,24893,85988,30217,2632,49864,3275,85988,-10338340,-2624595,-83723570,96686505,0,124735040,8998845,139435000,111391890,384560775,135073380,11623440,223158570,14705385,384560775
